id,diseaseId,link,productId,rate,createdAt,updatedAt,product_stateId,,,disease
,84,https://pubmed.ncbi.nlm.nih.gov/17951477/,1,0,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/34711215/,1,4,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/35276904/,1,2,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/27583706/,1,0,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/22332099/,1,0,,,,,,hypertension
,28,https://pubmed.ncbi.nlm.nih.gov/35610084/,1,0,,,,,,type 2 diabetes
,28,https://pubmed.ncbi.nlm.nih.gov/27583706/,1,2,,,,,,type 2 diabetes mellitus
,28,https://pubmed.ncbi.nlm.nih.gov/26742071/,1,2,,,,,,type 2 diabetes
,28,https://pubmed.ncbi.nlm.nih.gov/30408537/,1,3,,,,,,type 2 diabetes
,37,https://pubmed.ncbi.nlm.nih.gov/22914551/,1,3,,,,,,cardiovascular disease
,37,https://pubmed.ncbi.nlm.nih.gov/25171728/,1,2,,,,,,cardiovascular disease
,38,https://pubmed.ncbi.nlm.nih.gov/27583706/,1,2,,,,,,dyslipidemia
,82,https://pubmed.ncbi.nlm.nih.gov/27583706/,1,0,,,,,,obesity
,82,https://pubmed.ncbi.nlm.nih.gov/30408537/,1,3,,,,,,obesity
,83,https://pubmed.ncbi.nlm.nih.gov/27166828/,1,2,,,,,,alzheimer s disease
,83,https://pubmed.ncbi.nlm.nih.gov/26415975/,1,2,,,,,,alzheimer s disease
,51,https://pubmed.ncbi.nlm.nih.gov/33187049/,1,0,,,,,,breast cancer
,86,https://pubmed.ncbi.nlm.nih.gov/27583706/,1,2,,,,,,nonalcoholic fatty liver disease
,46,https://pubmed.ncbi.nlm.nih.gov/35610084/,1,0,,,,,,prediabetes
,0,https://pubmed.ncbi.nlm.nih.gov/27166828/,1,2,,,,,,neurodegenerative disease
,84,https://pubmed.ncbi.nlm.nih.gov/40275631/,1,4,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/30703746/,1,4,,,,,,hypertension
,84,https://pubmed.ncbi.nlm.nih.gov/35807881/,1,2,,,,,,hypertension
,28,https://pubmed.ncbi.nlm.nih.gov/39078268/,1,4,,,,,,type 2 diabetes
