"id","root_name","disease_id","disease_name","odw","best_mesh_match","query_used","articles_count","calculated_dw","category","q1","q2","q3"
"1","Blackberry",35,"Coronary Disease","24","Rubus","None",0,0,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"2","Cranberry",35,"Coronary Disease","170","Vaccinium macrocarpon","Q2",1,16,"ready","(""Vaccinium macrocarpon""[Mesh] AND ""Vaccinium macrocarpon/therapeutic use""[Mesh] NOT ""Vaccinium macrocarpon/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vaccinium macrocarpon""[Mesh] NOT ""Vaccinium macrocarpon/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vaccinium macrocarpon"" NOT ""Vaccinium macrocarpon/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"3","Blueberry",35,"Coronary Disease","145","Blueberry Plants","None",0,0,"ready","(""Blueberry Plants""[Mesh] AND ""Blueberry Plants/therapeutic use""[Mesh] NOT ""Blueberry Plants/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Blueberry Plants""[Mesh] NOT ""Blueberry Plants/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Blueberry Plants"" NOT ""Blueberry Plants/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"4","Bilberry",35,"Coronary Disease","56","Vaccinium myrtillus","None",0,0,"ready","(""Vaccinium myrtillus""[Mesh] AND ""Vaccinium myrtillus/therapeutic use""[Mesh] NOT ""Vaccinium myrtillus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vaccinium myrtillus""[Mesh] NOT ""Vaccinium myrtillus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Vaccinium myrtillus"" NOT ""Vaccinium myrtillus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"5","Dog rose",35,"Coronary Disease",,"Rosa Canina","None",0,0,"ready","(""Rosa Canina""[Mesh] AND ""Rosa Canina/therapeutic use""[Mesh] NOT ""Rosa Canina/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rosa Canina""[Mesh] NOT ""Rosa Canina/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rosa Canina"" NOT ""Rosa Canina/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"6","Crowberry",35,"Coronary Disease",,"Ericaceae","Q2",1,16,"ready","(""Ericaceae""[Mesh] AND ""Ericaceae/therapeutic use""[Mesh] NOT ""Ericaceae/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Ericaceae""[Mesh] NOT ""Ericaceae/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Ericaceae"" NOT ""Ericaceae/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"7","Strawberry",35,"Coronary Disease","72","Fragaria","Q2",1,1,"ready","(""Fragaria""[Mesh] AND ""Fragaria/therapeutic use""[Mesh] NOT ""Fragaria/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Fragaria""[Mesh] NOT ""Fragaria/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Fragaria"" NOT ""Fragaria/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"8","Raspberry",35,"Coronary Disease","40","Rubus","None",0,0,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"9","Goji Berry",35,"Coronary Disease","16","Lycium","None",0,0,"ready","(""Lycium""[Mesh] AND ""Lycium/therapeutic use""[Mesh] NOT ""Lycium/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Lycium""[Mesh] NOT ""Lycium/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Lycium"" NOT ""Lycium/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
"10","Cloudberry",35,"Coronary Disease",,"Rubus","None",0,0,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Coronary Disease/diet therapy""[Mesh] OR ""Coronary Disease/drug therapy""[Mesh] OR ""Coronary Disease/prevention and control""[Mesh] OR ""Coronary Disease/rehabilitation""[Mesh] OR ""Coronary Disease/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Coronary Disease/diet therapy"" OR ""Coronary Disease/drug therapy"" OR ""Coronary Disease/prevention and control"" OR ""Coronary Disease/rehabilitation"" OR ""Coronary Disease/therapy"")"
