"item_id","root_name","disease_id","disease_name","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","weight"
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,1,"Effects of blueberry and cranberry consumption on type 2 diabetes glycemic control: A systematic review.","Rocha DMUP, Caldas APS, da Silva BP, Hermsdorff HHM, Alfenas RCG","https://pubmed.ncbi.nlm.nih.gov/29345498/","29345498","https://doi.org/10.1080/10408398.2018.1430019","10.1080/10408398.2018.1430019","No PMC available",,"Journal Article, Systematic Review",5
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,2,"Effects of blueberry and cranberry on type 2 diabetes parameters in individuals with or without diabetes: A systematic review and meta-analysis of randomized clinical trials.","Delpino FM, Figueiredo LM, Gonçalves da Silva T, Flores TR","https://pubmed.ncbi.nlm.nih.gov/35282984/","35282984","https://doi.org/10.1016/j.numecd.2022.02.004","10.1016/j.numecd.2022.02.004","No PMC available",,"Journal Article, Meta-Analysis, Systematic Review, Research Support, Non-U.S. Gov't",5
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,3,"Can cranberry supplementation benefit adults with type 2 diabetes?","Chambers BK, Camire ME","https://pubmed.ncbi.nlm.nih.gov/12941742/","12941742","https://doi.org/10.2337/diacare.26.9.2695-a","10.2337/diacare.26.9.2695-a","No PMC available",,"Clinical Trial, Comparative Study, Letter, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,4,"An evaluation of the effect of a topical product containing C-xyloside and blueberry extract on the appearance of type II diabetic skin.","Draelos ZD, Yatskayer M, Raab S, Oresajo C","https://pubmed.ncbi.nlm.nih.gov/19527341/","19527341","https://doi.org/10.1111/j.1473-2165.2009.00428.x","10.1111/j.1473-2165.2009.00428.x","No PMC available",,"Clinical Trial, Journal Article",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,5,"Whole grain products, fish and bilberries alter glucose and lipid metabolism in a randomized, controlled trial: the Sysdimet study.","Lankinen M, Schwab U, Kolehmainen M, Paananen J, Poutanen K, Mykkänen H, Seppänen-Laakso T, Gylling H, Uusitupa M, Orešič M","https://pubmed.ncbi.nlm.nih.gov/21901116/","21901116","https://doi.org/10.1371/journal.pone.0022646","10.1371/journal.pone.0022646","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3161986/","PMC3161986","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,6,"Anti-hyperglycemic effect of Vaccinium arctostaphylos in type 2 diabetic patients: a randomized controlled trial.","Kianbakht S, Abasi B, Dabaghian FH","https://pubmed.ncbi.nlm.nih.gov/23727759/","23727759","https://doi.org/10.1159/000346607","10.1159/000346607","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,7,"Controlling type 2 diabetes mellitus with herbal medicines: A triple-blind randomized clinical trial of efficacy and safety.","Mirfeizi M, Mehdizadeh Tourzani Z, Mirfeizi SZ, Asghari Jafarabadi M, Rezvani HR, Afzali M","https://pubmed.ncbi.nlm.nih.gov/26362826/","26362826","https://doi.org/10.1111/1753-0407.12342","10.1111/1753-0407.12342","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,8,"Fasting serum hippuric acid is elevated after bilberry (Vaccinium myrtillus) consumption and associates with improvement of fasting glucose levels and insulin secretion in persons at high risk of developing type 2 diabetes.","de Mello VD, Lankinen MA, Lindström J, Puupponen-Pimiä R, Laaksonen DE, Pihlajamäki J, Lehtonen M, Uusitupa M, Tuomilehto J, Kolehmainen M, Törrönen R, Hanhineva K","https://pubmed.ncbi.nlm.nih.gov/28556578/","28556578","https://doi.org/10.1002/mnfr.201700019","10.1002/mnfr.201700019","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,9,"Cranberries improve postprandial glucose excursions in type 2 diabetes.","Schell J, Betts NM, Foster M, Scofield RH, Basu A","https://pubmed.ncbi.nlm.nih.gov/28748974/","28748974","https://doi.org/10.1039/c7fo00900c","10.1039/c7fo00900c","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9473326/","PMC9473326","Journal Article, Randomized Controlled Trial",4
"6","Crowberry",28,"Diabetes Mellitus, Type 2",385,10,"Postprandial Effects of Blueberry (Vaccinium angustifolium) Consumption on Glucose Metabolism, Gastrointestinal Hormone Response, and Perceived Appetite in Healthy Adults: A Randomized, Placebo-Controlled Crossover Trial.","Stote K, Corkum A, Sweeney M, Shakerley N, Kean T, Gottschall-Pass K","https://pubmed.ncbi.nlm.nih.gov/30669469/","30669469","https://doi.org/10.3390/nu11010202","10.3390/nu11010202","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356777/","PMC6356777","Journal Article, Randomized Controlled Trial",4
