"item_id","root_name","disease_id","disease_name","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","weight"
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,1,"Attenuation of Postmeal Metabolic Indices with Red Raspberries in Individuals at Risk for Diabetes: A Randomized Controlled Trial.","Xiao D, Zhu L, Edirisinghe I, Fareed J, Brailovsky Y, Burton-Freeman B","https://pubmed.ncbi.nlm.nih.gov/30767409/","30767409","https://doi.org/10.1002/oby.22406","10.1002/oby.22406","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,2,"Effects of Dietary Red Raspberry Consumption on Pre-Diabetes and Type 2 Diabetes Mellitus Parameters.","Derrick SA, Kristo AS, Reaves SK, Sikalidis AK","https://pubmed.ncbi.nlm.nih.gov/34501954/","34501954","https://doi.org/10.3390/ijerph18179364","10.3390/ijerph18179364","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8431376/","PMC8431376","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,3,"Evaluation of Rubus grandifolius L. (wild blackberries) activities targeting management of type-2 diabetes and obesity using in vitro models.","Spínola V, Pinto J, Llorent-Martínez EJ, Tomás H, Castilho PC","https://pubmed.ncbi.nlm.nih.gov/30408537/","30408537","https://doi.org/10.1016/j.fct.2018.11.006","10.1016/j.fct.2018.11.006","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,4,"Pelargonidin-3-O-glucoside Derived from Wild Raspberry Exerts Antihyperglycemic Effect by Inducing Autophagy and Modulating Gut Microbiota.","Su H, Xie L, Xu Y, Ke H, Bao T, Li Y, Chen W","https://pubmed.ncbi.nlm.nih.gov/31322351/","31322351","https://doi.org/10.1021/acs.jafc.9b03338","10.1021/acs.jafc.9b03338","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,5,"Chinese Sweet Leaf Tea (Rubus suavissimus) Mitigates LPS-Induced Low-Grade Chronic Inflammation and Reduces the Risk of Metabolic Disorders in a C57BL/6J Mouse Model.","Zhang H, Qi R, Zeng Y, Tsao R, Mine Y","https://pubmed.ncbi.nlm.nih.gov/31873011/","31873011","https://doi.org/10.1021/acs.jafc.9b05975","10.1021/acs.jafc.9b05975","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,6,"Effects of red raspberry polyphenols and metabolites on the biomarkers of inflammation and insulin resistance in type 2 diabetes: a pilot study.","Moreno Uclés R, González-Sarrías A, Espín JC, Tomás-Barberán FA, Janes M, Cheng H, Finley J, Greenway F, Losso JN","https://pubmed.ncbi.nlm.nih.gov/35421887/","35421887","https://doi.org/10.1039/d1fo02090k","10.1039/d1fo02090k","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,7,"The effect of the molecular weight of blackberry polysaccharides on gut microbiota modulation and hypoglycemic effect in vivo.","Xi L, Weibing X, Shuyong F, Sheng-Hua L, Xiong F, Chin-Ping T, Ping-Ping W, Zu-Man D, Chun C","https://pubmed.ncbi.nlm.nih.gov/39078268/","39078268","https://doi.org/10.1039/d4fo01989j","10.1039/d4fo01989j","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",48,8,"Study on the Mechanism of Raspberry (Rubi fructus) in Treating Type 2 Diabetes Based on UPLC-Q-Exactive Orbitrap MS, Network Pharmacology, and Experimental Validation.","Wang X, Zhang X, Liao Q, Rui X, Wang R","https://pubmed.ncbi.nlm.nih.gov/39496506/","39496506","https://doi.org/10.1002/pca.3464","10.1002/pca.3464","No PMC available",,"Journal Article",0
"2","Cranberry",28,"Diabetes Mellitus, Type 2",135,1,"Effects of blueberry and cranberry consumption on type 2 diabetes glycemic control: A systematic review.","Rocha DMUP, Caldas APS, da Silva BP, Hermsdorff HHM, Alfenas RCG","https://pubmed.ncbi.nlm.nih.gov/29345498/","29345498","https://doi.org/10.1080/10408398.2018.1430019","10.1080/10408398.2018.1430019","No PMC available",,"Journal Article, Systematic Review",5
"2","Cranberry",28,"Diabetes Mellitus, Type 2",135,2,"Effects of blueberry and cranberry on type 2 diabetes parameters in individuals with or without diabetes: A systematic review and meta-analysis of randomized clinical trials.","Delpino FM, Figueiredo LM, Gonçalves da Silva T, Flores TR","https://pubmed.ncbi.nlm.nih.gov/35282984/","35282984","https://doi.org/10.1016/j.numecd.2022.02.004","10.1016/j.numecd.2022.02.004","No PMC available",,"Journal Article, Meta-Analysis, Systematic Review, Research Support, Non-U.S. Gov't",5
