"id","root_name","disease_id","disease_name","odw","best_mesh_match","query_used","articles_count","calculated_dw","category","q1","q2","q3"
"1","Blackberry",28,"Diabetes Mellitus, Type 2","24","Rubus","Q2",8,48,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"2","Cranberry",28,"Diabetes Mellitus, Type 2","170","Vaccinium macrocarpon","Q2",9,135,"ready","(""Vaccinium macrocarpon""[Mesh] AND ""Vaccinium macrocarpon/therapeutic use""[Mesh] NOT ""Vaccinium macrocarpon/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vaccinium macrocarpon""[Mesh] NOT ""Vaccinium macrocarpon/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vaccinium macrocarpon"" NOT ""Vaccinium macrocarpon/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"3","Blueberry",28,"Diabetes Mellitus, Type 2","145","Blueberry Plants","Q2",11,140,"ready","(""Blueberry Plants""[Mesh] AND ""Blueberry Plants/therapeutic use""[Mesh] NOT ""Blueberry Plants/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Blueberry Plants""[Mesh] NOT ""Blueberry Plants/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Blueberry Plants"" NOT ""Blueberry Plants/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"4","Bilberry",28,"Diabetes Mellitus, Type 2","56","Vaccinium myrtillus","Q2",12,104,"ready","(""Vaccinium myrtillus""[Mesh] AND ""Vaccinium myrtillus/therapeutic use""[Mesh] NOT ""Vaccinium myrtillus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vaccinium myrtillus""[Mesh] NOT ""Vaccinium myrtillus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Vaccinium myrtillus"" NOT ""Vaccinium myrtillus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"5","Dog rose",28,"Diabetes Mellitus, Type 2",,"Rosa Canina","Q3",4,28,"ready","(""Rosa Canina""[Mesh] AND ""Rosa Canina/therapeutic use""[Mesh] NOT ""Rosa Canina/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rosa Canina""[Mesh] NOT ""Rosa Canina/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rosa Canina"" NOT ""Rosa Canina/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"7","Strawberry",28,"Diabetes Mellitus, Type 2","72","Fragaria","Q2",3,32,"ready","(""Fragaria""[Mesh] AND ""Fragaria/therapeutic use""[Mesh] NOT ""Fragaria/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Fragaria""[Mesh] NOT ""Fragaria/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Fragaria"" NOT ""Fragaria/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"8","Raspberry",28,"Diabetes Mellitus, Type 2","40","Rubus","Q2",8,48,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"9","Goji Berry",28,"Diabetes Mellitus, Type 2","16","Lycium","Q2",5,32,"ready","(""Lycium""[Mesh] AND ""Lycium/therapeutic use""[Mesh] NOT ""Lycium/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Lycium""[Mesh] NOT ""Lycium/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Lycium"" NOT ""Lycium/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"10","Cloudberry",28,"Diabetes Mellitus, Type 2",,"Rubus","Q2",8,48,"ready","(""Rubus""[Mesh] AND ""Rubus/therapeutic use""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus""[Mesh] NOT ""Rubus/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Rubus"" NOT ""Rubus/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
"11","Sea Buckthorn",28,"Diabetes Mellitus, Type 2","8","Hippophae","Q2",4,4,"ready","(""Hippophae""[Mesh] AND ""Hippophae/therapeutic use""[Mesh] NOT ""Hippophae/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Hippophae""[Mesh] NOT ""Hippophae/adverse effects""[Mesh]) AND (""Diabetes Mellitus, Type 2/diet therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/drug therapy""[Mesh] OR ""Diabetes Mellitus, Type 2/prevention and control""[Mesh] OR ""Diabetes Mellitus, Type 2/rehabilitation""[Mesh] OR ""Diabetes Mellitus, Type 2/therapy""[Mesh])","(""Hippophae"" NOT ""Hippophae/adverse effects"") AND (""Diabetes Mellitus, Type 2/diet therapy"" OR ""Diabetes Mellitus, Type 2/drug therapy"" OR ""Diabetes Mellitus, Type 2/prevention and control"" OR ""Diabetes Mellitus, Type 2/rehabilitation"" OR ""Diabetes Mellitus, Type 2/therapy"")"
