"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",51,"Breast Neoplasms",18,"ready",108,1,"Evaluation of the immunomodulatory activity of Aronia in combination with apple pectin in patients with breast cancer undergoing postoperative radiation therapy.","Yaneva MP, Botushanova AD, Grigorov LA, Kokov JL, Todorova EP, Krachanova MG","https://pubmed.ncbi.nlm.nih.gov/12422622/","12422622","No DOI available",,"No PMC available",,"Clinical Trial, Controlled Clinical Trial, Journal Article",4
"24","Apple",51,"Breast Neoplasms",18,"ready",108,2,"Effects of Pomegranate Juice on Hormonal Biomarkers of Breast Cancer Risk.","Kapoor R, Ronnenberg A, Puleo E, Chatterton RT Jr, Dorgan JF, Seeram NP, Sturgeon SR","https://pubmed.ncbi.nlm.nih.gov/26327495/","26327495","https://doi.org/10.1080/01635581.2015.1073756","10.1080/01635581.2015.1073756","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",51,"Breast Neoplasms",18,"ready",108,3,"In vitro measures used to predict anticancer activity of apple cultivars and their comparison to outcomes from a rat model of experimentally induced breast cancer.","Thompson MD, Stushnoff C, McGinley JN, Thompson HJ","https://pubmed.ncbi.nlm.nih.gov/19838923/","19838923","https://doi.org/10.1080/01635580902825563","10.1080/01635580902825563","No PMC available",,"Comparative Study, Journal Article",3
"24","Apple",51,"Breast Neoplasms",18,"ready",108,4,"Modulation of angiogenesis by dietary phytoconstituents in the prevention and intervention of breast cancer.","Reuben SC, Gopalan A, Petit DM, Bishayee A","https://pubmed.ncbi.nlm.nih.gov/22125182/","22125182","https://doi.org/10.1002/mnfr.201100619","10.1002/mnfr.201100619","No PMC available",,"Journal Article, Review",2
"24","Apple",51,"Breast Neoplasms",18,"ready",108,5,"Apple phytochemical extracts inhibit proliferation of estrogen-dependent and estrogen-independent human breast cancer cells through cell cycle modulation.","Sun J, Liu RH","https://pubmed.ncbi.nlm.nih.gov/19053381/","19053381","https://doi.org/10.1021/jf8021223","10.1021/jf8021223","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",51,"Breast Neoplasms",18,"ready",108,6,"Estrogenic and antiestrogenic activities of phloridzin.","Wang J, Chung MH, Xue B, Ma H, Ma C, Hattori M","https://pubmed.ncbi.nlm.nih.gov/20410591/","20410591","https://doi.org/10.1248/bpb.33.592","10.1248/bpb.33.592","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",51,"Breast Neoplasms",18,"ready",108,7,"Antiproliferative effects of apple peel extract against cancer cells.","Reagan-Shaw S, Eggert D, Mukhtar H, Ahmad N","https://pubmed.ncbi.nlm.nih.gov/20432173/","20432173","https://doi.org/10.1080/01635580903441253","10.1080/01635580903441253","No PMC available",,"Journal Article",0
"24","Apple",51,"Breast Neoplasms",18,"ready",108,8,"In vitro and in vivo antimammary tumor activities and mechanisms of the apple total triterpenoids.","He X, Wang Y, Hu H, Zhang Z","https://pubmed.ncbi.nlm.nih.gov/22924395/","22924395","https://doi.org/10.1021/jf3026925","10.1021/jf3026925","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",51,"Breast Neoplasms",18,"ready",108,9,"A novel triterpenoid isolated from apple functions as an anti-mammary tumor agent via a mitochondrial and caspase-independent apoptosis pathway.","Qiao A, Wang Y, Xiang L, Wang C, He X","https://pubmed.ncbi.nlm.nih.gov/25521501/","25521501","https://doi.org/10.1021/jf5053546","10.1021/jf5053546","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",51,"Breast Neoplasms",18,"ready",108,10,"Pectic-Oligoshaccharides from Apples Induce Apoptosis and Cell Cycle Arrest in MDA-MB-231 Cells, a Model of Human Breast Cancer.","Delphi L, Sepehri H, Khorramizadeh MR, Mansoori F","https://pubmed.ncbi.nlm.nih.gov/26225664/","26225664","https://doi.org/10.7314/apjcp.2015.16.13.5265","10.7314/apjcp.2015.16.13.5265","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
