"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,1,"The regular consumption of a polyphenol-rich apple does not influence endothelial function: a randomised double-blind trial in hypercholesterolemic adults.","Auclair S, Chironi G, Milenkovic D, Hollman PC, Renard CM, Mégnien JL, Gariepy J, Paul JL, Simon A, Scalbert A","https://pubmed.ncbi.nlm.nih.gov/20683465/","20683465","https://doi.org/10.1038/ejcn.2010.135","10.1038/ejcn.2010.135","No PMC available",,"Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,2,"Flavonoid-rich apples and nitrate-rich spinach augment nitric oxide status and improve endothelial function in healthy men and women: a randomized controlled trial.","Bondonno CP, Yang X, Croft KD, Considine MJ, Ward NC, Rich L, Puddey IB, Swinny E, Mubarak A, Hodgson JM","https://pubmed.ncbi.nlm.nih.gov/22019438/","22019438","https://doi.org/10.1016/j.freeradbiomed.2011.09.028","10.1016/j.freeradbiomed.2011.09.028","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,3,"Daily apple versus dried plum: impact on cardiovascular disease risk factors in postmenopausal women.","Chai SC, Hooshmand S, Saadat RL, Payton ME, Brummel-Smith K, Arjmandi BH","https://pubmed.ncbi.nlm.nih.gov/22818725/","22818725","https://doi.org/10.1016/j.jand.2012.05.005","10.1016/j.jand.2012.05.005","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, U.S. Gov't, Non-P.H.S.",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,4,"Effect of beetroot juice on lowering blood pressure in free-living, disease-free adults: a randomized, placebo-controlled trial.","Coles LT, Clifton PM","https://pubmed.ncbi.nlm.nih.gov/23231777/","23231777","https://doi.org/10.1186/1475-2891-11-106","10.1186/1475-2891-11-106","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3545899/","PMC3545899","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,5,"Intake of whole apples or clear apple juice has contrasting effects on plasma lipids in healthy volunteers.","Ravn-Haren G, Dragsted LO, Buch-Andersen T, Jensen EN, Jensen RI, Németh-Balogh M, Paulovicsová B, Bergström A, Wilcks A, Licht TR, Markowski J, Bügel S","https://pubmed.ncbi.nlm.nih.gov/23271615/","23271615","https://doi.org/10.1007/s00394-012-0489-z","10.1007/s00394-012-0489-z","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,6,"Dietary flavonoids added to pharmacological antihypertensive therapy are effective in improving blood pressure.","de Jesús Romero-Prado MM, Curiel-Beltrán JA, Miramontes-Espino MV, Cardona-Muñoz EG, Rios-Arellano A, Balam-Salazar LB","https://pubmed.ncbi.nlm.nih.gov/25441094/","25441094","https://doi.org/10.1111/bcpt.12360","10.1111/bcpt.12360","No PMC available",,"Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,7,"A Healthy Balance of Plasma Cholesterol by a Novel Annurca Apple-Based Nutraceutical Formulation: Results of a Randomized Trial.","Tenore GC, Caruso D, Buonomo G, D'Avino M, Campiglia P, Marinelli L, Novellino E","https://pubmed.ncbi.nlm.nih.gov/28296588/","28296588","https://doi.org/10.1089/jmf.2016.0152","10.1089/jmf.2016.0152","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5361772/","PMC5361772","Journal Article, Randomized Controlled Trial",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,8,"Effect of apple polyphenols on vascular oxidative stress and endothelium function: a translational study.","Cicero AFG, Caliceti C, Fogacci F, Giovannini M, Calabria D, Colletti A, Veronesi M, Roda A, Borghi C","https://pubmed.ncbi.nlm.nih.gov/28755406/","28755406","https://doi.org/10.1002/mnfr.201700373","10.1002/mnfr.201700373","No PMC available",,"Journal Article, Randomized Controlled Trial, Validation Study",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,9,"The effect of an apple polyphenol extract rich in epicatechin and flavan-3-ol oligomers on brachial artery flow-mediated vasodilatory function in volunteers with elevated blood pressure.","Saarenhovi M, Salo P, Scheinin M, Lehto J, Lovró Z, Tiihonen K, Lehtinen MJ, Junnila J, Hasselwander O, Tarpila A, Raitakari OT","https://pubmed.ncbi.nlm.nih.gov/29078780/","29078780","https://doi.org/10.1186/s12937-017-0291-0","10.1186/s12937-017-0291-0","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5660451/","PMC5660451","Journal Article, Randomized Controlled Trial",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,10,"Flavonoid-Rich Apple Improves Endothelial Function in Individuals at Risk for Cardiovascular Disease: A Randomized Controlled Clinical Trial.","Bondonno NP, Bondonno CP, Blekkenhorst LC, Considine MJ, Maghzal G, Stocker R, Woodman RJ, Ward NC, Hodgson JM, Croft KD","https://pubmed.ncbi.nlm.nih.gov/29086478/","29086478","https://doi.org/10.1002/mnfr.201700674","10.1002/mnfr.201700674","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,11,"Effect of Annurca Apple Polyphenols on Intermittent Claudication in Patients With Peripheral Artery Disease.","Tenore GC, D'Avino M, Caruso D, Buonomo G, Acampora C, Caruso G, Simone C, Ciampaglia R, Novellino E","https://pubmed.ncbi.nlm.nih.gov/30573159/","30573159","https://doi.org/10.1016/j.amjcard.2018.11.034","10.1016/j.amjcard.2018.11.034","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,12,"Lactofermented Annurca Apple Puree as a Functional Food Indicated for the Control of Plasma Lipid and Oxidative Amine Levels: Results from a Randomised Clinical Trial.","Tenore GC, Caruso D, Buonomo G, D'Avino M, Ciampaglia R, Maisto M, Schisano C, Bocchino B, Novellino E","https://pubmed.ncbi.nlm.nih.gov/30634393/","30634393","https://doi.org/10.3390/nu11010122","10.3390/nu11010122","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356833/","PMC6356833","Journal Article, Randomized Controlled Trial",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,13,"Chronic consumption of probiotics, oats, and apples has differential effects on postprandial bile acid profile and cardiometabolic disease risk markers compared with an isocaloric control (cornflakes): a randomized trial.","Pushpass RG, Alzoufairi S, Mancini A, Quilter K, Fava F, Delaiti S, Vrhovsek U, Christensen C, Joyce SA, Tuohy KM, Jackson KG, Lovegrove JA","https://pubmed.ncbi.nlm.nih.gov/36811563/","36811563","https://doi.org/10.1016/j.ajcnut.2022.10.013","10.1016/j.ajcnut.2022.10.013","No PMC available",,"Randomized Controlled Trial, Journal Article, Research Support, Non-U.S. Gov't",4
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,14,"Evaluation of cardiovascular protective effect of different apple varieties - Correlation of response with composition.","Serra AT, Rocha J, Sepodes B, Matias AA, Feliciano RP, de Carvalho A, Bronze MR, Duarte CM, Figueira ME","https://pubmed.ncbi.nlm.nih.gov/22980816/","22980816","https://doi.org/10.1016/j.foodchem.2012.07.067","10.1016/j.foodchem.2012.07.067","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,15,"Apples in the American diet.","Lewis N, Ruud J","https://pubmed.ncbi.nlm.nih.gov/15481742/","15481742","No DOI available",,"No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S., Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,16,"A comprehensive review of apples and apple components and their relationship to human health.","Hyson DA","https://pubmed.ncbi.nlm.nih.gov/22332082/","22332082","https://doi.org/10.3945/an.111.000513","10.3945/an.111.000513","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3183591/","PMC3183591","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,17,"Apples and cardiovascular health--is the gut microbiota a core consideration?","Koutsos A, Tuohy KM, Lovegrove JA","https://pubmed.ncbi.nlm.nih.gov/26016654/","26016654","https://doi.org/10.3390/nu7063959","10.3390/nu7063959","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4488768/","PMC4488768","Journal Article, Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,18,"An apple plus a Brazil nut a day keeps the doctors away: antioxidant capacity of foods and their health benefits.","Ferrari CK, Percário S, Silva JC, da Silva Torres EA","https://pubmed.ncbi.nlm.nih.gov/26572874/","26572874","https://doi.org/10.2174/1381612822666151117122715","10.2174/1381612822666151117122715","No PMC available",,"Journal Article, Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,19,"The effects and associations of whole-apple intake on diverse cardiovascular risk factors. A narrative review.","Sandoval-Ramírez BA, Catalán Ú, Calderón-Pérez L, Companys J, Pla-Pagà L, Ludwig IA, Romero MP, Solà R","https://pubmed.ncbi.nlm.nih.gov/31928209/","31928209","https://doi.org/10.1080/10408398.2019.1709801","10.1080/10408398.2019.1709801","No PMC available",,"Journal Article, Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,20,"Pathophysiological Basis for Nutraceutical Supplementation in Heart Failure: A Comprehensive Review.","Mollace V, Rosano GMC, Anker SD, Coats AJS, Seferovic P, Mollace R, Tavernese A, Gliozzi M, Musolino V, Carresi C, Maiuolo J, Macrì R, Bosco F, Chiocchi M, Romeo F, Metra M, Volterrani M","https://pubmed.ncbi.nlm.nih.gov/33477388/","33477388","https://doi.org/10.3390/nu13010257","10.3390/nu13010257","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829856/","PMC7829856","Journal Article, Review",2
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,21,"It Is Difficult to Compare Apples to Oranges: Acute and Chronic Type B Aortic Dissections, Complicated and Uncomplicated, Are Different and Should Be Treated as Such.","Preventza O, Coselli JS","https://pubmed.ncbi.nlm.nih.gov/26686434/","26686434","https://doi.org/10.1053/j.semtcvs.2015.08.001","10.1053/j.semtcvs.2015.08.001","No PMC available",,"Editorial, Comment",1
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,22,"Apples, orange, and pears. Transcatheter aortic valve implantation in intermediate risk patients has borne fruit.","Benedetto U, Sousa-Uva M","https://pubmed.ncbi.nlm.nih.gov/28359371/","28359371","https://doi.org/10.1016/j.jtcvs.2016.10.043","10.1016/j.jtcvs.2016.10.043","No PMC available",,"Letter, Comment",1
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,23,"An apple a day, keeps heart disease away.","Gao Y, Peng J, Cao Y, Cui L, Liu Q","https://pubmed.ncbi.nlm.nih.gov/29863406/","29863406","https://doi.org/10.1177/2047487318780749","10.1177/2047487318780749","No PMC available",,"Letter, Research Support, Non-U.S. Gov't",1
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,24,"Studies on lipoprotein(a) and outcomes in peripheral arterial disease: One must not compare apples with pears.","Kronenberg F","https://pubmed.ncbi.nlm.nih.gov/36424295/","36424295","https://doi.org/10.1016/j.atherosclerosis.2022.11.007","10.1016/j.atherosclerosis.2022.11.007","No PMC available",,"Editorial",1
"24","Apple",37,"Cardiovascular Diseases",43,"ready",360,25,"Commentary: Shaking trees, falling apples.","Mascio CE","https://pubmed.ncbi.nlm.nih.gov/37797935/","37797935","https://doi.org/10.1016/j.jtcvs.2023.09.062","10.1016/j.jtcvs.2023.09.062","No PMC available",,"Editorial, Comment",1
