"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",38,"Hyperlipidemias",18,"ready",172,1,"Weight loss associated with a daily intake of three apples or three pears among overweight women.","Conceição de Oliveira M, Sichieri R, Sanchez Moura A","https://pubmed.ncbi.nlm.nih.gov/12620529/","12620529","https://doi.org/10.1016/s0899-9007(02)00850-x","10.1016/s0899-9007(02)00850-x","No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,2,"The regular consumption of a polyphenol-rich apple does not influence endothelial function: a randomised double-blind trial in hypercholesterolemic adults.","Auclair S, Chironi G, Milenkovic D, Hollman PC, Renard CM, Mégnien JL, Gariepy J, Paul JL, Simon A, Scalbert A","https://pubmed.ncbi.nlm.nih.gov/20683465/","20683465","https://doi.org/10.1038/ejcn.2010.135","10.1038/ejcn.2010.135","No PMC available",,"Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,3,"Hypocholesterolaemic effects of lupin protein and pea protein/fibre combinations in moderately hypercholesterolaemic individuals.","Sirtori CR, Triolo M, Bosisio R, Bondioli A, Calabresi L, De Vergori V, Gomaraschi M, Mombelli G, Pazzucconi F, Zacherl C, Arnoldi A","https://pubmed.ncbi.nlm.nih.gov/22032303/","22032303","https://doi.org/10.1017/S0007114511004120","10.1017/S0007114511004120","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,4,"Cholesterol-lowering properties of different pectin types in mildly hyper-cholesterolemic men and women.","Brouns F, Theuwissen E, Adam A, Bell M, Berger A, Mensink RP","https://pubmed.ncbi.nlm.nih.gov/22190137/","22190137","https://doi.org/10.1038/ejcn.2011.208","10.1038/ejcn.2011.208","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,5,"Two apples a day lower serum cholesterol and improve cardiometabolic biomarkers in mildly hypercholesterolemic adults: a randomized, controlled, crossover trial.","Koutsos A, Riccadonna S, Ulaszewska MM, Franceschi P, Trošt K, Galvin A, Braune T, Fava F, Perenzoni D, Mattivi F, Tuohy KM, Lovegrove JA","https://pubmed.ncbi.nlm.nih.gov/31840162/","31840162","https://doi.org/10.1093/ajcn/nqz282","10.1093/ajcn/nqz282","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6997084/","PMC6997084","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,6,"A red-fleshed apple rich in anthocyanins improves endothelial function, reduces inflammation, and modulates the immune system in hypercholesterolemic subjects: the AppleCOR study.","Pedret A, Companys J, Calderón-Pérez L, Llauradó E, Pla-Pagà L, Salamanca P, Sandoval-Ramírez BA, Catalán Ú, Fernández-Castillejo S, Yuste S, Macià A, Gutiérrez-Tordera L, Bulló M, Camps J, Canela N, Valls RM, Rubió-Piqué L, Motilva MJ, Solà R","https://pubmed.ncbi.nlm.nih.gov/38751340/","38751340","https://doi.org/10.1039/d3fo05114e","10.1039/d3fo05114e","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,7,"Effect of consumption of anthocyanin-rich products on NMR lipoprotein subclasses and biomarkers in hypercholesterolemic subjects: a randomized controlled trial (the AppleCOR study).","Pedret A, Llauradó E, Calderón-Pérez L, Companys J, Pla-Pagà L, Salamanca P, Sandoval-Ramírez BA, Besora-Moreno M, Catalán Ú, Fernández-Castillejo S, Ludwig I, Macià A, Rubió-Piqué L, Sampson M, Remaley AT, Valls RM, Motilva MJ, Solà R","https://pubmed.ncbi.nlm.nih.gov/39950742/","39950742","https://doi.org/10.1039/d4fo02949f","10.1039/d4fo02949f","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",38,"Hyperlipidemias",18,"ready",172,8,"Hypolipidemic effect of fruit fibers in rats fed with high dietary fat.","Esmael OA, Sonbul SN, Kumosani TA, Moselhy SS","https://pubmed.ncbi.nlm.nih.gov/23315090/","23315090","https://doi.org/10.1177/0748233712472526","10.1177/0748233712472526","No PMC available",,"Comparative Study, Journal Article",3
"24","Apple",38,"Hyperlipidemias",18,"ready",172,9,"Metabolic Fate and Cardiometabolic Effects of Phenolic Compounds from Red-Fleshed Apple in Hypercholesterolemic Rats: A Comparative Study with Common White-Fleshed Apple. The AppleCOR Study.","Yuste S, Ludwig IA, Romero MP, Piñol-Felis C, Catalán Ú, Pedret A, Valls RM, Fernández-Castillejo S, Motilva MJ, Macià A, Rubió L","https://pubmed.ncbi.nlm.nih.gov/33851768/","33851768","https://doi.org/10.1002/mnfr.202001225","10.1002/mnfr.202001225","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",38,"Hyperlipidemias",18,"ready",172,10,"Lyophilized apple counteracts the development of hypercholesterolemia, oxidative stress, and renal dysfunction in obese Zucker rats.","Aprikian O, Busserolles J, Manach C, Mazur A, Morand C, Davicco MJ, Besson C, Rayssiguier Y, Rémésy C, Demigné C","https://pubmed.ncbi.nlm.nih.gov/12097678/","12097678","https://doi.org/10.1093/jn/132.7.1969","10.1093/jn/132.7.1969","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",38,"Hyperlipidemias",18,"ready",172,11,"Apple flavonols and n-3 polyunsaturated fatty acid-rich fish oil lowers blood C-reactive protein in rats with hypercholesterolemia and acute inflammation.","Sekhon-Loodu S, Catalli A, Kulka M, Wang Y, Shahidi F, Rupasinghe HP","https://pubmed.ncbi.nlm.nih.gov/25026921/","25026921","https://doi.org/10.1016/j.nutres.2014.05.002","10.1016/j.nutres.2014.05.002","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",38,"Hyperlipidemias",18,"ready",172,12,"Apple-Derived Pectin Modulates Gut Microbiota, Improves Gut Barrier Function, and Attenuates Metabolic Endotoxemia in Rats with Diet-Induced Obesity.","Jiang T, Gao X, Wu C, Tian F, Lei Q, Bi J, Xie B, Wang HY, Chen S, Wang X","https://pubmed.ncbi.nlm.nih.gov/26938554/","26938554","https://doi.org/10.3390/nu8030126","10.3390/nu8030126","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4808856/","PMC4808856","Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",38,"Hyperlipidemias",18,"ready",172,13,"Hypolipidemic and Antioxidant Effects of Malus toringoides (Rehd.) Hughes Leaves in High-Fat-Diet-Induced Hyperlipidemic Rats.","Huang S, Liu H, Meng N, Li B, Wang J","https://pubmed.ncbi.nlm.nih.gov/28296591/","28296591","https://doi.org/10.1089/jmf.2016.3778","10.1089/jmf.2016.3778","No PMC available",,"Journal Article",0
"24","Apple",38,"Hyperlipidemias",18,"ready",172,14,"Beneficial Effects of Apple Vinegar on Hyperglycemia and Hyperlipidemia in Hypercaloric-Fed Rats.","Ousaaid D, Laaroussi H, Bakour M, ElGhouizi A, Aboulghazi A, Lyoussi B, ElArabi I","https://pubmed.ncbi.nlm.nih.gov/32766316/","32766316","https://doi.org/10.1155/2020/9284987","10.1155/2020/9284987","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7374219/","PMC7374219","Journal Article",0
