"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",48,"Inflammation",22,"ready",148,1,"An investigation of the effect of an essential oil mouthrinse on induced bacteraemia: a pilot study.","Fine DH, Furgang D, McKiernan M, Tereski-Bischio D, Ricci-Nittel D, Zhang P, Araujo MW","https://pubmed.ncbi.nlm.nih.gov/20633071/","20633071","https://doi.org/10.1111/j.1600-051X.2010.01599.x","10.1111/j.1600-051X.2010.01599.x","No PMC available",,"Comparative Study, Journal Article, Randomized Controlled Trial",4
"24","Apple",48,"Inflammation",22,"ready",148,2,"Apple consumption reduces markers of postprandial inflammation following a high fat meal in overweight and obese adults: A randomized, crossover trial.","Liddle DM , Lin X , Ward EM , Cox LC , Wright AJ , Robinson LE ","https://pubmed.ncbi.nlm.nih.gov/34105575/","34105575","https://doi.org/10.1039/d1fo00392e","10.1039/d1fo00392e","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",48,"Inflammation",22,"ready",148,3,"Impact of chronic consumption of probiotics, oats, and apples on expression of genes related to bile acids, lipid, gut peptides, and inflammation in peripheral monocular cells - findings from the CABALA study.","Alzoufairi S, Pushpass RG, Liu L, Lovegrove JA, Jackson KG","https://pubmed.ncbi.nlm.nih.gov/40347281/","40347281","https://doi.org/10.1007/s00394-025-03694-x","10.1007/s00394-025-03694-x","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12065741/","PMC12065741","Journal Article, Randomized Controlled Trial",4
"24","Apple",48,"Inflammation",22,"ready",148,4,"Chemical composition and in vitro anti-inflammatory activity of apple phenolic extracts and of their sub-fractions.","Lauren DR, Smith WA, Adaim A, Cooney JM, Wibisono R, Jensen DJ, Zhang J, Skinner MA","https://pubmed.ncbi.nlm.nih.gov/19391030/","19391030","https://doi.org/10.1080/09637480902849203","10.1080/09637480902849203","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",48,"Inflammation",22,"ready",148,5,"Dietary flavonoids from modified apple reduce inflammation markers and modulate gut microbiota in mice.","Espley RV, Butts CA, Laing WA, Martell S, Smith H, McGhie TK, Zhang J, Paturi G, Hedderley D, Bovy A, Schouten HJ, Putterill J, Allan AC, Hellens RP","https://pubmed.ncbi.nlm.nih.gov/24353343/","24353343","https://doi.org/10.3945/jn.113.182659","10.3945/jn.113.182659","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",48,"Inflammation",22,"ready",148,6,"Docosahexaenoic acid ester of phloridzin inhibit lipopolysaccharide-induced inflammation in THP-1 differentiated macrophages.","Sekhon-Loodu S, Ziaullah, Rupasinghe HP","https://pubmed.ncbi.nlm.nih.gov/25637769/","25637769","https://doi.org/10.1016/j.intimp.2015.01.019","10.1016/j.intimp.2015.01.019","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",48,"Inflammation",22,"ready",148,7,"Apple peel polyphenols and their beneficial actions on oxidative stress and inflammation.","Denis MC, Furtos A, Dudonné S, Montoudis A, Garofalo C, Desjardins Y, Delvin E, Levy E","https://pubmed.ncbi.nlm.nih.gov/23372666/","23372666","https://doi.org/10.1371/journal.pone.0053725","10.1371/journal.pone.0053725","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3553108/","PMC3553108","Journal Article, Research Support, Non-U.S. Gov't, Retracted Publication",1
"24","Apple",48,"Inflammation",22,"ready",148,8,"Diets enriched in foods with high antioxidant activity reverse age-induced decreases in cerebellar beta-adrenergic function and increases in proinflammatory cytokines.","Gemma C, Mesches MH, Sepesi B, Choo K, Holmes DB, Bickford PC","https://pubmed.ncbi.nlm.nih.gov/12122072/","12122072","https://doi.org/10.1523/JNEUROSCI.22-14-06114.2002","10.1523/JNEUROSCI.22-14-06114.2002","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6757915/","PMC6757915","Journal Article, Research Support, U.S. Gov't, Non-P.H.S., Research Support, U.S. Gov't, P.H.S.",0
"24","Apple",48,"Inflammation",22,"ready",148,9,"Prevention of bone loss by phloridzin, an apple polyphenol, in ovariectomized rats under inflammation conditions.","Puel C, Quintin A, Mathey J, Obled C, Davicco MJ, Lebecque P, Kati-Coulibaly S, Horcajada MN, Coxam V","https://pubmed.ncbi.nlm.nih.gov/16307390/","16307390","https://doi.org/10.1007/s00223-005-0060-5","10.1007/s00223-005-0060-5","No PMC available",,"Journal Article",0
"24","Apple",48,"Inflammation",22,"ready",148,10,"Effects of apple juice on risk factors of lipid profile, inflammation and coagulation, endothelial markers and atherosclerotic lesions in high cholesterolemic rabbits.","Setorki M, Asgary S, Eidi A, Rohani AH, Esmaeil N","https://pubmed.ncbi.nlm.nih.gov/19804641/","19804641","https://doi.org/10.1186/1476-511X-8-39","10.1186/1476-511X-8-39","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2761910/","PMC2761910","Journal Article, Research Support, Non-U.S. Gov't",0
