"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,1,"Prognostic value of serum cardiac troponin I and T in chronic dialysis patients: a 1-year outcomes analysis.","Apple FS, Sharkey SW, Hoeft P, Skeate R, Voss E, Dahlmeier BA, Preese LM","https://pubmed.ncbi.nlm.nih.gov/9041216/","9041216","https://doi.org/10.1016/s0272-6386(97)90201-8","10.1016/s0272-6386(97)90201-8","No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial",4
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,2,"Cardiac troponin I, cardiac troponin T, and creatine kinase MB in dialysis patients without ischemic heart disease: evidence of cardiac troponin T expression in skeletal muscle.","McLaurin MD, Apple FS, Voss EM, Herzog CA, Sharkey SW","https://pubmed.ncbi.nlm.nih.gov/9191549/","9191549","No DOI available",,"No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,3,"Trends in Automated Peritoneal Dialysis Prescriptions in a Large Dialysis Organization in the United States.","Giles HE, Parameswaran V, Lasky R, Ficociello LH, Mullon C, Chatoth DK, Kraus M, Anger MS","https://pubmed.ncbi.nlm.nih.gov/38373051/","38373051","https://doi.org/10.2215/CJN.0000000000000436","10.2215/CJN.0000000000000436","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11168828/","PMC11168828","Letter",1
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,4,"Use of an easy commercially available software (VISICALC) on a low-cost personal computer (APPLE II PLUS) to assess a dialysis simulation model.","Vancini C","https://pubmed.ncbi.nlm.nih.gov/6336391/","6336391","No DOI available",,"No PMC available",,"Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,5,"[Utilization of an electronic archive in the organization of clinical data from patients at a dialysis center].","Ettari G, Maurino D, Donato G, Maritano G, De Prisco O, Boccardo G","https://pubmed.ncbi.nlm.nih.gov/8036555/","8036555","No DOI available",,"No PMC available",,"English Abstract, Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,6,"An interactive simulation in the health service.","Davies RM","https://pubmed.ncbi.nlm.nih.gov/10311286/","10311286","https://doi.org/10.1057/jors.1985.103","10.1057/jors.1985.103","No PMC available",,"Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,7,"Effects of water soaking and/or sodium polystyrene sulfonate addition on potassium content of foods.","Picq C, Asplanato M, Bernillon N, Fabre C, Roubeix M, Ricort JM","https://pubmed.ncbi.nlm.nih.gov/24720622/","24720622","https://doi.org/10.3109/09637486.2014.908172","10.3109/09637486.2014.908172","No PMC available",,"Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,8,"Multiple biomarkers including cardiac troponins T and I measured by high-sensitivity assays, as predictors of long-term mortality in patients with chronic renal failure who underwent dialysis.","Hickman PE, McGill D, Potter JM, Koerbin G, Apple FS, Talaulikar G","https://pubmed.ncbi.nlm.nih.gov/25851798/","25851798","https://doi.org/10.1016/j.amjcard.2015.02.066","10.1016/j.amjcard.2015.02.066","No PMC available",,"Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,9,"Prognostic Value of Serial Changes in High-Sensitivity Cardiac Troponin I and T over 3 Months Using Reference Change Values in Hemodialysis Patients.","Sandoval Y, Herzog CA, Love SA, Cao J, Hu Y, Wu AH, Gilbertson D, Brunelli SM, Young A, Ler R, Apple FS","https://pubmed.ncbi.nlm.nih.gov/26847217/","26847217","https://doi.org/10.1373/clinchem.2015.251835","10.1373/clinchem.2015.251835","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,10,"Renal Amyloidosis: Presentation, Diagnosis, and Management.","Gurung R, Li T","https://pubmed.ncbi.nlm.nih.gov/35085515/","35085515","https://doi.org/10.1016/j.amjmed.2022.01.003","10.1016/j.amjmed.2022.01.003","No PMC available",,"Journal Article",0
"24","Apple",91,"Kidney Failure, Chronic",11,"ready",64,11,"Development of a Patient Preference Survey for Wearable Kidney Replacement Therapy Devices.","Flythe JE, Forfang D, Gedney N, White DM, Wilkie C, Cavanaugh KL, Harris RC, Unruh M, Squillaci G, West M, Mansfield C, Soloe CS, Treiman K, Wood D, Hurst FP, Neuland CY, Saha A, Sheldon M, Tarver ME","https://pubmed.ncbi.nlm.nih.gov/35919522/","35919522","https://doi.org/10.34067/KID.0001862022","10.34067/KID.0001862022","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9337889/","PMC9337889","Journal Article, Research Support, N.I.H., Extramural",0
