"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",53,"Neoplasms",84,"ready",452,1,"Evaluation of the immunomodulatory activity of Aronia in combination with apple pectin in patients with breast cancer undergoing postoperative radiation therapy.","Yaneva MP, Botushanova AD, Grigorov LA, Kokov JL, Todorova EP, Krachanova MG","https://pubmed.ncbi.nlm.nih.gov/12422622/","12422622","No DOI available",,"No PMC available",,"Clinical Trial, Controlled Clinical Trial, Journal Article",4
"24","Apple",53,"Neoplasms",84,"ready",452,2,"A randomised trial of cranberry versus apple juice in the management of urinary symptoms during external beam radiation therapy for prostate cancer.","Campbell G, Pickles T, D'yachkova Y","https://pubmed.ncbi.nlm.nih.gov/14524485/","14524485","https://doi.org/10.1016/s0936-6555(03)00161-4","10.1016/s0936-6555(03)00161-4","No PMC available",,"Clinical Trial, Comparative Study, Journal Article, Randomized Controlled Trial",4
"24","Apple",53,"Neoplasms",84,"ready",452,3,"Effects of Pomegranate Juice on Hormonal Biomarkers of Breast Cancer Risk.","Kapoor R, Ronnenberg A, Puleo E, Chatterton RT Jr, Dorgan JF, Seeram NP, Sturgeon SR","https://pubmed.ncbi.nlm.nih.gov/26327495/","26327495","https://doi.org/10.1080/01635581.2015.1073756","10.1080/01635581.2015.1073756","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",53,"Neoplasms",84,"ready",452,4,"Does an apple a day keep the oncologist away?","Gallus S, Talamini R, Giacosa A, Montella M, Ramazzotti V, Franceschi S, Negri E, La Vecchia C","https://pubmed.ncbi.nlm.nih.gov/16091428/","16091428","https://doi.org/10.1093/annonc/mdi361","10.1093/annonc/mdi361","No PMC available",,"Comparative Study, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"24","Apple",53,"Neoplasms",84,"ready",452,5,"In vitro measures used to predict anticancer activity of apple cultivars and their comparison to outcomes from a rat model of experimentally induced breast cancer.","Thompson MD, Stushnoff C, McGinley JN, Thompson HJ","https://pubmed.ncbi.nlm.nih.gov/19838923/","19838923","https://doi.org/10.1080/01635580902825563","10.1080/01635580902825563","No PMC available",,"Comparative Study, Journal Article",3
"24","Apple",53,"Neoplasms",84,"ready",452,6,"Modified apple polysaccharide prevents against tumorigenesis in a mouse model of colitis-associated colon cancer: role of galectin-3 and apoptosis in cancer prevention.","Li Y, Liu L, Niu Y, Feng J, Sun Y, Kong X, Chen Y, Chen X, Gan H, Cao S, Mei Q","https://pubmed.ncbi.nlm.nih.gov/21516492/","21516492","https://doi.org/10.1007/s00394-011-0194-3","10.1007/s00394-011-0194-3","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",53,"Neoplasms",84,"ready",452,7,"Apples in the American diet.","Lewis N, Ruud J","https://pubmed.ncbi.nlm.nih.gov/15481742/","15481742","No DOI available",,"No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S., Review",2
"24","Apple",53,"Neoplasms",84,"ready",452,8,"Cancer chemopreventive potential of apples, apple juice, and apple components.","Gerhauser C","https://pubmed.ncbi.nlm.nih.gov/18855307/","18855307","https://doi.org/10.1055/s-0028-1088300","10.1055/s-0028-1088300","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"24","Apple",53,"Neoplasms",84,"ready",452,9,"Prevention of colon carcinogenesis by apple juice in vivo: impact of juice constituents and obesity.","Koch TC, Briviba K, Watzl B, Fähndrich C, Bub A, Rechkemmer G, Barth SW","https://pubmed.ncbi.nlm.nih.gov/19753605/","19753605","https://doi.org/10.1002/mnfr.200800457","10.1002/mnfr.200800457","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"24","Apple",53,"Neoplasms",84,"ready",452,10,"Modulation of angiogenesis by dietary phytoconstituents in the prevention and intervention of breast cancer.","Reuben SC, Gopalan A, Petit DM, Bishayee A","https://pubmed.ncbi.nlm.nih.gov/22125182/","22125182","https://doi.org/10.1002/mnfr.201100619","10.1002/mnfr.201100619","No PMC available",,"Journal Article, Review",2
