"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"24","Apple",82,"Obesity",39,"ready",260,1,"Weight loss associated with a daily intake of three apples or three pears among overweight women.","Conceição de Oliveira M, Sichieri R, Sanchez Moura A","https://pubmed.ncbi.nlm.nih.gov/12620529/","12620529","https://doi.org/10.1016/s0899-9007(02)00850-x","10.1016/s0899-9007(02)00850-x","No PMC available",,"Clinical Trial, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",82,"Obesity",39,"ready",260,2,"Apple polyphenols influence cholesterol metabolism in healthy subjects with relatively high body mass index.","Nagasako-Akazome Y, Kanda T, Ohtake Y, Shimasaki H, Kobayashi T","https://pubmed.ncbi.nlm.nih.gov/17898508/","17898508","https://doi.org/10.5650/jos.56.417","10.5650/jos.56.417","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",82,"Obesity",39,"ready",260,3,"A low-energy-dense diet adding fruit reduces weight and energy intake in women.","de Oliveira MC, Sichieri R, Venturim Mozzer R","https://pubmed.ncbi.nlm.nih.gov/18439712/","18439712","https://doi.org/10.1016/j.appet.2008.03.001","10.1016/j.appet.2008.03.001","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"24","Apple",82,"Obesity",39,"ready",260,4,"Effects of food form and timing of ingestion on appetite and energy intake in lean young adults and in young adults with obesity.","Mattes RD, Campbell WW","https://pubmed.ncbi.nlm.nih.gov/19248858/","19248858","https://doi.org/10.1016/j.jada.2008.11.031","10.1016/j.jada.2008.11.031","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2680008/","PMC2680008","Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural, Research Support, U.S. Gov't, Non-P.H.S.",4
"24","Apple",82,"Obesity",39,"ready",260,5,"Do food provisions packaged in single-servings reduce energy intake at breakfast during a brief behavioral weight-loss intervention?","Raynor HA, Van Walleghen EL, Niemeier H, Butryn ML, Wing RR","https://pubmed.ncbi.nlm.nih.gov/19857636/","19857636","https://doi.org/10.1016/j.jada.2009.08.009","10.1016/j.jada.2009.08.009","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2792041/","PMC2792041","Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural",4
"24","Apple",82,"Obesity",39,"ready",260,6,"Healthy apple program to support child care centers to alter nutrition and physical activity practices and improve child weight: a cluster randomized trial.","Stookey JD, Evans J, Chan C, Tao-Lew L, Arana T, Arthur S","https://pubmed.ncbi.nlm.nih.gov/29320996/","29320996","https://doi.org/10.1186/s12889-017-4951-y","10.1186/s12889-017-4951-y","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6389251/","PMC6389251","Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",4
"24","Apple",82,"Obesity",39,"ready",260,7,"Effects of Dried Apple Consumption on Body Composition, Serum Lipid Profile, Glucose Regulation, and Inflammatory Markers in Overweight and Obese Children.","Eisner A, Ramachandran P, Cabalbag C, Metti D, Shamloufard P, Kern M, Hong MY, Hooshmand S","https://pubmed.ncbi.nlm.nih.gov/31584311/","31584311","https://doi.org/10.1089/jmf.2019.0044","10.1089/jmf.2019.0044","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",82,"Obesity",39,"ready",260,8,"Apple consumption reduces markers of postprandial inflammation following a high fat meal in overweight and obese adults: A randomized, crossover trial.","Liddle DM , Lin X , Ward EM , Cox LC , Wright AJ , Robinson LE ","https://pubmed.ncbi.nlm.nih.gov/34105575/","34105575","https://doi.org/10.1039/d1fo00392e","10.1039/d1fo00392e","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"24","Apple",82,"Obesity",39,"ready",260,9,"Screening of polyphenolic plant extracts for anti-obesity properties in Wistar rats.","Boqué N, Campión J, de la Iglesia R, de la Garza AL, Milagro FI, San Román B, Bañuelos Ó, Martínez JA","https://pubmed.ncbi.nlm.nih.gov/23080265/","23080265","https://doi.org/10.1002/jsfa.5884","10.1002/jsfa.5884","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"24","Apple",82,"Obesity",39,"ready",260,10,"Reduction of the energy density of cat foods by increasing their fibre content with a view to nutrients' digestibility.","Fekete S, Hullár I, Andrásofszky E, Rigó Z, Berkényi T","https://pubmed.ncbi.nlm.nih.gov/11686789/","11686789","https://doi.org/10.1046/j.1439-0396.2001.00332.x","10.1046/j.1439-0396.2001.00332.x","No PMC available",,"Journal Article",0
"24","Apple",82,"Obesity",39,"ready",260,11,"Highly methoxylated pectin improves insulin resistance and other cardiometabolic risk factors in Zucker fatty rats.","Sánchez D, Muguerza B, Moulay L, Hernández R, Miguel M, Aleixandre A","https://pubmed.ncbi.nlm.nih.gov/18433105/","18433105","https://doi.org/10.1021/jf703598j","10.1021/jf703598j","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",82,"Obesity",39,"ready",260,12,"Soluble fiber-enriched diets improve inflammation and oxidative stress biomarkers in Zucker fatty rats.","Sánchez D, Quiñones M, Moulay L, Muguerza B, Miguel M, Aleixandre A","https://pubmed.ncbi.nlm.nih.gov/21349333/","21349333","https://doi.org/10.1016/j.phrs.2011.02.005","10.1016/j.phrs.2011.02.005","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",82,"Obesity",39,"ready",260,13,"Prevention of diet-induced obesity by apple polyphenols in Wistar rats through regulation of adipocyte gene expression and DNA methylation patterns.","Boqué N, de la Iglesia R, de la Garza AL, Milagro FI, Olivares M, Bañuelos O, Soria AC, Rodríguez-Sánchez S, Martínez JA, Campión J","https://pubmed.ncbi.nlm.nih.gov/23529981/","23529981","https://doi.org/10.1002/mnfr.201200686","10.1002/mnfr.201200686","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"24","Apple",82,"Obesity",39,"ready",260,14,"Dried apples enriched with mandarin juice by vacuum impregnation improve antioxidant capacity and decrease inflammation in obese children.","Codoñer-Franch P, Betoret E, Betoret N, López-Jaén AB, Valls-Bellés V, Fito P","https://pubmed.ncbi.nlm.nih.gov/23889639/","23889639","https://doi.org/10.3305/nh.2013.28.4.6580","10.3305/nh.2013.28.4.6580","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
