"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,1,"A phase Ib study of the effects of black raspberries on rectal polyps in patients with familial adenomatous polyposis.","Wang LS, Burke CA, Hasson H, Kuo CT, Molmenti CL, Seguin C, Liu P, Huang TH, Frankel WL, Stoner GD","https://pubmed.ncbi.nlm.nih.gov/24764585/","24764585","https://doi.org/10.1158/1940-6207.CAPR-14-0052","10.1158/1940-6207.CAPR-14-0052","No PMC available",,"Clinical Trial, Phase I, Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",4
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,2,"Chemopreventive Effects of Strawberry and Black Raspberry on Colorectal Cancer in Inflammatory Bowel Disease.","Chen T, Shi N, Afzali A","https://pubmed.ncbi.nlm.nih.gov/31163684/","31163684","https://doi.org/10.3390/nu11061261","10.3390/nu11061261","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627270/","PMC6627270","Journal Article, Review",2
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,3,"Synergistic interaction of sumac and raspberry mixtures in their antioxidant capacities and selective cytotoxicity against cancerous cells.","Wang S, Zhu F, Marcone MF","https://pubmed.ncbi.nlm.nih.gov/25313437/","25313437","https://doi.org/10.1089/jmf.2013.0171","10.1089/jmf.2013.0171","No PMC available",,"Journal Article",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,4,"Chemopreventive activity of ellagitannins and their derivatives from black raspberry seeds on HT-29 colon cancer cells.","Cho H, Jung H, Lee H, Yi HC, Kwak HK, Hwang KT","https://pubmed.ncbi.nlm.nih.gov/25906041/","25906041","https://doi.org/10.1039/c5fo00274e","10.1039/c5fo00274e","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,5,"Beneficial Regulation of Metabolic Profiles by Black Raspberries in Human Colorectal Cancer Patients.","Pan P, Skaer CW, Stirdivant SM, Young MR, Stoner GD, Lechner JF, Huang YW, Wang LS","https://pubmed.ncbi.nlm.nih.gov/26054356/","26054356","https://doi.org/10.1158/1940-6207.CAPR-15-0065","10.1158/1940-6207.CAPR-15-0065","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4527938/","PMC4527938","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,6,"In Vitro Antiproliferative Effect of the Acetone Extract of Rubus fairholmianus Gard. Root on Human Colorectal Cancer Cells.","Plackal Adimuriyil George B, Tynga IM, Abrahamse H","https://pubmed.ncbi.nlm.nih.gov/26078938/","26078938","https://doi.org/10.1155/2015/165037","10.1155/2015/165037","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4454701/","PMC4454701","Journal Article",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,7,"Black raspberries suppress colonic adenoma development in ApcMin/+ mice: relation to metabolite profiles.","Pan P, Skaer CW, Wang HT, Stirdivant SM, Young MR, Oshima K, Stoner GD, Lechner JF, Huang YW, Wang LS","https://pubmed.ncbi.nlm.nih.gov/26246425/","26246425","https://doi.org/10.1093/carcin/bgv117","10.1093/carcin/bgv117","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4598815/","PMC4598815","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,8,"Loss of free fatty acid receptor 2 enhances colonic adenoma development and reduces the chemopreventive effects of black raspberries in ApcMin/+ mice.","Pan P, W Skaer C, Wang HT, Oshima K, Huang YW, Yu J, Zhang J, M Yearsley M, A Agle K, R Drobyski W, Chen X, Wang LS","https://pubmed.ncbi.nlm.nih.gov/27866157/","27866157","https://doi.org/10.1093/carcin/bgw122","10.1093/carcin/bgw122","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219051/","PMC5219051","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,9,"Novel ent-Kaurane Diterpenoid from Rubus corchorifolius L. f. Inhibits Human Colon Cancer Cell Growth via Inducing Cell Cycle Arrest and Apoptosis.","Chen X, Wu X, Ouyang W, Gu M, Gao Z, Song M, Chen Y, Lin Y, Cao Y, Xiao H","https://pubmed.ncbi.nlm.nih.gov/28169543/","28169543","https://doi.org/10.1021/acs.jafc.6b05376","10.1021/acs.jafc.6b05376","No PMC available",,"Journal Article",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,10,"Dietary Red Raspberry Reduces Colorectal Inflammation and Carcinogenic Risk in Mice with Dextran Sulfate Sodium-Induced Colitis.","Bibi S, Du M, Zhu MJ","https://pubmed.ncbi.nlm.nih.gov/29897487/","29897487","https://doi.org/10.1093/jn/nxy007","10.1093/jn/nxy007","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7263837/","PMC7263837","Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,11,"Up-regulation of miR-24-1-5p is involved in the chemoprevention of colorectal cancer by black raspberry anthocyanins.","Zhang H, Guo J, Mao L, Li Q, Guo M, Mu T, Zhang Q, Bi X","https://pubmed.ncbi.nlm.nih.gov/30375302/","30375302","https://doi.org/10.1017/S0007114518003136","10.1017/S0007114518003136","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,12,"Upregulation of DKK3 by miR-483-3p plays an important role in the chemoprevention of colorectal cancer mediated by black raspberry anthocyanins.","Guo J, Yang Z, Zhou H, Yue J, Mu T, Zhang Q, Bi X","https://pubmed.ncbi.nlm.nih.gov/31763724/","31763724","https://doi.org/10.1002/mc.23138","10.1002/mc.23138","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,13,"Black Raspberries Suppress Colorectal Cancer by Enhancing Smad4 Expression in Colonic Epithelium and Natural Killer Cells.","Huang YW, Lin CW, Pan P, Shan T, Echeveste CE, Mo YY, Wang HT, Aldakkak M, Tsai S, Oshima K, Yearsley M, Xiao J, Cao H, Sun C, Du M, Bai W, Yu J, Wang LS","https://pubmed.ncbi.nlm.nih.gov/33424832/","33424832","https://doi.org/10.3389/fimmu.2020.570683","10.3389/fimmu.2020.570683","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7793748/","PMC7793748","Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov't, Non-P.H.S.",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,14,"Epigenetic Effects of Blackberry Extract on Human Colorectal Cancer Cells.","Tatar M, Varedi M, Naghibalhossaini F","https://pubmed.ncbi.nlm.nih.gov/34282673/","34282673","https://doi.org/10.1080/01635581.2021.1952454","10.1080/01635581.2021.1952454","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",47,"Colorectal Neoplasms",15,"ready",76,15,"Sirtuin1 (SIRT1) is involved in the anticancer effect of black raspberry anthocyanins in colorectal cancer.","Chen L, Li M, Zhou H, Liu Y, Pang W, Ma T, Niu C, Yang Z, Chang AK, Li X, Bi X","https://pubmed.ncbi.nlm.nih.gov/36056948/","36056948","https://doi.org/10.1007/s00394-022-02989-7","10.1007/s00394-022-02989-7","No PMC available",,"Journal Article",0
