"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,1,"Attenuation of Postmeal Metabolic Indices with Red Raspberries in Individuals at Risk for Diabetes: A Randomized Controlled Trial.","Xiao D, Zhu L, Edirisinghe I, Fareed J, Brailovsky Y, Burton-Freeman B","https://pubmed.ncbi.nlm.nih.gov/30767409/","30767409","https://doi.org/10.1002/oby.22406","10.1002/oby.22406","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,2,"Effects of Dietary Red Raspberry Consumption on Pre-Diabetes and Type 2 Diabetes Mellitus Parameters.","Derrick SA, Kristo AS, Reaves SK, Sikalidis AK","https://pubmed.ncbi.nlm.nih.gov/34501954/","34501954","https://doi.org/10.3390/ijerph18179364","10.3390/ijerph18179364","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8431376/","PMC8431376","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,3,"Evaluation of Rubus grandifolius L. (wild blackberries) activities targeting management of type-2 diabetes and obesity using in vitro models.","Spínola V, Pinto J, Llorent-Martínez EJ, Tomás H, Castilho PC","https://pubmed.ncbi.nlm.nih.gov/30408537/","30408537","https://doi.org/10.1016/j.fct.2018.11.006","10.1016/j.fct.2018.11.006","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,4,"Pelargonidin-3-O-glucoside Derived from Wild Raspberry Exerts Antihyperglycemic Effect by Inducing Autophagy and Modulating Gut Microbiota.","Su H, Xie L, Xu Y, Ke H, Bao T, Li Y, Chen W","https://pubmed.ncbi.nlm.nih.gov/31322351/","31322351","https://doi.org/10.1021/acs.jafc.9b03338","10.1021/acs.jafc.9b03338","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,5,"Chinese Sweet Leaf Tea (Rubus suavissimus) Mitigates LPS-Induced Low-Grade Chronic Inflammation and Reduces the Risk of Metabolic Disorders in a C57BL/6J Mouse Model.","Zhang H, Qi R, Zeng Y, Tsao R, Mine Y","https://pubmed.ncbi.nlm.nih.gov/31873011/","31873011","https://doi.org/10.1021/acs.jafc.9b05975","10.1021/acs.jafc.9b05975","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,6,"Effects of red raspberry polyphenols and metabolites on the biomarkers of inflammation and insulin resistance in type 2 diabetes: a pilot study.","Moreno Uclés R, González-Sarrías A, Espín JC, Tomás-Barberán FA, Janes M, Cheng H, Finley J, Greenway F, Losso JN","https://pubmed.ncbi.nlm.nih.gov/35421887/","35421887","https://doi.org/10.1039/d1fo02090k","10.1039/d1fo02090k","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,7,"The effect of the molecular weight of blackberry polysaccharides on gut microbiota modulation and hypoglycemic effect in vivo.","Xi L, Weibing X, Shuyong F, Sheng-Hua L, Xiong F, Chin-Ping T, Ping-Ping W, Zu-Man D, Chun C","https://pubmed.ncbi.nlm.nih.gov/39078268/","39078268","https://doi.org/10.1039/d4fo01989j","10.1039/d4fo01989j","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,8,"Study on the Mechanism of Raspberry (Rubi fructus) in Treating Type 2 Diabetes Based on UPLC-Q-Exactive Orbitrap MS, Network Pharmacology, and Experimental Validation.","Wang X, Zhang X, Liao Q, Rui X, Wang R","https://pubmed.ncbi.nlm.nih.gov/39496506/","39496506","https://doi.org/10.1002/pca.3464","10.1002/pca.3464","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,9,"Uncovering the phytochemical diversity and anti-diabetic potential of Rubus suavissimus leaf using conventional and novel extraction strategies.","Liu J, Li W, Lee PK, Hu X, Peng J, Xu Y, Wan H, Wong MK, Wu Z, Zhao D","https://pubmed.ncbi.nlm.nih.gov/41904866/","41904866","https://doi.org/10.1016/j.foodchem.2026.148983","10.1016/j.foodchem.2026.148983","No PMC available",,"Journal Article",0
"1","Blackberry",28,"Diabetes Mellitus, Type 2",10,"ready",56,10,"Modulatory role of blackberry fruit standardized extract on brain redox status and insulin signaling in type 2 diabetic rats.","Ahmad I, de Mello JE, da Silveira LM, de Aguiar MSS, Vizzotto M, Domingues WB, de Souza LP, Campos VF, Tavares RG, Spanevello RM, Stefanello FM","https://pubmed.ncbi.nlm.nih.gov/41931160/","41931160","https://doi.org/10.1007/s11033-026-11735-9","10.1007/s11033-026-11735-9","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13048955/","PMC13048955","Journal Article",0
