"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",48,"Inflammation",18,"ready",88,1,"An Open-Label Randomized Crossover Trial of Lyophilized Black Raspberries on Postprandial Inflammation in Older Overweight Males: A Pilot Study.","Sardo CL, Kitzmiller JP, Apseloff G, Harris RB, Roe DJ, Stoner GD, Jacobs ET","https://pubmed.ncbi.nlm.nih.gov/23982695/","23982695","https://doi.org/10.1097/MJT.0b013e3182a40bf8","10.1097/MJT.0b013e3182a40bf8","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blackberry",48,"Inflammation",18,"ready",88,2,"Berries as a Treatment for Obesity-Induced Inflammation: Evidence from Preclinical Models.","Land Lail H, Feresin RG, Hicks D, Stone B, Price E, Wanders D","https://pubmed.ncbi.nlm.nih.gov/33498671/","33498671","https://doi.org/10.3390/nu13020334","10.3390/nu13020334","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7912458/","PMC7912458","Journal Article, Review",2
"1","Blackberry",48,"Inflammation",18,"ready",88,3,"Red Raspberry Extract Decreases Depression-Like Behavior in Rats by Modulating Neuroinflammation and Oxidative Stress.","Chen Y, Yang X, Li H, Fang J","https://pubmed.ncbi.nlm.nih.gov/35818443/","35818443","https://doi.org/10.1155/2022/9943598","10.1155/2022/9943598","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9270999/","PMC9270999","Journal Article, Retracted Publication",1
"1","Blackberry",48,"Inflammation",18,"ready",88,4,"Berry anthocyanins suppress the expression and secretion of proinflammatory mediators in macrophages by inhibiting nuclear translocation of NF-κB independent of NRF2-mediated mechanism.","Lee SG, Kim B, Yang Y, Pham TX, Park YK, Manatou J, Koo SI, Chun OK, Lee JY","https://pubmed.ncbi.nlm.nih.gov/24565673/","24565673","https://doi.org/10.1016/j.jnutbio.2013.12.001","10.1016/j.jnutbio.2013.12.001","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",0
"1","Blackberry",48,"Inflammation",18,"ready",88,5,"Suppression of nuclear factor-kappa B and mitogen-activated protein kinase signalling pathways by goshonoside-F5 extracted from Rubi Fructus.","He JM, Chen SC, Li RP, Yuan LX, Bao JM, Guo ML","https://pubmed.ncbi.nlm.nih.gov/25523460/","25523460","https://doi.org/10.1016/j.intimp.2014.12.007","10.1016/j.intimp.2014.12.007","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,6,"The impact of chronic blackberry intake on the neuroinflammatory status of rats fed a standard or high-fat diet.","Meireles M, Marques C, Norberto S, Fernandes I, Mateus N, Rendeiro C, Spencer JP, Faria A, Calhau C","https://pubmed.ncbi.nlm.nih.gov/26315997/","26315997","https://doi.org/10.1016/j.jnutbio.2015.05.008","10.1016/j.jnutbio.2015.05.008","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"1","Blackberry",48,"Inflammation",18,"ready",88,7,"Rubus imperialis (Rosaceae) extract and pure compound niga-ichigoside F1: wound healing and anti-inflammatory effects.","Tonin TD, Thiesen LC, de Oliveira Nunes ML, Broering MF, Donato MP, Goss MJ, Petreanu M, Niero R, Machado ID, Santin JR","https://pubmed.ncbi.nlm.nih.gov/27527496/","27527496","https://doi.org/10.1007/s00210-016-1285-8","10.1007/s00210-016-1285-8","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,8,"Blackberry and Blueberry Anthocyanin Supplementation Counteract High-Fat-Diet-Induced Obesity by Alleviating Oxidative Stress and Inflammation and Accelerating Energy Expenditure.","Wu T, Gao Y, Guo X, Zhang M, Gong L","https://pubmed.ncbi.nlm.nih.gov/30057677/","30057677","https://doi.org/10.1155/2018/4051232","10.1155/2018/4051232","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6051031/","PMC6051031","Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,9,"Chinese Sweet Leaf Tea (Rubus suavissimus) Mitigates LPS-Induced Low-Grade Chronic Inflammation and Reduces the Risk of Metabolic Disorders in a C57BL/6J Mouse Model.","Zhang H, Qi R, Zeng Y, Tsao R, Mine Y","https://pubmed.ncbi.nlm.nih.gov/31873011/","31873011","https://doi.org/10.1021/acs.jafc.9b05975","10.1021/acs.jafc.9b05975","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,10,"The Protective Action of Rubus sp. Fruit Extract Against Oxidative Damage in Mice Exposed to Lipopolysaccharide.","Soares MSP, Luduvico KP, Chaves VC, Spohr L, Meine BM, Lencina CL, Reginatto FH, Spanevello RM, Simões CMO, Stefanello FM","https://pubmed.ncbi.nlm.nih.gov/33547616/","33547616","https://doi.org/10.1007/s11064-021-03248-7","10.1007/s11064-021-03248-7","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,11,"Effects of red raspberry polyphenols and metabolites on the biomarkers of inflammation and insulin resistance in type 2 diabetes: a pilot study.","Moreno Uclés R, González-Sarrías A, Espín JC, Tomás-Barberán FA, Janes M, Cheng H, Finley J, Greenway F, Losso JN","https://pubmed.ncbi.nlm.nih.gov/35421887/","35421887","https://doi.org/10.1039/d1fo02090k","10.1039/d1fo02090k","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,12,"Cloudberry (Rubus chamaemorus L.) Supplementation Attenuates the Development of Metabolic Inflammation in a High-Fat Diet Mouse Model of Obesity.","Pemmari T, Hämäläinen M, Ryyti R, Peltola R, Moilanen E","https://pubmed.ncbi.nlm.nih.gov/36145221/","36145221","https://doi.org/10.3390/nu14183846","10.3390/nu14183846","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9503149/","PMC9503149","Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,13,"A novel polysaccharide from Rubus chingii Hu unripe fruits: Extraction optimization, structural characterization and amelioration of colonic inflammation and oxidative stress.","Luo H, Ying N, Zhao Q, Chen J, Xu H, Jiang W, Wu Y, Wu Y, Gao H, Zheng H","https://pubmed.ncbi.nlm.nih.gov/37094397/","37094397","https://doi.org/10.1016/j.foodchem.2023.136152","10.1016/j.foodchem.2023.136152","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,14,"Unripe Rubus occidentalis, Ellagic Acid, and Urolithin A Attenuate Inflammatory Responses in IL-1β-Stimulated A549 Cells and PMA-Stimulated Differentiated HL-60 Cells.","Kim S, Kim J, Song Y, Kim S, Kong H","https://pubmed.ncbi.nlm.nih.gov/37571300/","37571300","https://doi.org/10.3390/nu15153364","10.3390/nu15153364","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10421179/","PMC10421179","Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,15,"Amelioration of obesity and inflammation by polysaccharide from unripe fruits of raspberry via gut microbiota regulation.","Huang Y, Hu J, Xia Q, Tang M, Wang Y, Wang G, Shao X, Yuan H, Li S, Huang P, Peng C, Guo J, Gui S","https://pubmed.ncbi.nlm.nih.gov/38309402/","38309402","https://doi.org/10.1016/j.ijbiomac.2024.129825","10.1016/j.ijbiomac.2024.129825","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,16,"Raspberry polysaccharides attenuate hepatic inflammation and oxidative stress in diet-induced obese mice by enhancing butyrate-mediated intestinal barrier function.","Wu M, Lyu Y, Xu H, Luo H, Yin X, Zheng H","https://pubmed.ncbi.nlm.nih.gov/38340928/","38340928","https://doi.org/10.1016/j.ijbiomac.2024.130007","10.1016/j.ijbiomac.2024.130007","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,17,"Treatment with Blackberry Extract and Metformin in Sporadic Alzheimer's Disease Model: Impact on Memory, Inflammation, Redox Status, Phosphorylated Tau Protein and Insulin Signaling.","de Mello JE, Teixeira FC, Dos Santos A, Luduvico K, Soares de Aguiar MS, Domingues WB, Campos VF, Tavares RG, Schneider A, Stefanello FM, Spanevello RM","https://pubmed.ncbi.nlm.nih.gov/38430352/","38430352","https://doi.org/10.1007/s12035-024-04062-2","10.1007/s12035-024-04062-2","No PMC available",,"Journal Article",0
"1","Blackberry",48,"Inflammation",18,"ready",88,18,"Raspberry Ketone Attenuates Hepatic Fibrogenesis and Inflammation via Regulating the Crosstalk of FXR and PGC-1α Signaling.","Jiang YC, Dou JY, Xuan MY, Gao C, Li ZX, Lian LH, Cui ZY, Nan JX, Wu YL","https://pubmed.ncbi.nlm.nih.gov/38970822/","38970822","https://doi.org/10.1021/acs.jafc.4c03286","10.1021/acs.jafc.4c03286","No PMC available",,"Journal Article",0
