"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blackberry",53,"Neoplasms",74,"ready",376,1,"Characterization of black raspberry functional food products for cancer prevention human clinical trials.","Gu J, Ahn-Jarvis JH, Riedl KM, Schwartz SJ, Clinton SK, Vodovotz Y","https://pubmed.ncbi.nlm.nih.gov/24345009/","24345009","https://doi.org/10.1021/jf404566p","10.1021/jf404566p","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4133319/","PMC4133319","Clinical Trial, Journal Article",4
"1","Blackberry",53,"Neoplasms",74,"ready",376,2,"A phase Ib study of the effects of black raspberries on rectal polyps in patients with familial adenomatous polyposis.","Wang LS, Burke CA, Hasson H, Kuo CT, Molmenti CL, Seguin C, Liu P, Huang TH, Frankel WL, Stoner GD","https://pubmed.ncbi.nlm.nih.gov/24764585/","24764585","https://doi.org/10.1158/1940-6207.CAPR-14-0052","10.1158/1940-6207.CAPR-14-0052","No PMC available",,"Clinical Trial, Phase I, Comparative Study, Journal Article, Randomized Controlled Trial, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",4
"1","Blackberry",53,"Neoplasms",74,"ready",376,3,"The Effects of Black Raspberry as a Whole Food-Based Approach on Biomarkers of Oxidative Stress in Buccal Cells and Urine of Smokers.","Chen KM, Sun YW, Krebs NM, Reinhart L, Sun D, Liao J, Cook R, Bond PE, Mallery SR, El-Bayoumy K","https://pubmed.ncbi.nlm.nih.gov/38286439/","38286439","https://doi.org/10.1158/1940-6207.CAPR-23-0153","10.1158/1940-6207.CAPR-23-0153","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10987264/","PMC10987264","Clinical Trial, Journal Article",4
"1","Blackberry",53,"Neoplasms",74,"ready",376,4,"Inhibition of benzo[a]pyrene-induced DNA adduct in buccal cells of smokers by black raspberry lozenges.","Chen KM, Krebs NM, Sun YW, Sun D, Liao J, Reinhart L, Krzeminski J, Amin S, Stoner G, Mallery SR, El-Bayoumy K","https://pubmed.ncbi.nlm.nih.gov/39367810/","39367810","https://doi.org/10.1093/carcin/bgae067","10.1093/carcin/bgae067","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11886790/","PMC11886790","Clinical Trial, Journal Article",4
"1","Blackberry",53,"Neoplasms",74,"ready",376,5,"Synthesis of biogenic Ag@Pd Core-shell nanoparticles having anti-cancer/anti-microbial functions.","Abdel-Fattah WI, Eid MM, Abd El-Moez SI, Mohamed E, Ali GW","https://pubmed.ncbi.nlm.nih.gov/28642073/","28642073","https://doi.org/10.1016/j.lfs.2017.06.017","10.1016/j.lfs.2017.06.017","No PMC available",,"Comparative Study, Journal Article",3
"1","Blackberry",53,"Neoplasms",74,"ready",376,6,"Rubus occidentalis: The black raspberry--its potential in the prevention of cancer.","Kula M, Krauze-Baranowska M","https://pubmed.ncbi.nlm.nih.gov/26699735/","26699735","https://doi.org/10.1080/01635581.2016.1115095","10.1080/01635581.2016.1115095","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"1","Blackberry",53,"Neoplasms",74,"ready",376,7,"Review of Common Alternative Herbal ""Remedies"" for Skin Cancer.","Li JY, Kampp JT","https://pubmed.ncbi.nlm.nih.gov/30096105/","30096105","https://doi.org/10.1097/DSS.0000000000001622","10.1097/DSS.0000000000001622","No PMC available",,"Journal Article, Review",2
"1","Blackberry",53,"Neoplasms",74,"ready",376,8,"Chemopreventive Effects of Strawberry and Black Raspberry on Colorectal Cancer in Inflammatory Bowel Disease.","Chen T, Shi N, Afzali A","https://pubmed.ncbi.nlm.nih.gov/31163684/","31163684","https://doi.org/10.3390/nu11061261","10.3390/nu11061261","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627270/","PMC6627270","Journal Article, Review",2
"1","Blackberry",53,"Neoplasms",74,"ready",376,9,"[A case of foveolar-type gastric adenocarcinoma with a raspberry-like appearance followed up by endoscopy].","Hamamoto T, Hasegawa T, Kawamura T, Matsumoto E, Hori T, Kishimoto Y, Tsuruhara I, Isomoto H","https://pubmed.ncbi.nlm.nih.gov/35022373/","35022373","https://doi.org/10.11405/nisshoshi.119.66","10.11405/nisshoshi.119.66","No PMC available",,"Case Reports, Journal Article",2
"1","Blackberry",53,"Neoplasms",74,"ready",376,10,"Gastric Foveolar-type Adenocarcinoma with Raspberry-like Appearance in a Helicobacter pylori-uninfected Stomach: A Long-term Retrospective Follow-up of 16 Years.","Isono Y, Baba Y, Mukai K, Takenaka T, Asakawa H, Tsuruga S, Kumazawa H, Tanaka H, Matsusaki S, Sase T, Saito T, Okano H","https://pubmed.ncbi.nlm.nih.gov/36476553/","36476553","https://doi.org/10.2169/internalmedicine.0965-22","10.2169/internalmedicine.0965-22","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10465297/","PMC10465297","Case Reports, Journal Article",2
