"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,1,"Effects of chronic consumption of specific fruit (berries, citrus and cherries) on CVD risk factors: a systematic review and meta-analysis of randomised controlled trials.","Wang Y, Gallegos JL, Haskell-Ramsay C, Lodge JK","https://pubmed.ncbi.nlm.nih.gov/32535781/","32535781","https://doi.org/10.1007/s00394-020-02299-w","10.1007/s00394-020-02299-w","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7900084/","PMC7900084","Journal Article, Meta-Analysis, Systematic Review",5
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,2,"Plant-Based Foods and Vascular Function: A Systematic Review of Dietary Intervention Trials in Older Subjects and Hypothesized Mechanisms of Action.","Tucci M, Marino M, Martini D, Porrini M, Riso P, Del Bo' C","https://pubmed.ncbi.nlm.nih.gov/35807796/","35807796","https://doi.org/10.3390/nu14132615","10.3390/nu14132615","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9268664/","PMC9268664","Journal Article, Systematic Review",5
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,3,"The effects of blueberry and cranberry supplementation on blood pressure in patients with cardiovascular diseases: A systematic review and meta-analysis of randomized clinical trials.","Delpino FM, Dos Santos FS, Flores TR, Cerqueira HS, Santos HO","https://pubmed.ncbi.nlm.nih.gov/37963472/","37963472","https://doi.org/10.1002/ptr.8069","10.1002/ptr.8069","No PMC available",,"Meta-Analysis, Systematic Review, Journal Article",5
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,4,"Effect of a wild blueberry (Vaccinium angustifolium) drink intervention on markers of oxidative stress, inflammation and endothelial function in humans with cardiovascular risk factors.","Riso P, Klimis-Zacas D, Del Bo' C, Martini D, Campolo J, Vendrame S, Møller P, Loft S, De Maria R, Porrini M","https://pubmed.ncbi.nlm.nih.gov/22733001/","22733001","https://doi.org/10.1007/s00394-012-0402-9","10.1007/s00394-012-0402-9","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,5,"Effects of exercise with or without blueberries in the diet on cardio-metabolic risk factors: an exploratory pilot study in healthy subjects.","Nyberg S, Gerring E, Gjellan S, Vergara M, Lindström T, Nystrom FH","https://pubmed.ncbi.nlm.nih.gov/23977864/","23977864","https://doi.org/10.3109/03009734.2013.825348","10.3109/03009734.2013.825348","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190883/","PMC4190883","Journal Article, Randomized Controlled Trial",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,6,"Six weeks daily ingestion of whole blueberry powder increases natural killer cell counts and reduces arterial stiffness in sedentary males and females.","McAnulty LS, Collier SR, Landram MJ, Whittaker DS, Isaacs SE, Klemka JM, Cheek SL, Arms JC, McAnulty SR","https://pubmed.ncbi.nlm.nih.gov/25150116/","25150116","https://doi.org/10.1016/j.nutres.2014.07.002","10.1016/j.nutres.2014.07.002","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,7,"A single serving of blueberry (V. corymbosum) modulates peripheral arterial dysfunction induced by acute cigarette smoking in young volunteers: a randomized-controlled trial.","Del Bo' C, Porrini M, Fracassetti D, Campolo J, Klimis-Zacas D, Riso P","https://pubmed.ncbi.nlm.nih.gov/25263326/","25263326","https://doi.org/10.1039/c4fo00570h","10.1039/c4fo00570h","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,8,"Daily blueberry consumption improves blood pressure and arterial stiffness in postmenopausal women with pre- and stage 1-hypertension: a randomized, double-blind, placebo-controlled clinical trial.","Johnson SA, Figueroa A, Navaei N, Wong A, Kalfon R, Ormsbee LT, Feresin RG, Elam ML, Hooshmand S, Payton ME, Arjmandi BH","https://pubmed.ncbi.nlm.nih.gov/25578927/","25578927","https://doi.org/10.1016/j.jand.2014.11.001","10.1016/j.jand.2014.11.001","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, U.S. Gov't, Non-P.H.S.",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,9,"Effects of daily blueberry consumption on circulating biomarkers of oxidative stress, inflammation, and antioxidant defense in postmenopausal women with pre- and stage 1-hypertension: a randomized controlled trial.","Johnson SA, Feresin RG, Navaei N, Figueroa A, Elam ML, Akhavan NS, Hooshmand S, Pourafshar S, Payton ME, Arjmandi BH","https://pubmed.ncbi.nlm.nih.gov/28059417/","28059417","https://doi.org/10.1039/c6fo01216g","10.1039/c6fo01216g","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"1","Blueberry",37,"Cardiovascular Diseases",54,"ready",540,10,"A serving of blueberry (V. corymbosum) acutely improves peripheral arterial dysfunction in young smokers and non-smokers: two randomized, controlled, crossover pilot studies.","Del Bo' C, Deon V, Campolo J, Lanti C, Parolini M, Porrini M, Klimis-Zacas D, Riso P","https://pubmed.ncbi.nlm.nih.gov/29019364/","29019364","https://doi.org/10.1039/c7fo00861a","10.1039/c7fo00861a","No PMC available",,"Journal Article, Randomized Controlled Trial",4
