"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,1,"Effects of blueberry and cranberry consumption on type 2 diabetes glycemic control: A systematic review.","Rocha DMUP, Caldas APS, da Silva BP, Hermsdorff HHM, Alfenas RCG","https://pubmed.ncbi.nlm.nih.gov/29345498/","29345498","https://doi.org/10.1080/10408398.2018.1430019","10.1080/10408398.2018.1430019","No PMC available",,"Journal Article, Systematic Review",5
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,2,"Effects of blueberry and cranberry on type 2 diabetes parameters in individuals with or without diabetes: A systematic review and meta-analysis of randomized clinical trials.","Delpino FM, Figueiredo LM, Gonçalves da Silva T, Flores TR","https://pubmed.ncbi.nlm.nih.gov/35282984/","35282984","https://doi.org/10.1016/j.numecd.2022.02.004","10.1016/j.numecd.2022.02.004","No PMC available",,"Journal Article, Meta-Analysis, Systematic Review, Research Support, Non-U.S. Gov't",5
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,3,"An evaluation of the effect of a topical product containing C-xyloside and blueberry extract on the appearance of type II diabetic skin.","Draelos ZD, Yatskayer M, Raab S, Oresajo C","https://pubmed.ncbi.nlm.nih.gov/19527341/","19527341","https://doi.org/10.1111/j.1473-2165.2009.00428.x","10.1111/j.1473-2165.2009.00428.x","No PMC available",,"Clinical Trial, Journal Article",4
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,4,"Postprandial Effects of Blueberry (Vaccinium angustifolium) Consumption on Glucose Metabolism, Gastrointestinal Hormone Response, and Perceived Appetite in Healthy Adults: A Randomized, Placebo-Controlled Crossover Trial.","Stote K, Corkum A, Sweeney M, Shakerley N, Kean T, Gottschall-Pass K","https://pubmed.ncbi.nlm.nih.gov/30669469/","30669469","https://doi.org/10.3390/nu11010202","10.3390/nu11010202","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6356777/","PMC6356777","Journal Article, Randomized Controlled Trial",4
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,5,"A novel cobiotic containing a prebiotic and an antioxidant augments the glucose control and gastrointestinal tolerability of metformin: a case report.","Greenway F, Wang S, Heiman M","https://pubmed.ncbi.nlm.nih.gov/23685372/","23685372","https://doi.org/10.3920/BM2012.0063","10.3920/BM2012.0063","No PMC available",,"Case Reports, Journal Article, Research Support, Non-U.S. Gov't",2
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,6,"A Brief Review of Blue- and Bilberries' Potential to Curb Cardio-Metabolic Perturbations: Focus on Diabetes.","Crespo MC, Visioli F","https://pubmed.ncbi.nlm.nih.gov/27748191/","27748191","https://doi.org/10.2174/1381612822666161010120523","10.2174/1381612822666161010120523","No PMC available",,"Journal Article, Review, Research Support, Non-U.S. Gov't",2
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,7,"Recent Research on the Health Benefits of Blueberries and Their Anthocyanins.","Kalt W, Cassidy A, Howard LR, Krikorian R, Stull AJ, Tremblay F, Zamora-Ros R","https://pubmed.ncbi.nlm.nih.gov/31329250/","31329250","https://doi.org/10.1093/advances/nmz065","10.1093/advances/nmz065","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7442370/","PMC7442370","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,8,"Dietary flavonoid intakes and risk of type 2 diabetes in US men and women.","Wedick NM, Pan A, Cassidy A, Rimm EB, Sampson L, Rosner B, Willett W, Hu FB, Sun Q, van Dam RM","https://pubmed.ncbi.nlm.nih.gov/22357723/","22357723","https://doi.org/10.3945/ajcn.111.028894","10.3945/ajcn.111.028894","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3302366/","PMC3302366","Journal Article, Research Support, N.I.H., Extramural",0
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,9,"[ANTI-INFLAMMATORY EFFECTS OF BLUEBERRY PASTE LIQBERRY® IN EXPERIMENTAL TYPE 2 DIABETES].","Osipenko S, Khromagina L, Khodakov I, Makarenko O","https://pubmed.ncbi.nlm.nih.gov/34749338/","34749338","No DOI available",,"No PMC available",,"Journal Article",0
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,10,"Blueberry Counteracts Prediabetes in a Hypercaloric Diet-Induced Rat Model and Rescues Hepatic Mitochondrial Bioenergetics.","Nunes S, Viana SD, Preguiça I, Alves A, Fernandes R, Teodoro JS, Matos P, Figueirinha A, Salgueiro L, André A, Silva S, Jarak I, Carvalho RA, Cavadas C, Rolo AP, Palmeira CM, Pintado MM, Reis F","https://pubmed.ncbi.nlm.nih.gov/34959746/","34959746","https://doi.org/10.3390/nu13124192","10.3390/nu13124192","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8706913/","PMC8706913","Journal Article",0
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,11,"Dietary Blueberry Ameliorates Vascular Complications in Diabetic Mice Possibly through NOX4 and Modulates Composition and Functional Diversity of Gut Microbes.","Petersen C, Bharat D, Wankhade UD, Kim JS, Cutler BR, Denetso C, Gholami S, Nelson S, Bigley J, Johnson A, Chintapalli SV, Piccolo BD, Satheesh Babu AK, Paz HA, Shankar K, Symons JD, Anandh Babu PV","https://pubmed.ncbi.nlm.nih.gov/35120277/","35120277","https://doi.org/10.1002/mnfr.202100784","10.1002/mnfr.202100784","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9132135/","PMC9132135","Journal Article",0
"1","Blueberry",28,"Diabetes Mellitus, Type 2",12,"ready",145,12,"Blueberry anthocyanin supplementation shows favorable trends in glycemic control and alters the gut microbiota in type 2 diabetes patients: a pilot study.","Hu X, Xu L, Li Y, Zhao X, Xing Y, Feng J, Zheng J, Xue C, Huang W, Lu S","https://pubmed.ncbi.nlm.nih.gov/41915410/","41915410","https://doi.org/10.1039/d5fo05613f","10.1039/d5fo05613f","No PMC available",,"Journal Article",0
