"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",51,"Breast Neoplasms",14,"ready",84,1,"Role of multi-component functional foods in the complex treatment of patients with advanced breast cancer.","Drăgan S, Nicola T, Ilina R, Ursoniu S, Kimar A, Nimade S, Nicola T","https://pubmed.ncbi.nlm.nih.gov/18389773/","18389773","No DOI available",,"No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",51,"Breast Neoplasms",14,"ready",84,2,"In vitro measures used to predict anticancer activity of apple cultivars and their comparison to outcomes from a rat model of experimentally induced breast cancer.","Thompson MD, Stushnoff C, McGinley JN, Thompson HJ","https://pubmed.ncbi.nlm.nih.gov/19838923/","19838923","https://doi.org/10.1080/01635580902825563","10.1080/01635580902825563","No PMC available",,"Comparative Study, Journal Article",3
"855","apples",51,"Breast Neoplasms",14,"ready",84,3,"Calcium-D-glucarate.","","https://pubmed.ncbi.nlm.nih.gov/12197785/","12197785","No DOI available",,"No PMC available",,"Journal Article, Review",2
"855","apples",51,"Breast Neoplasms",14,"ready",84,4,"Reducing Breast Cancer Recurrence: The Role of Dietary Polyphenolics.","Braakhuis AJ, Campion P, Bishop KS","https://pubmed.ncbi.nlm.nih.gov/27608040/","27608040","https://doi.org/10.3390/nu8090547","10.3390/nu8090547","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5037532/","PMC5037532","Journal Article, Review",2
"855","apples",51,"Breast Neoplasms",14,"ready",84,5,"Food sources of phytoestrogens and breast cancer risk in Mexican women.","Torres-Sánchez L, López-Carrillo L, López-Cervantes M, Rueda-Neria C, Wolff MS","https://pubmed.ncbi.nlm.nih.gov/11142084/","11142084","https://doi.org/10.1207/S15327914NC372_3","10.1207/S15327914NC372_3","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, P.H.S.",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,6,"Intake of fruits, vegetables and selected micronutrients in relation to the risk of breast cancer.","Malin AS, Qi D, Shu XO, Gao YT, Friedmann JM, Jin F, Zheng W","https://pubmed.ncbi.nlm.nih.gov/12704679/","12704679","https://doi.org/10.1002/ijc.11088","10.1002/ijc.11088","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1780272/","PMC1780272","Journal Article, Research Support, U.S. Gov't, P.H.S.",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,7,"Apple phytochemical extracts inhibit proliferation of estrogen-dependent and estrogen-independent human breast cancer cells through cell cycle modulation.","Sun J, Liu RH","https://pubmed.ncbi.nlm.nih.gov/19053381/","19053381","https://doi.org/10.1021/jf8021223","10.1021/jf8021223","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,8,"Antiproliferative effects of apple peel extract against cancer cells.","Reagan-Shaw S, Eggert D, Mukhtar H, Ahmad N","https://pubmed.ncbi.nlm.nih.gov/20432173/","20432173","https://doi.org/10.1080/01635580903441253","10.1080/01635580903441253","No PMC available",,"Journal Article",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,9,"In vitro and in vivo antimammary tumor activities and mechanisms of the apple total triterpenoids.","He X, Wang Y, Hu H, Zhang Z","https://pubmed.ncbi.nlm.nih.gov/22924395/","22924395","https://doi.org/10.1021/jf3026925","10.1021/jf3026925","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,10,"Pectic-Oligoshaccharides from Apples Induce Apoptosis and Cell Cycle Arrest in MDA-MB-231 Cells, a Model of Human Breast Cancer.","Delphi L, Sepehri H, Khorramizadeh MR, Mansoori F","https://pubmed.ncbi.nlm.nih.gov/26225664/","26225664","https://doi.org/10.7314/apjcp.2015.16.13.5265","10.7314/apjcp.2015.16.13.5265","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,11,"Effect of methyl butyrate aroma on the survival and viability of human breast cancer cells in vitro.","Khan MA, Ahmad R, Srivastava AN","https://pubmed.ncbi.nlm.nih.gov/27106628/","27106628","https://doi.org/10.1016/j.jnci.2016.02.005","10.1016/j.jnci.2016.02.005","No PMC available",,"Journal Article",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,12,"Apple pectin: A natural source for cancer suppression in 4T1 breast cancer cells in vitro and express p53 in mouse bearing 4T1 cancer tumors, in vivo.","Delphi L, Sepehri H","https://pubmed.ncbi.nlm.nih.gov/27697635/","27697635","https://doi.org/10.1016/j.biopha.2016.09.080","10.1016/j.biopha.2016.09.080","No PMC available",,"Journal Article",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,13,"Phloretin Inhibits the Proliferation of Breast Cancer Cells Through the Down-regulation of Estrogen Receptor α.","Jang SY, Kim J, Hong E, Yang YJ, Na Y, Yeom CH, Park S","https://pubmed.ncbi.nlm.nih.gov/38423666/","38423666","https://doi.org/10.21873/anticanres.16906","10.21873/anticanres.16906","No PMC available",,"Journal Article",0
"855","apples",51,"Breast Neoplasms",14,"ready",84,14,"Total triterpenoids from apple peels exert pronounced anti-breast-cancer activity in vivo and in vitro.","Yan W, Chen C, Zheng Y, Xu J, Wang Y, He X","https://pubmed.ncbi.nlm.nih.gov/39007208/","39007208","https://doi.org/10.1002/jsfa.13745","10.1002/jsfa.13745","No PMC available",,"Journal Article",0
