"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,1,"Pharmacological Aspects and Potential Use of Phloretin: A Systemic Review.","Mariadoss AVA, Vinyagam R, Rajamanickam V, Sankaran V, Venkatesan S, David E","https://pubmed.ncbi.nlm.nih.gov/30864525/","30864525","https://doi.org/10.2174/1389557519666190311154425","10.2174/1389557519666190311154425","No PMC available",,"Journal Article, Systematic Review",5
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,2,"Apple or apple polyphenol consumption improves cardiovascular disease risk factors: a systematic review and meta-analysis.","Zhu X, Xu G, Jin W, Gu Y, Huang X, Ge L","https://pubmed.ncbi.nlm.nih.gov/34565081/","34565081","https://doi.org/10.31083/j.rcm2203089","10.31083/j.rcm2203089","No PMC available",,"Meta-Analysis, Systematic Review, Journal Article",5
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,3,"Ingestion of quercetin inhibits platelet aggregation and essential components of the collagen-stimulated platelet activation pathway in humans.","Hubbard GP, Wolffram S, Lovegrove JA, Gibbins JM","https://pubmed.ncbi.nlm.nih.gov/15613018/","15613018","https://doi.org/10.1111/j.1538-7836.2004.01067.x","10.1111/j.1538-7836.2004.01067.x","No PMC available",,"Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,4,"Flavonoid-rich apples and nitrate-rich spinach augment nitric oxide status and improve endothelial function in healthy men and women: a randomized controlled trial.","Bondonno CP, Yang X, Croft KD, Considine MJ, Ward NC, Rich L, Puddey IB, Swinny E, Mubarak A, Hodgson JM","https://pubmed.ncbi.nlm.nih.gov/22019438/","22019438","https://doi.org/10.1016/j.freeradbiomed.2011.09.028","10.1016/j.freeradbiomed.2011.09.028","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,5,"Daily apple versus dried plum: impact on cardiovascular disease risk factors in postmenopausal women.","Chai SC, Hooshmand S, Saadat RL, Payton ME, Brummel-Smith K, Arjmandi BH","https://pubmed.ncbi.nlm.nih.gov/22818725/","22818725","https://doi.org/10.1016/j.jand.2012.05.005","10.1016/j.jand.2012.05.005","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, U.S. Gov't, Non-P.H.S.",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,6,"Intake of whole apples or clear apple juice has contrasting effects on plasma lipids in healthy volunteers.","Ravn-Haren G, Dragsted LO, Buch-Andersen T, Jensen EN, Jensen RI, Németh-Balogh M, Paulovicsová B, Bergström A, Wilcks A, Licht TR, Markowski J, Bügel S","https://pubmed.ncbi.nlm.nih.gov/23271615/","23271615","https://doi.org/10.1007/s00394-012-0489-z","10.1007/s00394-012-0489-z","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,7,"Flavonoid-Rich Apple Improves Endothelial Function in Individuals at Risk for Cardiovascular Disease: A Randomized Controlled Clinical Trial.","Bondonno NP, Bondonno CP, Blekkenhorst LC, Considine MJ, Maghzal G, Stocker R, Woodman RJ, Ward NC, Hodgson JM, Croft KD","https://pubmed.ncbi.nlm.nih.gov/29086478/","29086478","https://doi.org/10.1002/mnfr.201700674","10.1002/mnfr.201700674","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,8,"Chronic consumption of probiotics, oats, and apples has differential effects on postprandial bile acid profile and cardiometabolic disease risk markers compared with an isocaloric control (cornflakes): a randomized trial.","Pushpass RG, Alzoufairi S, Mancini A, Quilter K, Fava F, Delaiti S, Vrhovsek U, Christensen C, Joyce SA, Tuohy KM, Jackson KG, Lovegrove JA","https://pubmed.ncbi.nlm.nih.gov/36811563/","36811563","https://doi.org/10.1016/j.ajcnut.2022.10.013","10.1016/j.ajcnut.2022.10.013","No PMC available",,"Randomized Controlled Trial, Journal Article, Research Support, Non-U.S. Gov't",4
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,9,"A comparison of knowledge and attitudes about diet and health among 35- to 75-year-old adults in the United States and Geneva, Switzerland.","Girois SB, Kumanyika SK, Morabia A, Mauger E","https://pubmed.ncbi.nlm.nih.gov/11236407/","11236407","https://doi.org/10.2105/ajph.91.3.418","10.2105/ajph.91.3.418","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1446579/","PMC1446579","Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,10,"Evaluation of cardiovascular protective effect of different apple varieties - Correlation of response with composition.","Serra AT, Rocha J, Sepodes B, Matias AA, Feliciano RP, de Carvalho A, Bronze MR, Duarte CM, Figueira ME","https://pubmed.ncbi.nlm.nih.gov/22980816/","22980816","https://doi.org/10.1016/j.foodchem.2012.07.067","10.1016/j.foodchem.2012.07.067","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,11,"Dietary antioxidant capacity of the patients with cardiovascular disease in a cross-sectional study.","Zujko ME, Witkowska AM, Waśkiewicz A, Piotrowski W, Terlikowska KM","https://pubmed.ncbi.nlm.nih.gov/25880233/","25880233","https://doi.org/10.1186/s12937-015-0005-4","10.1186/s12937-015-0005-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4365551/","PMC4365551","Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",37,"Cardiovascular Diseases",37,"ready",430,12,"[The use of anthocyanins in the treatment of cardiovascular diseases].","Kowalczyk E, Krzesiński P, Fijałkowski P, Błaszczyk J, Kowalski J","https://pubmed.ncbi.nlm.nih.gov/16194041/","16194041","No DOI available",,"No PMC available",,"English Abstract, Journal Article, Review",2
