"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,1,"Apple and pear consumption and type 2 diabetes mellitus risk: a meta-analysis of prospective cohort studies.","Guo XF, Yang B, Tang J, Jiang JJ, Li D","https://pubmed.ncbi.nlm.nih.gov/28186516/","28186516","https://doi.org/10.1039/c6fo01378c","10.1039/c6fo01378c","No PMC available",,"Journal Article, Meta-Analysis, Review",5
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,2,"Bioactive Compounds Effective Against Type 2 Diabetes Mellitus: A Systematic Review.","Egbuna C, Awuchi CG, Kushwaha G, Rudrapal M, Patrick-Iwuanyanwu KC, Singh O, Odoh UE, Khan J, Jeevanandam J, Kumarasamy S, Chukwube VO, Narayanan M, Palai S, Găman MA, Uche CZ, Ogaji DS, Ezeofor NJ, Mtewa AG, Patrick-Iwuanyanwu CC, Kesh SS, Shivamallu C, Saravanan K, Tijjani H, Akram M, Ifemeje JC, Olisah MC, Chikwendu CJ","https://pubmed.ncbi.nlm.nih.gov/33966619/","33966619","https://doi.org/10.2174/1568026621666210509161059","10.2174/1568026621666210509161059","No PMC available",,"Journal Article, Systematic Review",5
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,3,"No important differences in glycaemic responses to common fruits in type 2 diabetic patients.","Lunetta M, Di Mauro M, Crimi S, Mughini L","https://pubmed.ncbi.nlm.nih.gov/7587005/","7587005","https://doi.org/10.1111/j.1464-5491.1995.tb00568.x","10.1111/j.1464-5491.1995.tb00568.x","No PMC available",,"Clinical Trial, Comparative Study, Journal Article, Randomized Controlled Trial",4
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,4,"Feasibility and acceptability of miracle fruit application prior to the consumption of sour-tasting foods as a weight-loss strategy in adults with diabetes or prediabetes: A randomized crossover trial.","Choi S, Park T","https://pubmed.ncbi.nlm.nih.gov/37726068/","37726068","https://doi.org/10.1016/j.appet.2023.107046","10.1016/j.appet.2023.107046","No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,5,"Varietal influences on antihyperglycemia properties of freshly harvested apples using in vitro assay models.","Barbosa AC, Pinto Mda S, Sarkar D, Ankolekar C, Greene D, Shetty K","https://pubmed.ncbi.nlm.nih.gov/20874247/","20874247","https://doi.org/10.1089/jmf.2009.0273","10.1089/jmf.2009.0273","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,6,"Diet and endothelial function: from individual components to dietary patterns.","Landberg R, Naidoo N, van Dam RM","https://pubmed.ncbi.nlm.nih.gov/22327611/","22327611","https://doi.org/10.1097/MOL.0b013e328351123a","10.1097/MOL.0b013e328351123a","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,7,"Twice-Daily NPH or mixture insulins versus triple therapy: apples versus oranges: response to Poulsen et al.","Davidson MB","https://pubmed.ncbi.nlm.nih.gov/15220288/","15220288","https://doi.org/10.2337/diacare.27.7.1846","10.2337/diacare.27.7.1846","No PMC available",,"Letter, Comment",1
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,8,"The serum insulin and plasma glucose responses to milk and fruit products in type 2 (non-insulin-dependent) diabetic patients.","Gannon MC, Nuttall FQ, Krezowski PA, Billington CJ, Parker S","https://pubmed.ncbi.nlm.nih.gov/3545955/","3545955","https://doi.org/10.1007/BF00873217","10.1007/BF00873217","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",0
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,9,"Dietary flavonoid intakes and risk of type 2 diabetes in US men and women.","Wedick NM, Pan A, Cassidy A, Rimm EB, Sampson L, Rosner B, Willett W, Hu FB, Sun Q, van Dam RM","https://pubmed.ncbi.nlm.nih.gov/22357723/","22357723","https://doi.org/10.3945/ajcn.111.028894","10.3945/ajcn.111.028894","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3302366/","PMC3302366","Journal Article, Research Support, N.I.H., Extramural",0
"855","apples",28,"Diabetes Mellitus, Type 2",15,"ready",160,10,"Adherence to a Healthy Nordic Food Index Is Associated with a Lower Risk of Type-2 Diabetes--The Danish Diet, Cancer and Health Cohort Study.","Lacoppidan SA, Kyrø C, Loft S, Helnæs A, Christensen J, Hansen CP, Dahm CC, Overvad K, Tjønneland A, Olsen A","https://pubmed.ncbi.nlm.nih.gov/26506373/","26506373","https://doi.org/10.3390/nu7105418","10.3390/nu7105418","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4632438/","PMC4632438","Journal Article, Research Support, Non-U.S. Gov't",0
