"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",48,"Inflammation",18,"ready",175,1,"Pharmacological Aspects and Potential Use of Phloretin: A Systemic Review.","Mariadoss AVA, Vinyagam R, Rajamanickam V, Sankaran V, Venkatesan S, David E","https://pubmed.ncbi.nlm.nih.gov/30864525/","30864525","https://doi.org/10.2174/1389557519666190311154425","10.2174/1389557519666190311154425","No PMC available",,"Journal Article, Systematic Review",5
"855","apples",48,"Inflammation",18,"ready",175,2,"Apple consumption reduces markers of postprandial inflammation following a high fat meal in overweight and obese adults: A randomized, crossover trial.","Liddle DM , Lin X , Ward EM , Cox LC , Wright AJ , Robinson LE ","https://pubmed.ncbi.nlm.nih.gov/34105575/","34105575","https://doi.org/10.1039/d1fo00392e","10.1039/d1fo00392e","No PMC available",,"Journal Article, Randomized Controlled Trial",4
"855","apples",48,"Inflammation",18,"ready",175,3,"Impact of chronic consumption of probiotics, oats, and apples on expression of genes related to bile acids, lipid, gut peptides, and inflammation in peripheral monocular cells - findings from the CABALA study.","Alzoufairi S, Pushpass RG, Liu L, Lovegrove JA, Jackson KG","https://pubmed.ncbi.nlm.nih.gov/40347281/","40347281","https://doi.org/10.1007/s00394-025-03694-x","10.1007/s00394-025-03694-x","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12065741/","PMC12065741","Journal Article, Randomized Controlled Trial",4
"855","apples",48,"Inflammation",18,"ready",175,4,"Dietary flavonoids from modified apple reduce inflammation markers and modulate gut microbiota in mice.","Espley RV, Butts CA, Laing WA, Martell S, Smith H, McGhie TK, Zhang J, Paturi G, Hedderley D, Bovy A, Schouten HJ, Putterill J, Allan AC, Hellens RP","https://pubmed.ncbi.nlm.nih.gov/24353343/","24353343","https://doi.org/10.3945/jn.113.182659","10.3945/jn.113.182659","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",48,"Inflammation",18,"ready",175,5,"Anti-inflammatory and wound healing potential of cashew apple juice (Anacardium occidentale L.) in mice.","da Silveira Vasconcelos M, Gomes-Rochette NF, de Oliveira ML, Nunes-Pinheiro DC, Tomé AR, Maia de Sousa FY, Pinheiro FG, Moura CF, Miranda MR, Mota EF, de Melo DF","https://pubmed.ncbi.nlm.nih.gov/25819683/","25819683","https://doi.org/10.1177/1535370215576299","10.1177/1535370215576299","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4935347/","PMC4935347","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",48,"Inflammation",18,"ready",175,6,"Resveratrol: How Much Wine Do You Have to Drink to Stay Healthy?","Weiskirchen S, Weiskirchen R","https://pubmed.ncbi.nlm.nih.gov/27422505/","27422505","https://doi.org/10.3945/an.115.011627","10.3945/an.115.011627","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4942868/","PMC4942868","Journal Article, Review",2
"855","apples",48,"Inflammation",18,"ready",175,7,"Effects and Mechanisms of Luteolin, a Plant-Based Flavonoid, in the Prevention of Cancers via Modulation of Inflammation and Cell Signaling Molecules.","Almatroodi SA, Almatroudi A, Alharbi HOA, Khan AA, Rahmani AH","https://pubmed.ncbi.nlm.nih.gov/38474604/","38474604","https://doi.org/10.3390/molecules29051093","10.3390/molecules29051093","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10934766/","PMC10934766","Journal Article, Review",2
"855","apples",48,"Inflammation",18,"ready",175,8,"Fisetin: a multitarget flavonol bridging oxidative stress, inflammation, aging, and cancer.","Chahal SK, Kabra A, Saeedan AS, Ansari MN","https://pubmed.ncbi.nlm.nih.gov/41538057/","41538057","https://doi.org/10.1007/s00210-025-04912-3","10.1007/s00210-025-04912-3","No PMC available",,"Journal Article, Review",2
"855","apples",48,"Inflammation",18,"ready",175,9,"Phloretin as a Multitarget Neuroprotective Agent: Mechanistic Insights into the Modulation of Oxidative Stress, Inflammation, and Apoptosis.","Kumari P, Singh L","https://pubmed.ncbi.nlm.nih.gov/41636944/","41636944","https://doi.org/10.1007/s12017-026-08908-x","10.1007/s12017-026-08908-x","No PMC available",,"Journal Article, Review",2
"855","apples",48,"Inflammation",18,"ready",175,10,"Modulation of infection-induced inflammation and locomotive deficit and longevity in senescence-accelerated mice-prone (SAMP8) model by the oligomerized polyphenol Oligonol.","Tomobe K, Fujii H, Sun B, Nishioka H, Aruoma OI","https://pubmed.ncbi.nlm.nih.gov/17644302/","17644302","https://doi.org/10.1016/j.biopha.2007.05.007","10.1016/j.biopha.2007.05.007","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't",0
