"item_id","root_name","disease_id","disease_name","articles_count","category","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","rate"
"855","apples",53,"Neoplasms",104,"ready",860,1,"Pharmacological Aspects and Potential Use of Phloretin: A Systemic Review.","Mariadoss AVA, Vinyagam R, Rajamanickam V, Sankaran V, Venkatesan S, David E","https://pubmed.ncbi.nlm.nih.gov/30864525/","30864525","https://doi.org/10.2174/1389557519666190311154425","10.2174/1389557519666190311154425","No PMC available",,"Journal Article, Systematic Review",5
"855","apples",53,"Neoplasms",104,"ready",860,2,"Different types of fruit intake and colorectal cancer risk: A meta-analysis of observational studies.","Wu ZY, Chen JL, Li H, Su K, Han YW","https://pubmed.ncbi.nlm.nih.gov/37213399/","37213399","https://doi.org/10.3748/wjg.v29.i17.2679","10.3748/wjg.v29.i17.2679","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10198059/","PMC10198059","Meta-Analysis, Review, Journal Article",5
"855","apples",53,"Neoplasms",104,"ready",860,3,"Role of multi-component functional foods in the complex treatment of patients with advanced breast cancer.","Drăgan S, Nicola T, Ilina R, Ursoniu S, Kimar A, Nimade S, Nicola T","https://pubmed.ncbi.nlm.nih.gov/18389773/","18389773","No DOI available",,"No PMC available",,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",4
"855","apples",53,"Neoplasms",104,"ready",860,4,"A comparison of knowledge and attitudes about diet and health among 35- to 75-year-old adults in the United States and Geneva, Switzerland.","Girois SB, Kumanyika SK, Morabia A, Mauger E","https://pubmed.ncbi.nlm.nih.gov/11236407/","11236407","https://doi.org/10.2105/ajph.91.3.418","10.2105/ajph.91.3.418","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1446579/","PMC1446579","Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,5,"Does an apple a day keep the oncologist away?","Gallus S, Talamini R, Giacosa A, Montella M, Ramazzotti V, Franceschi S, Negri E, La Vecchia C","https://pubmed.ncbi.nlm.nih.gov/16091428/","16091428","https://doi.org/10.1093/annonc/mdi361","10.1093/annonc/mdi361","No PMC available",,"Comparative Study, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,6,"Intake of fruits and vegetables and polymorphisms in DNA repair genes in bladder cancer.","Sacerdote C, Matullo G, Polidoro S, Gamberini S, Piazza A, Karagas MR, Rolle L, De Stefanis P, Casetta G, Morabito F, Vineis P, Guarrera S","https://pubmed.ncbi.nlm.nih.gov/17515441/","17515441","https://doi.org/10.1093/mutage/gem014","10.1093/mutage/gem014","No PMC available",,"Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,7,"Fruit and vegetable intake and head and neck cancer risk in a large United States prospective cohort study.","Freedman ND, Park Y, Subar AF, Hollenbeck AR, Leitzmann MF, Schatzkin A, Abnet CC","https://pubmed.ncbi.nlm.nih.gov/18092323/","18092323","https://doi.org/10.1002/ijc.23319","10.1002/ijc.23319","No PMC available",,"Comparative Study, Journal Article, Research Support, N.I.H., Extramural",3
"855","apples",53,"Neoplasms",104,"ready",860,8,"Consumption of vegetables and fruit and the risk of bladder cancer in the European Prospective Investigation into Cancer and Nutrition.","Büchner FL, Bueno-de-Mesquita HB, Ros MM, Kampman E, Egevad L, Overvad K, Raaschou-Nielsen O, Tjønneland A, Roswall N, Clavel-Chapelon F, Boutron-Ruault MC, Touillaud M, Chang-Claude J, Kaaks R, Boeing H, Weikert S, Trichopoulou A, Lagiou P, Trichopoulos D, Palli D, Sieri S, Vineis P, Tumino R, Panico S, Vrieling A, Peeters PH, van Gils CH, Lund E, Gram IT, Engeset D, Martinez C, Gonzalez CA, Larrañaga N, Ardanaz E, Navarro C, Rodríguez L, Manjer J, Ehrnström RA, Hallmans G, Ljungberg B, Allen NE, Roddam AW, Bingham S, Khaw KT, Slimani N, Boffetta P, Jenab M, Mouw T, Michaud DS, Kiemeney LA, Riboli E","https://pubmed.ncbi.nlm.nih.gov/19618458/","19618458","https://doi.org/10.1002/ijc.24582","10.1002/ijc.24582","No PMC available",,"Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,9,"In vitro measures used to predict anticancer activity of apple cultivars and their comparison to outcomes from a rat model of experimentally induced breast cancer.","Thompson MD, Stushnoff C, McGinley JN, Thompson HJ","https://pubmed.ncbi.nlm.nih.gov/19838923/","19838923","https://doi.org/10.1080/01635580902825563","10.1080/01635580902825563","No PMC available",,"Comparative Study, Journal Article",3
"855","apples",53,"Neoplasms",104,"ready",860,10,"Modified apple polysaccharide prevents against tumorigenesis in a mouse model of colitis-associated colon cancer: role of galectin-3 and apoptosis in cancer prevention.","Li Y, Liu L, Niu Y, Feng J, Sun Y, Kong X, Chen Y, Chen X, Gan H, Cao S, Mei Q","https://pubmed.ncbi.nlm.nih.gov/21516492/","21516492","https://doi.org/10.1007/s00394-011-0194-3","10.1007/s00394-011-0194-3","No PMC available",,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,11,"Proanthocyanidins and other flavonoids in relation to pancreatic cancer: a case-control study in Italy.","Rossi M, Lugo A, Lagiou P, Zucchetto A, Polesel J, Serraino D, Negri E, Trichopoulos D, La Vecchia C","https://pubmed.ncbi.nlm.nih.gov/22052986/","22052986","https://doi.org/10.1093/annonc/mdr475","10.1093/annonc/mdr475","No PMC available",,"Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,12,"Primary surgery or neoadjuvant chemotherapy in ovarian cancer: what is the value of comparing apples with oranges?","Vergote I, Leunen K, Amant F","https://pubmed.ncbi.nlm.nih.gov/22153125/","22153125","https://doi.org/10.1016/j.ygyno.2011.11.010","10.1016/j.ygyno.2011.11.010","No PMC available",,"Comparative Study, Editorial, Comment",3
"855","apples",53,"Neoplasms",104,"ready",860,13,"Intake estimation of total and individual flavan-3-ols, proanthocyanidins and theaflavins, their food sources and determinants in the European Prospective Investigation into Cancer and Nutrition (EPIC) study.","Knaze V, Zamora-Ros R, Luján-Barroso L, Romieu I, Scalbert A, Slimani N, Riboli E, van Rossum CT, Bueno-de-Mesquita HB, Trichopoulou A, Dilis V, Tsiotas K, Skeie G, Engeset D, Quirós JR, Molina E, Huerta JM, Crowe F, Wirfäl E, Ericson U, Peeters PH, Kaaks R, Teucher B, Johansson G, Johansson I, Tumino R, Boeing H, Drogan D, Amiano P, Mattiello A, Khaw KT, Luben R, Krogh V, Ardanáz E, Sacerdote C, Salvini S, Overvad K, Tjønneland A, Olsen A, Boutron-Ruault MC, Fagherazzi G, Perquier F, González CA","https://pubmed.ncbi.nlm.nih.gov/22186699/","22186699","https://doi.org/10.1017/S0007114511006386","10.1017/S0007114511006386","No PMC available",,"Comparative Study, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",3
"855","apples",53,"Neoplasms",104,"ready",860,14,"Treatment of early vocal cord carcinoma: a comparison of apples and apples.","Dickens WJ, Cassisi NJ, Million RR, Bova FJ","https://pubmed.ncbi.nlm.nih.gov/6823194/","6823194","https://doi.org/10.1288/00005537-198302000-00019","10.1288/00005537-198302000-00019","No PMC available",,"Comparative Study, Journal Article",3
"855","apples",53,"Neoplasms",104,"ready",860,15,"Diet and its preventive role in prostatic disease.","Denis L, Morton MS, Griffiths K","https://pubmed.ncbi.nlm.nih.gov/10325492/","10325492","https://doi.org/10.1159/000019912","10.1159/000019912","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,16,"Applying science to changing dietary patterns.","Heber D, Bowerman S","https://pubmed.ncbi.nlm.nih.gov/11694651/","11694651","https://doi.org/10.1093/jn/131.11.3078S","10.1093/jn/131.11.3078S","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,17,"Calcium-D-glucarate.","","https://pubmed.ncbi.nlm.nih.gov/12197785/","12197785","No DOI available",,"No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,18,"Separating the apples and oranges in the fruit cocktail: the mixed results of psychosocial interventions on cancer survival.","Lillquist PP, Abramson JS","https://pubmed.ncbi.nlm.nih.gov/12555828/","12555828","https://doi.org/10.1300/J010v36n02_05","10.1300/J010v36n02_05","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,19,"Apples in the American diet.","Lewis N, Ruud J","https://pubmed.ncbi.nlm.nih.gov/15481742/","15481742","No DOI available",,"No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S., Review",2
"855","apples",53,"Neoplasms",104,"ready",860,20,"Potential role of flavonoids in the prevention of intestinal neoplasia: a review of their mode of action and their clinical perspectives.","Hoensch HP, Kirch W","https://pubmed.ncbi.nlm.nih.gov/16110120/","16110120","https://doi.org/10.1385/IJGC:35:3:187","10.1385/IJGC:35:3:187","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,21,"Effects of dietary flavonoids on apoptotic pathways related to cancer chemoprevention.","Ramos S","https://pubmed.ncbi.nlm.nih.gov/17321735/","17321735","https://doi.org/10.1016/j.jnutbio.2006.11.004","10.1016/j.jnutbio.2006.11.004","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,22,"Cancer chemopreventive potential of apples, apple juice, and apple components.","Gerhauser C","https://pubmed.ncbi.nlm.nih.gov/18855307/","18855307","https://doi.org/10.1055/s-0028-1088300","10.1055/s-0028-1088300","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,23,"Outcomes of ablation versus resection for colorectal liver metastases: are we comparing apples with oranges?","Tsai S, Pawlik TM","https://pubmed.ncbi.nlm.nih.gov/19554378/","19554378","https://doi.org/10.1245/s10434-009-0491-8","10.1245/s10434-009-0491-8","No PMC available",,"Journal Article, Research Support, N.I.H., Extramural, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,24,"Cancer chemoprevention by targeting the epigenome.","Huang J, Plass C, Gerhauser C","https://pubmed.ncbi.nlm.nih.gov/21158707/","21158707","https://doi.org/10.2174/138945011798184155","10.2174/138945011798184155","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,25,"A comprehensive review of apples and apple components and their relationship to human health.","Hyson DA","https://pubmed.ncbi.nlm.nih.gov/22332082/","22332082","https://doi.org/10.3945/an.111.000513","10.3945/an.111.000513","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3183591/","PMC3183591","Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,26,"Dietary flavonoid fisetin: a novel dual inhibitor of PI3K/Akt and mTOR for prostate cancer management.","Adhami VM, Syed DN, Khan N, Mukhtar H","https://pubmed.ncbi.nlm.nih.gov/22842629/","22842629","https://doi.org/10.1016/j.bcp.2012.07.012","10.1016/j.bcp.2012.07.012","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3813433/","PMC3813433","Journal Article, Research Support, U.S. Gov't, P.H.S., Review",2
"855","apples",53,"Neoplasms",104,"ready",860,27,"Inhibition of Akt/mTOR signaling by the dietary flavonoid fisetin.","Syed DN, Adhami VM, Khan MI, Mukhtar H","https://pubmed.ncbi.nlm.nih.gov/23293889/","23293889","https://doi.org/10.2174/18715206113139990129","10.2174/18715206113139990129","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3985520/","PMC3985520","Journal Article, Research Support, N.I.H., Extramural, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,28,"The chemopreventive activity of apple against carcinogenesis: antioxidant activity and cell cycle control.","Ribeiro FA, Gomes de Moura CF, Aguiar O Jr, de Oliveira F, Spadari RC, Oliveira NR, Oshima CT, Ribeiro DA","https://pubmed.ncbi.nlm.nih.gov/24366437/","24366437","https://doi.org/10.1097/CEJ.0000000000000005","10.1097/CEJ.0000000000000005","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,29,"Fruit and vegetables and cancer risk: a review of southern European studies.","Turati F, Rossi M, Pelucchi C, Levi F, La Vecchia C","https://pubmed.ncbi.nlm.nih.gov/26148912/","26148912","https://doi.org/10.1017/S0007114515000148","10.1017/S0007114515000148","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,30,"An apple plus a Brazil nut a day keeps the doctors away: antioxidant capacity of foods and their health benefits.","Ferrari CK, Percário S, Silva JC, da Silva Torres EA","https://pubmed.ncbi.nlm.nih.gov/26572874/","26572874","https://doi.org/10.2174/1381612822666151117122715","10.2174/1381612822666151117122715","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,31,"Reducing Breast Cancer Recurrence: The Role of Dietary Polyphenolics.","Braakhuis AJ, Campion P, Bishop KS","https://pubmed.ncbi.nlm.nih.gov/27608040/","27608040","https://doi.org/10.3390/nu8090547","10.3390/nu8090547","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5037532/","PMC5037532","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,32,"Oncolytic Virotherapy: A Contest between Apples and Oranges.","Russell SJ, Peng KW","https://pubmed.ncbi.nlm.nih.gov/28392162/","28392162","https://doi.org/10.1016/j.ymthe.2017.03.026","10.1016/j.ymthe.2017.03.026","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5417845/","PMC5417845","Journal Article, Review, Research Support, Non-U.S. Gov't, Research Support, N.I.H., Extramural",2
"855","apples",53,"Neoplasms",104,"ready",860,33,"How Effective Is Palliative Care in Improving Patient Outcomes?","Milazzo S, Hansen E, Carozza D, Case AA","https://pubmed.ncbi.nlm.nih.gov/32025964/","32025964","https://doi.org/10.1007/s11864-020-0702-x","10.1007/s11864-020-0702-x","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,34,"Resveratrol in Cancer Patients: From Bench to Bedside.","Berretta M, Bignucolo A, Di Francia R, Comello F, Facchini G, Ceccarelli M, Iaffaioli RV, Quagliariello V, Maurea N","https://pubmed.ncbi.nlm.nih.gov/32331450/","32331450","https://doi.org/10.3390/ijms21082945","10.3390/ijms21082945","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216168/","PMC7216168","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,35,"Onco-Preventive and Chemo-Protective Effects of Apple Bioactive Compounds.","Nezbedova L, McGhie T, Christensen M, Heyes J, Nasef NA, Mehta S","https://pubmed.ncbi.nlm.nih.gov/34836282/","34836282","https://doi.org/10.3390/nu13114025","10.3390/nu13114025","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8618396/","PMC8618396","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,36,"Clinical Potential of Fruit in Bladder Cancer Prevention and Treatment.","Wigner P, Bijak M, Saluk-Bijak J","https://pubmed.ncbi.nlm.nih.gov/35334790/","35334790","https://doi.org/10.3390/nu14061132","10.3390/nu14061132","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8951059/","PMC8951059","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,37,"Cyanidin as potential anticancer agent targeting various proliferative pathways.","Safdar MA, Aslam RMN, Shakeel A, Shiza, Waqar M, Jmail A, Mehmood MH, Gul H","https://pubmed.ncbi.nlm.nih.gov/36326796/","36326796","https://doi.org/10.1111/cbdd.14173","10.1111/cbdd.14173","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,38,"Pectin: A Bioactive Food Polysaccharide with Cancer Preventive Potential.","Emran TB, Islam F, Mitra S, Paul S, Nath N, Khan Z, Das R, Chandran D, Sharma R, Lima CMG, Awadh AAA, Almazni IA, Alhasaniah AH, Guiné RPF","https://pubmed.ncbi.nlm.nih.gov/36364232/","36364232","https://doi.org/10.3390/molecules27217405","10.3390/molecules27217405","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657392/","PMC9657392","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,39,"Mechanism of Resveratrol-Induced Programmed Cell Death and New Drug Discovery against Cancer: A Review.","Jang JY, Im E, Kim ND","https://pubmed.ncbi.nlm.nih.gov/36430164/","36430164","https://doi.org/10.3390/ijms232213689","10.3390/ijms232213689","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9697740/","PMC9697740","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,40,"Resveratrol: biology, metabolism, and detrimental role on the tumor microenvironment of colorectal cancer.","Dariya B, Girish BP, Merchant N, Srilatha M, Nagaraju GP","https://pubmed.ncbi.nlm.nih.gov/37862428/","37862428","https://doi.org/10.1093/nutrit/nuad133","10.1093/nutrit/nuad133","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,41,"Flavonoid-metal ion Complexes as Potent Anticancer Metallodrugs: A Comprehensive Review.","Zangade SB, Dhulshette BS, Patil PB","https://pubmed.ncbi.nlm.nih.gov/37867263/","37867263","https://doi.org/10.2174/0113895575273658231012040250","10.2174/0113895575273658231012040250","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,42,"Effects and Mechanisms of Luteolin, a Plant-Based Flavonoid, in the Prevention of Cancers via Modulation of Inflammation and Cell Signaling Molecules.","Almatroodi SA, Almatroudi A, Alharbi HOA, Khan AA, Rahmani AH","https://pubmed.ncbi.nlm.nih.gov/38474604/","38474604","https://doi.org/10.3390/molecules29051093","10.3390/molecules29051093","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10934766/","PMC10934766","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,43,"Pectin: Health-promoting properties as a natural galectin-3 inhibitor.","An L, Chang G, Zhang L, Wang P, Gao W, Li X","https://pubmed.ncbi.nlm.nih.gov/38630380/","38630380","https://doi.org/10.1007/s10719-024-10152-z","10.1007/s10719-024-10152-z","No PMC available",,"Journal Article, Review, Research Support, Non-U.S. Gov't",2
"855","apples",53,"Neoplasms",104,"ready",860,44,"A deep dive into the orchard of health: Exploring the anti-cancer and anti-aging potential of apple polyphenols.","Chen LC, Chang HS, Ho YS","https://pubmed.ncbi.nlm.nih.gov/40202408/","40202408","https://doi.org/10.38212/2224-6614.3539","10.38212/2224-6614.3539","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12039532/","PMC12039532","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,45,"Quercetin as a Potential Therapeutic Agent for Malignant Melanoma-A Review of Current Evidence and Future Directions.","Hoinoiu T, Dumitrascu V, Pit D, Schipor DA, Jabri-Tabrizi M, Hoinoiu B, Petreuș DE, Seiman C","https://pubmed.ncbi.nlm.nih.gov/40282947/","40282947","https://doi.org/10.3390/medicina61040656","10.3390/medicina61040656","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12028657/","PMC12028657","Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,46,"Application of Foodomics within the field of colorectal cancer prevention, diagnosis and treatment.","Zhou Y, Teng L, Ibáñez E, Chen H, Cifuentes A, Lu W","https://pubmed.ncbi.nlm.nih.gov/40709902/","40709902","https://doi.org/10.1039/d5fo00451a","10.1039/d5fo00451a","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,47,"Fisetin: a multitarget flavonol bridging oxidative stress, inflammation, aging, and cancer.","Chahal SK, Kabra A, Saeedan AS, Ansari MN","https://pubmed.ncbi.nlm.nih.gov/41538057/","41538057","https://doi.org/10.1007/s00210-025-04912-3","10.1007/s00210-025-04912-3","No PMC available",,"Journal Article, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,48,"The Longevity of Mobile Apps for Cancer Recovery: Scoping Review.","Färnqvist K, Thiele L, Johnsson S, Lagergren P, Schandl A","https://pubmed.ncbi.nlm.nih.gov/41671552/","41671552","https://doi.org/10.2196/82448","10.2196/82448","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12893644/","PMC12893644","Journal Article, Scoping Review, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,49,"Preoperative chemotherapy for stage IIIA non-small cell lung cancer.","Rosell R, López-Cabrerizo MP, Astudillo J","https://pubmed.ncbi.nlm.nih.gov/9161793/","9161793","https://doi.org/10.1097/00001622-199703000-00008","10.1097/00001622-199703000-00008","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"855","apples",53,"Neoplasms",104,"ready",860,50,"Preoperative chemoradiation for rectal cancer: ""Apples & Pears, Tables and Chairs. . ."".","Weber TK","https://pubmed.ncbi.nlm.nih.gov/12095967/","12095967","https://doi.org/10.1007/BF02573887","10.1007/BF02573887","No PMC available",,"Comment, Editorial",1
"855","apples",53,"Neoplasms",104,"ready",860,51,"Apples and oranges. Re: 7.4-year update of the ongoing bicalutamide Early Prostate Cancer (EPC) trial programme.","Sternberg CN","https://pubmed.ncbi.nlm.nih.gov/16469001/","16469001","https://doi.org/10.1111/j.1464-410X.2006.06088.x","10.1111/j.1464-410X.2006.06088.x","No PMC available",,"Comment, Journal Article",1
"855","apples",53,"Neoplasms",104,"ready",860,52,"Patient demographics in HOG LUN 01-24 versus SWOG 9504: apples versus oranges?","Gaspar LE","https://pubmed.ncbi.nlm.nih.gov/17922970/","17922970","https://doi.org/10.1016/S1525-7304(11)70822-1","10.1016/S1525-7304(11)70822-1","No PMC available",,"Comment, Editorial",1
"855","apples",53,"Neoplasms",104,"ready",860,53,"[To compare beta carotene and vitamin D is as comparing apples to pears!].","Hey H","https://pubmed.ncbi.nlm.nih.gov/20941884/","20941884","No DOI available",,"No PMC available",,"Letter",1
"855","apples",53,"Neoplasms",104,"ready",860,54,"Apples and oranges: comparison of treatment methods for prostate cancer using biochemical recurrence as an endpoint.","Grimm P, Billiet I, Bostwick D","https://pubmed.ncbi.nlm.nih.gov/23020702/","23020702","https://doi.org/10.1111/j.1464-410X.2012.11571_2.x","10.1111/j.1464-410X.2012.11571_2.x","No PMC available",,"Letter, Comment",1
"855","apples",53,"Neoplasms",104,"ready",860,55,"ASO Author Reflections: Liver-Directed Therapies for Intrahepatic Cholangiocarcinoma: Are We Comparing Apples and Oranges?","Masoud SJ, Rhodin KE, Eckhoff AM, Lidsky ME","https://pubmed.ncbi.nlm.nih.gov/37543556/","37543556","https://doi.org/10.1245/s10434-023-14056-4","10.1245/s10434-023-14056-4","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10731589/","PMC10731589","Journal Article, Comment",1
"855","apples",53,"Neoplasms",104,"ready",860,56,"Apples and oranges: building a consensus for standardized eligibility criteria and end points in prostate cancer clinical trials.","Dawson NA","https://pubmed.ncbi.nlm.nih.gov/9779719/","9779719","https://doi.org/10.1200/JCO.1998.16.10.3398","10.1200/JCO.1998.16.10.3398","No PMC available",,"Journal Article",0
