Product ID,New Script Name,Original Script Name,New Script DW,Original Script DW,Difference
1,berry,Blackberry,96.0000,112.0000,-16.0000
2,cranberry,Cranberry,160.0000,190.0000,-30.0000
3,blueberry,Blueberry,425.0000,515.0000,-90.0000
4,bilberry,Bilberry,176.0000,270.0000,-94.0000
5,rosa canina,Dog rose,16.0000,32.0000,-16.0000
6,portuguese crowberry,Crowberry,N/A,0.0000,N/A
7,strawberry,Strawberry,275.0000,280.0000,-5.0000
8,raspberry,Raspberry,128.0000,168.0000,-40.0000
9,lycium barbarum,Goji Berry,80.0000,48.0000,32.0000
10,cloudberry,Cloudberry,0.0000,0.0000,0.0000
11,sea buckthorn,Sea Buckthorn,72.0000,80.0000,-8.0000
12,N/A,Rock Bramble,N/A,9.0000,N/A
13,whortleberry,Whortleberry,56.0000,75.0000,-19.0000
14,rheum ribes,Gooseberry,68.0000,4.0000,64.0000
15,chokeberry,Chokeberry,36.0000,92.0000,-56.0000
16,berberis vulgaris,Zereshk,65.0000,0.0000,65.0000
17,amla,Amla Berry,16.0000,170.0000,-154.0000
18,sorbus commixta,Rowanberry,16.0000,16.0000,0.0000
19,black elderberry,Elderberry,16.0000,24.0000,-8.0000
20,orange,Oranges,220.0000,235.0000,-15.0000
22,grape,Grape,405.0000,480.0000,-75.0000
23,watermelon,Watermelon,105.0000,85.0000,20.0000
24,apple,Apple,530.0000,480.0000,50.0000
25,peach,Peache,28.0000,0.0000,28.0000
26,pear,Pear,135.0000,165.0000,-30.0000
28,cucurbitacin b,Squash,105.0000,108.0000,-3.0000
29,honeydew honey,Honeydew,N/A,0.0000,N/A
30,bitter melon,Melon,336.0000,48.0000,288.0000
31,fermented papaya,Papaya,104.0000,88.0000,16.0000
32,dried apricot,Apricot,4.0000,24.0000,-20.0000
33,N/A,Glacè Cherry,N/A,16.0000,N/A
34,plantago ovata,Plantain,80.0000,104.0000,-24.0000
35,pineapple,Pineapple,40.0000,32.0000,8.0000
36,mango,Mango,105.0000,80.0000,25.0000
37,extra virgin olive oil,Olive,340.0000,895.0000,-555.0000
38,banana,Banana,60.0000,76.0000,-16.0000
39,citrus aurantium,Lemon,295.0000,215.0000,80.0000
40,cherry,Cherry,125.0000,96.0000,29.0000
41,fruit,Fruit Salad,1080.0000,0.0000,1080.0000
42,physalis alkekengi,Physalis,28.0000,28.0000,0.0000
43,N/A,Sharon,N/A,28.0000,N/A
44,N/A,Apple with Pear,N/A,25.0000,N/A
45,ficus exasperata,Fig,120.0000,120.0000,0.0000
46,kiwifruit,Kiwi,16.0000,16.0000,0.0000
47,tangerine,Tangerine,16.0000,128.0000,-112.0000
48,yellow passion fruit,Passion fruit,60.0000,32.0000,28.0000
49,japanese plum,Japanese Plum Pulp,16.0000,0.0000,16.0000
50,glimepiride,Lime,370.0000,30.0000,340.0000
51,date,Dates,48.0000,96.0000,-48.0000
52,grapefruit,Grapefruit,110.0000,135.0000,-25.0000
53,raisin,Raisin,64.0000,96.0000,-32.0000
54,black currant,Currant,132.0000,76.0000,56.0000
55,plum,Plum,24.0000,48.0000,-24.0000
56,N/A,Clementine,N/A,48.0000,N/A
57,plums,N/A,N/A,N/A,N/A
58,guava,Guava,250.0000,164.0000,86.0000
59,pomegranate juice,Pomegranate,8.0000,295.0000,-287.0000
61,prunella vulgaris,Prune,16.0000,4.0000,12.0000
62,N/A,Lemon Skin,N/A,40.0000,N/A
63,pomegranate,Pomegranate Aril,290.0000,85.0000,205.0000
64,adansonia digitata,N/A,9.0000,N/A,N/A
66,N/A,Kiwano,N/A,0.0000,N/A
67,nectarine,Nectarine,16.0000,16.0000,0.0000
68,N/A,Sunsweet,N/A,0.0000,N/A
69,carrot,Carrot,128.0000,108.0000,20.0000
70,lemonade,Lemonade,0.0000,0.0000,0.0000
71,N/A,Fruits,N/A,4485.0000,N/A
72,clove,Clove,176.0000,88.0000,88.0000
73,bearberry,Bearberry,9.0000,9.0000,0.0000
74,N/A,Meadowsweet,N/A,0.0000,N/A
75,furosemide,Rose,510.0000,96.0000,414.0000
76,marjoram,Marjoram,9.0000,9.0000,0.0000
77,cinnamon,Cinnamon,1210.0000,1405.0000,-195.0000
78,alchemilla vulgaris,Alpine Lady'S‐Mantle,N/A,0.0000,N/A
79,lemon balm,Lemon Balm,150.0000,125.0000,25.0000
80,nerium indicum,Rose‐Bay,N/A,16.0000,N/A
81,geranium,Woodland Geranium,16.0000,16.0000,0.0000
82,chia,Loosestrife,52.0000,0.0000,52.0000
83,N/A,Red Wortleberry,N/A,0.0000,N/A
84,pimenta dioica,Allspice,N/A,4.0000,N/A
85,oregano,Oregano,27.0000,45.0000,-18.0000
86,veronica persica,Speedwell,9.0000,0.0000,9.0000
87,thymus,Lemon Thyme,N/A,16.0000,N/A
88,N/A,Sundew,N/A,0.0000,N/A
89,african spices,Somage,N/A,0.0000,N/A
90,juniper,Juniper Berry,N/A,16.0000,N/A
91,st. john's wort,St. John'S Wort,85.0000,40.0000,45.0000
92,peppermint,Mint,40.0000,16.0000,24.0000
93,rhaponticum carthamoides,Maral Root,16.0000,16.0000,0.0000
94,rosemary,Rosemary,90.0000,100.0000,-10.0000
95,thyme,Thyme,16.0000,60.0000,-44.0000
96,saffron,Saffron,280.0000,265.0000,15.0000
97,tussilagone,Coltsfoot,9.0000,16.0000,-7.0000
98,N/A,Summer Savory,N/A,16.0000,N/A
99,alnus nitida,Grey Alder,16.0000,16.0000,0.0000
100,salvia miltiorrhiza,Sage,232.0000,210.0000,22.0000
101,rosa rugosa,N/A,N/A,N/A,N/A
102,N/A,Orpine,N/A,16.0000,N/A
103,N/A,Heather,N/A,18.0000,N/A
104,N/A,Northern Dock,N/A,0.0000,N/A
105,N/A,Red‐Berried Elder,N/A,0.0000,N/A
106,pork insulin,Bacon And Egg,44.0000,0.0000,44.0000
107,barberry,Barberry,16.0000,64.0000,-48.0000
108,N/A,Spanish Chervil,N/A,0.0000,N/A
109,N/A,Merian,N/A,0.0000,N/A
110,N/A,Hyssop,N/A,0.0000,N/A
111,N/A,Grass‐Of‐Parnasuss,N/A,0.0000,N/A
112,piper nigrum,Pepper,92.0000,48.0000,44.0000
