id,productId,root_name,diseaseId,disease,calculated_dw,article_number,title,pubmed,doi,pmc,pubtypes,rate,createdAt,updatedAt,product_stateId
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,1,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,https://doi.org/10.1016/j.ctim.2020.102478,No PMC available,"Journal Article, Meta-Analysis",5,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,2,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,https://doi.org/10.1016/j.dsx.2024.102940,No PMC available,"Meta-Analysis, Journal Article",5,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,3,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,https://doi.org/10.1016/j.clnesp.2018.11.013,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,4,Effect of pomegranate seed oil supplementation on the GLUT-4 gene expression and glycemic control in obese people with type 2 diabetes: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30945297/,https://doi.org/10.1002/jcp.28561,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,5,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,https://doi.org/10.1159/000510986,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,6,Punicic acid: A potential compound of pomegranate seed oil in Type 2 diabetes mellitus management.,https://pubmed.ncbi.nlm.nih.gov/30317607/,https://doi.org/10.1002/jcp.27556,No PMC available,"Journal Article, Review",2,,,
,59,Pomegranate,28,"Diabetes Mellitus, Type 2",125,7,Effects of pomegranate aril juice and its punicalagin on some key regulators of insulin resistance and oxidative liver injury in streptozotocin-nicotinamide type 2 diabetic rats.,https://pubmed.ncbi.nlm.nih.gov/31006095/,https://doi.org/10.1007/s11033-019-04813-8,No PMC available,Journal Article,0,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,1,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,https://doi.org/10.1016/j.ctim.2020.102478,No PMC available,"Journal Article, Meta-Analysis",5,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,2,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,https://doi.org/10.1016/j.dsx.2024.102940,No PMC available,"Meta-Analysis, Journal Article",5,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,3,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,https://doi.org/10.1016/j.clnesp.2018.11.013,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,4,Effect of pomegranate seed oil supplementation on the GLUT-4 gene expression and glycemic control in obese people with type 2 diabetes: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30945297/,https://doi.org/10.1002/jcp.28561,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,5,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,https://doi.org/10.1159/000510986,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,6,Punicic acid: A potential compound of pomegranate seed oil in Type 2 diabetes mellitus management.,https://pubmed.ncbi.nlm.nih.gov/30317607/,https://doi.org/10.1002/jcp.27556,No PMC available,"Journal Article, Review",2,,,
,63,Pomegranate Aril,28,"Diabetes Mellitus, Type 2",125,7,Effects of pomegranate aril juice and its punicalagin on some key regulators of insulin resistance and oxidative liver injury in streptozotocin-nicotinamide type 2 diabetic rats.,https://pubmed.ncbi.nlm.nih.gov/31006095/,https://doi.org/10.1007/s11033-019-04813-8,No PMC available,Journal Article,0,,,
