id,productId,root_name,scientific_name,diseaseId,disease,code,foundation_url,icd_title,articles_count,category,calculated_dw,article_number,title,pubmed,PMID,doi,DOI,pmc,PMCID,pubtypes,ai_pubtypes,rate,disease_rates,diseases_rate_all_null,disease_rate_combination,name,processing_status,dynamic_root_causes,labs,createdAt,updatedAt,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,__EMPTY_17,__EMPTY_18,__EMPTY_19,__EMPTY_20,__EMPTY_21,__EMPTY_22,__EMPTY_23,__EMPTY_24,__EMPTY_25,__EMPTY_26,__EMPTY_27,__EMPTY_28,__EMPTY_29,__EMPTY_30,__EMPTY_31,__EMPTY_32,__EMPTY_33,__EMPTY_34,__EMPTY_35,__EMPTY_36,__EMPTY_37,__EMPTY_38,__EMPTY_39
3773196,0,pomegranate juice,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,16,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",NULL,2,2,NULL,2,pomegranate juice and type 2 diabetes,juice,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""benefit_descriptive"":""Pomegranate juice can reduce oxidative stress, which is a root cause of type 2 diabetes complications.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""short_description"":""Pomegranate juice can help regulate blood glucose levels and improve metabolic health in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773197,0,pomegranate seed oil,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,17,Punicic acid: A potential compound of pomegranate seed oil in Type 2 diabetes mellitus management.,https://pubmed.ncbi.nlm.nih.gov/30317607/,30317607,https://doi.org/10.1002/jcp.27556,10.1002/jcp.27556,No PMC available,NULL,"Journal Article, Review",NULL,2,2,NULL,2,pomegranate seed oil and type 2 diabetes,oil,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":""antioxidant properties"",""benefit_descriptive"":""Pomegranate seed oil exhibits antioxidant properties, which can help mitigate oxidative stress associated with Type 2 Diabetes Mellitus.""},""6339"":{""name"":""glucose homeostasis"",""benefit_exactly"":""modulating glucose homeostasis"",""benefit_descriptive"":""Pomegranate seed oil helps in modulating glucose homeostasis, which is often disrupted in Type 2 Diabetes Mellitus.""},""6471"":{""name"":""inflammatory cytokines"",""benefit_exactly"":""reducing inflammatory cytokines"",""benefit_descriptive"":""Pomegranate seed oil helps in reducing inflammatory cytokines, which are often elevated in Type 2 Diabetes Mellitus.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""HbA1c"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773181,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,1,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,32951728,https://doi.org/10.1016/j.ctim.2020.102478,10.1016/j.ctim.2020.102478,No PMC available,NULL,"Journal Article, Meta-Analysis",NULL,5,5,0,0,pomegranate and type 2 diabetes,supplementation,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""insulin"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""homeostasis_model_assessment"",""name"":""homeostasis model assessment-estimated insulin resistance index (HOMA-IR)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""body_mass_index"",""name"":""body mass index (BMI)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""body_weight"",""name"":""body weight (BW)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""total_cholesterol"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hdl_c_direct"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""c_reactive_protein"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""total_antioxidant_capacity"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773182,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,2,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,38194826,https://doi.org/10.1016/j.dsx.2024.102940,10.1016/j.dsx.2024.102940,No PMC available,NULL,"Meta-Analysis, Journal Article",NULL,5,5,NULL,5,pomegranate and type 2 diabetes,consumption,"{""5322"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 禺录U/ml; 95%CI: -1.79 to -0.33; p = 0.004) and HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)"",""benefit_descriptive"":""Pomegranate consumption improved insulin sensitivity and reduced insulin resistance.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)"",""short_description"":""Pomegranate consumption lowered fasting blood glucose levels."",""quantity"":""-2.22 mg/dL""},{""type"":""hba1c"",""name"":""hemoglobin A1c"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)"",""short_description"":""Pomegranate consumption reduced hemoglobin A1c levels."",""quantity"":""-0.22%""}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773183,63,pomegranate,Punica granatum L.,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,3,Antioxidative hypoglycemic herbal medicines with in vivo and in vitro activity against C-reactive protein; a systematic review.,https://pubmed.ncbi.nlm.nih.gov/36610136/,36610136,https://doi.org/10.1016/j.phymed.2022.154615,10.1016/j.phymed.2022.154615,No PMC available,NULL,Journal Article,Systematic Review,0,5,NULL,5,pomegranate and type 2 diabetes,NULL,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":""decreasing CRP concentrations and oxidative stresses levels"",""benefit_descriptive"":""Reduces oxidative stress and inflammation""}}","[{""type"":""c_reactive_protein"",""name"":""C-reactive protein"",""benefit"":""decreasing CRP concentrations"",""short_description"":""Reduces CRP levels"",""quantity"":null}]",2026-06-07 12:56:50.073+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773184,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,4,"Treatment with high-dose n-3 PUFAs has no effect on platelet function, coagulation, metabolic status or inflammation in patients with atherosclerosis and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/28410617/,28410617,https://doi.org/10.1186/s12933-017-0523-9,10.1186/s12933-017-0523-9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5391604/,PMC5391604,"Journal Article, Multicenter Study, Randomized Controlled Trial",NULL,4,4,0,0,pomegranate and type 2 diabetes,additive,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""c_reactive_protein"",""name"":""high-sensitivity C-reactive protein"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:47:13.328+02,2026-06-07 17:55:40.877+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773185,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,5,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,33302270,https://doi.org/10.1159/000510986,10.1159/000510986,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",NULL,4,4,NULL,4,pomegranate and type 2 diabetes,powder,"{""5322"":{""name"":""insulin resistance"",""benefit_exactly"":""The mean differences of FBG, HbA1c, cholesterol, and TG were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""benefit_descriptive"":""Pomegranate seed powder supplementation significantly reduced fasting blood glucose and HbA1c levels, indicating improved glycemic control.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""Fasting Blood Glucose (FBG)"",""benefit"":""The mean differences of FBG were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""short_description"":""Significant reduction in fasting blood glucose levels after 8 weeks of pomegranate seed powder supplementation."",""quantity"":null},{""type"":""hba1c"",""name"":""Glycated Hemoglobin (HbA1c)"",""benefit"":""The mean differences of HbA1c were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""short_description"":""Significant reduction in HbA1c levels after 8 weeks of pomegranate seed powder supplementation."",""quantity"":null},{""type"":""total_cholesterol"",""name"":""Total Cholesterol"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""Triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 17:55:40.878+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773186,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,6,Effects of pomegranate aril juice and its punicalagin on some key regulators of insulin resistance and oxidative liver injury in streptozotocin-nicotinamide type 2 diabetic rats.,https://pubmed.ncbi.nlm.nih.gov/31006095/,31006095,https://doi.org/10.1007/s11033-019-04813-8,10.1007/s11033-019-04813-8,No PMC available,NULL,Journal Article,Controlled Clinical Trial,0,4,NULL,4,pomegranate and type 2 diabetes,aril juice,"{""5322"":{""name"":""insulin resistance"",""benefit_exactly"":""PAJ (especially at the high dose) alleviated significantly (P芒鈧€?芒鈧€?.05-0.001) most signs of type 2 diabetes including body-weight loss, insulin resistance (IR) and hyperglycemia through decreasing serum tumor necrosis factor-禺卤 concentration and the expression of hepatic c-Jun N-terminal kinase, and increasing the skeletal muscle weight and the expression of hepatic insulin receptor substrate-1 in STZ-NA diabetic rats."",""benefit_descriptive"":""PAJ reduced insulin resistance by decreasing TNF-禺卤 and c-Jun N-terminal kinase expression while increasing skeletal muscle weight and insulin receptor substrate-1 expression.""},""5406"":{""name"":""oxidative stress"",""benefit_exactly"":""PAJ decreased significantly (P芒鈧€?芒鈧€?.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic lipid peroxidation and nitric oxide production, and improving the hepatic antioxidant defense system."",""benefit_descriptive"":""PAJ reduced oxidative stress by decreasing lipid peroxidation and nitric oxide production while enhancing antioxidant defenses.""}}","[{""type"":""glucose"",""name"":""hyperglycemia"",""benefit"":""PAJ (especially at the high dose) alleviated significantly (P芒鈧€?芒鈧€?.05-0.001) most signs of type 2 diabetes including body-weight loss, insulin resistance (IR) and hyperglycemia through decreasing serum tumor necrosis factor-禺卤 concentration and the expression of hepatic c-Jun N-terminal kinase, and increasing the skeletal muscle weight and the expression of hepatic insulin receptor substrate-1 in STZ-NA diabetic rats."",""short_description"":""PAJ significantly reduced hyperglycemia in diabetic rats."",""quantity"":null},{""type"":""lipid_peroxidation"",""name"":""lipid peroxidation"",""benefit"":""PAJ decreased significantly (P芒鈧€?芒鈧€?.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic lipid peroxidation and nitric oxide production, and improving the hepatic antioxidant defense system."",""short_description"":""PAJ significantly decreased hepatic lipid peroxidation."",""quantity"":null},{""type"":""nitric_oxide"",""name"":""nitric oxide production"",""benefit"":""PAJ decreased significantly (P芒鈧€?芒鈧€?.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic lipid peroxidation and nitric oxide production, and improving the hepatic antioxidant defense system."",""short_description"":""PAJ significantly decreased hepatic nitric oxide production."",""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 17:55:40.878+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773187,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,7,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,30661697,https://doi.org/10.1016/j.clnesp.2018.11.013,10.1016/j.clnesp.2018.11.013,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",NULL,4,4,NULL,4,pomegranate and type 2 diabetes,juice,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null},""5546"":{""name"":""endothelial dysfunction"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""alt_gpt"",""name"":""systolic blood pressure"",""benefit"":""SBP (13.5 丌卤 1.5 mmHg vs. 12.3 丌卤 2.5, P < 0.001) significantly decreased in the intervention group."",""short_description"":""Significant reduction in systolic blood pressure after 6 weeks of pomegranate juice consumption."",""quantity"":""13.5 丌卤 1.5 mmHg""},{""type"":""alt_gpt"",""name"":""diastolic blood pressure"",""benefit"":""DBP (7.7 丌卤 1.6 vs. 7.2 丌卤 1.6 mmHg, P < 0.05) significantly decreased in the intervention group."",""short_description"":""Significant reduction in diastolic blood pressure after 6 weeks of pomegranate juice consumption."",""quantity"":""7.7 丌卤 1.6 mmHg""},{""type"":""total_cholesterol"",""name"":""total cholesterol"",""benefit"":""TC decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Significant reduction in total cholesterol levels within the intervention group."",""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""low-density lipoprotein cholesterol"",""benefit"":""LDL-C decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Significant reduction in LDL cholesterol levels within the intervention group."",""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 17:55:40.878+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773188,63,pomegranate,Punica granatum,2,type 2 diabetes,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,22,ready,375,8,"Effects of pomegranate juice consumption on oxidative stress in patients with type 2 diabetes: a single-blind, randomized clinical trial.",https://pubmed.ncbi.nlm.nih.gov/27633135/,27633135,https://doi.org/10.1080/09637486.2016.1229760,10.1080/09637486.2016.1229760,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",NULL,4,4,NULL,4,pomegranate and type 2 diabetes,juice,"{""5406"":{""name"":""oxidative stress"",""benefit_exactly"":""After six weeks intervention, oxidized LDL and anti-oxidized LDL antibodies decreased and total serum antioxidant capacity and arylesterase activity of paraoxonase increased significantly in the PJ-treated group compared to the control group."",""benefit_descriptive"":""Pomegranate juice reduced oxidative stress markers and increased antioxidant capacity in type 2 diabetic patients.""}}","[{""type"":""alt_gpt"",""name"":""oxidized LDL"",""benefit"":""decreased"",""short_description"":""Reduction in oxidized LDL levels"",""quantity"":null},{""type"":""alt_gpt"",""name"":""anti-oxidized LDL antibodies"",""benefit"":""decreased"",""short_description"":""Reduction in anti-oxidized LDL antibodies"",""quantity"":null},{""type"":""alt_gpt"",""name"":""total serum antioxidant capacity"",""benefit"":""increased"",""short_description"":""Increase in total serum antioxidant capacity"",""quantity"":null},{""type"":""alt_gpt"",""name"":""arylesterase activity of paraoxonase"",""benefit"":""increased"",""short_description"":""Increase in arylesterase activity of paraoxonase"",""quantity"":null}]",2026-06-07 12:35:41.48+02,2026-06-07 17:55:40.878+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
