id,productId,root_name,diseaseId,disease,articles_count,category,calculated_dw,article_number,title,pubmed,PMID,doi,DOI,pmc,PMCID,pubtypes,disease_rates,diseases_rate_all_null,ai_extracted_types,ai_calculated_rate,disease_rate_combination,name,item_name,another_item,processing_status,dynamic_root_causes,labs,createdAt,updatedAt
2212553,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,19,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,32951728,https://doi.org/10.1016/j.ctim.2020.102478,10.1016/j.ctim.2020.102478,No PMC available,NULL,"Journal Article, Meta-Analysis",5,0,NULL,NULL,0,"Pomegranate and Diabetes Mellitus, Type 2",Pomegranate,NULL,supplementation,"{""2888"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null},""2889"":{""name"":""insulin resistance"",""benefit_exactly"":null,""benefit_descriptive"":null},""2895"":{""name"":""inflammation"",""benefit_exactly"":null,""benefit_descriptive"":null},""2896"":{""name"":""dyslipidemia"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""insulin"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""lipid_panel"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""lipid_panel"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""lipid_panel"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""lipid_panel"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""c_reactive_protein"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""total_antioxidant_capacity"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-04 16:43:10.654+02,2026-06-04 21:03:30.941+02
2212554,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,1,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,38194826,https://doi.org/10.1016/j.dsx.2024.102940,10.1016/j.dsx.2024.102940,No PMC available,NULL,"Meta-Analysis, Journal Article",5,NULL,NULL,NULL,5,"Pomegranate and Diabetes Mellitus, Type 2",Pomegranate,NULL,consumption,"{""2889"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004)"",""benefit_descriptive"":""Pomegranate consumption reduces fasting insulin levels, indicating improved insulin sensitivity.""},""2893"":{""name"":""hyperglycemia"",""benefit_exactly"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)"",""benefit_descriptive"":""Pomegranate consumption lowers fasting blood glucose levels, helping to manage hyperglycemia.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose (FBG)"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)"",""short_description"":""Pomegranate consumption reduces fasting blood glucose levels by approximately 2.22 mg/dL."",""quantity"":""-2.22 mg/dL""},{""type"":""insulin"",""name"":""fasting insulin"",""benefit"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004)"",""short_description"":""Pomegranate consumption reduces fasting insulin levels by approximately 1.06 μU/ml."",""quantity"":""-1.06 μU/ml""},{""type"":""hba1c"",""name"":""hemoglobin A1c (HbA1c)"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)"",""short_description"":""Pomegranate consumption reduces HbA1c levels by approximately 0.22%."",""quantity"":""-0.22%""},{""type"":""HOMA-IR"",""name"":""Homeostatic Model Assessment for Insulin Resistance (HOMA-IR)"",""benefit"":""pomegranate consumption significantly reduced HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)"",""short_description"":""Pomegranate consumption reduces HOMA-IR by approximately 0.30 units."",""quantity"":""-0.30""}]",2026-06-04 16:43:10.654+02,2026-06-04 21:03:30.941+02
2212555,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,2,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,33302270,https://doi.org/10.1159/000510986,10.1159/000510986,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,"Pomegranate and Diabetes Mellitus, Type 2",Pomegranate,NULL,powder,"{""2888"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":""Pomegranate seed powder may reduce oxidative stress, contributing to better glucose and lipid metabolism.""},""2889"":{""name"":""insulin resistance"",""benefit_exactly"":null,""benefit_descriptive"":""Pomegranate seed powder may help improve insulin sensitivity in type 2 diabetes patients.""}}","[{""type"":""glucose"",""name"":""fasting blood glucose"",""benefit"":""the mean differences of FBG were significantly decreased in the PSP group when compared with the placebo group (p value <0.05). In addition, post-intervention values of FBG were significantly lower in patients treated with PSP compared to the placebo group (p value = 0.02)."",""short_description"":""Pomegranate seed powder significantly reduced fasting blood glucose levels in type 2 diabetes patients."",""quantity"":null},{""type"":""hba1c"",""name"":""glycated hemoglobin"",""benefit"":""post-intervention values of HbA1c were significantly lower in patients treated with PSP compared to the placebo group (p value = 0.01)."",""short_description"":""Pomegranate seed powder significantly reduced glycated hemoglobin levels in type 2 diabetes patients."",""quantity"":null},{""type"":""total_cholesterol"",""name"":""total cholesterol"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""triglycerides"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-04 16:43:10.654+02,2026-06-05 17:49:40.102+02
2212556,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,3,"Effects of pomegranate juice consumption on oxidative stress in patients with type 2 diabetes: a single-blind, randomized clinical trial.",https://pubmed.ncbi.nlm.nih.gov/27633135/,27633135,https://doi.org/10.1080/09637486.2016.1229760,10.1080/09637486.2016.1229760,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,"Granini and Diabetes Mellitus, Type 2",NULL,Pomegranate,200 ml daily for six weeks,"{""2888"":{""name"":""oxidative stress"",""benefit_exactly"":""six weeks supplementation of PJ could have favorable effects on oxidative stress in patients with type 2 diabetes (T2D)."",""benefit_descriptive"":""Pomegranate juice consumption reduced oxidative stress in type 2 diabetic patients.""}}","[{""type"":""oxidized LDL"",""name"":""oxidized LDL"",""benefit"":""decreased"",""short_description"":""Pomegranate juice consumption led to a decrease in oxidized LDL levels."",""quantity"":null},{""type"":""anti-oxidized LDL antibodies"",""name"":""anti-oxidized LDL antibodies"",""benefit"":""decreased"",""short_description"":""Pomegranate juice consumption led to a decrease in anti-oxidized LDL antibodies."",""quantity"":null},{""type"":""total serum antioxidant capacity"",""name"":""total serum antioxidant capacity"",""benefit"":""increased significantly"",""short_description"":""Pomegranate juice consumption increased total serum antioxidant capacity."",""quantity"":null},{""type"":""arylesterase activity of paraoxonase"",""name"":""arylesterase activity of paraoxonase"",""benefit"":""increased significantly"",""short_description"":""Pomegranate juice consumption increased arylesterase activity of paraoxonase."",""quantity"":null}]",2026-06-04 17:06:58.02+02,2026-06-05 17:49:40.102+02
2212557,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,4,The effects of polyphenol-containing antioxidants on oxidative stress and lipid peroxidation in Type 2 diabetes mellitus without complications.,https://pubmed.ncbi.nlm.nih.gov/19834314/,19834314,https://doi.org/10.1007/BF03346565,10.1007/BF03346565,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,"Vitamin C and Diabetes Mellitus, Type 2",NULL,Pomegranate,extract,"{""2888"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null},""3053"":{""name"":""lipid peroxidation"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""ldl_cholesterol"",""name"":""LDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""The polyphenol-rich antioxidant supplement decreased LDL levels significantly compared to the placebo group."",""quantity"":null},{""type"":""hdl_c_direct"",""name"":""HDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""The polyphenol-rich antioxidant supplement increased HDL levels significantly compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""plasma malondialdehyde (MDA)"",""benefit"":""Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001)."",""short_description"":""The polyphenol-rich antioxidant supplement decreased plasma MDA levels significantly compared to the placebo group."",""quantity"":null},{""type"":""total_bilirubin"",""name"":""total glutathione (GSH)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""The polyphenol-rich antioxidant supplement increased total plasma GSH levels significantly compared to the placebo group."",""quantity"":null},{""type"":""total_bilirubin"",""name"":""antioxidant capacity (AOC)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""The polyphenol-rich antioxidant supplement increased antioxidant capacity (AOC) significantly compared to the placebo group."",""quantity"":null}]",2026-06-04 18:03:06.088+02,2026-06-05 17:49:40.102+02
2212558,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,5,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,30661697,https://doi.org/10.1016/j.clnesp.2018.11.013,10.1016/j.clnesp.2018.11.013,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,"Pomegranate and Diabetes Mellitus, Type 2",Pomegranate,NULL,200 ml/day juice,"{""2888"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":""Pomegranate juice's polyphenolic compounds may reduce oxidative stress, contributing to its hypotensive effects.""},""2897"":{""name"":""hypertension"",""benefit_exactly"":""SBP (13.5 ± 1.5 mmHg vs. 12.3 ± 2.5, P < 0.001) and DBP (7.7 ± 1.6 vs. 7.2 ± 1.6 mmHg, P < 0.05) significantly decreased in the intervention group."",""benefit_descriptive"":""Pomegranate juice consumption significantly reduced systolic and diastolic blood pressure in patients with type 2 diabetes.""}}","[{""type"":""total_cholesterol"",""name"":""Total Cholesterol (TC)"",""benefit"":""TC decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in total cholesterol levels within the intervention group."",""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""Low-Density Lipoprotein Cholesterol (LDL-C)"",""benefit"":""LDL-C decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in LDL cholesterol levels within the intervention group."",""quantity"":null},{""type"":""systolic_blood_pressure"",""name"":""Systolic Blood Pressure (SBP)"",""benefit"":""SBP (13.5 ± 1.5 mmHg vs. 12.3 ± 2.5, P < 0.001) significantly decreased in the intervention group."",""short_description"":""Pomegranate juice consumption significantly reduced systolic blood pressure in the intervention group."",""quantity"":""13.5 ± 1.5 mmHg""},{""type"":""diastolic_blood_pressure"",""name"":""Diastolic Blood Pressure (DBP)"",""benefit"":""DBP (7.7 ± 1.6 vs. 7.2 ± 1.6 mmHg, P < 0.05) significantly decreased in the intervention group."",""short_description"":""Pomegranate juice consumption significantly reduced diastolic blood pressure in the intervention group."",""quantity"":""7.7 ± 1.6 mmHg""}]",2026-06-04 16:43:10.654+02,2026-06-05 17:49:40.102+02
2212559,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,20,The relation of low glycaemic index fruit consumption to glycaemic control and risk factors for coronary heart disease in type 2 diabetes.,https://pubmed.ncbi.nlm.nih.gov/20978741/,20978741,https://doi.org/10.1007/s00125-010-1927-1,10.1007/s00125-010-1927-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3017317/,PMC3017317,"Journal Article, Randomized Controlled Trial",4,0,NULL,NULL,0,"Fruits and Diabetes Mellitus, Type 2",NULL,Pomegranate,raw,{},NULL,2026-06-04 16:45:41.023+02,2026-06-05 17:49:40.102+02
2212560,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,6,Pomegranate Juice Increases Sirtuin1 Protein in Peripheral Blood Mononuclear Cell from Patients with Type 2 Diabetes: A Randomized Placebo Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/29957104/,29957104,https://doi.org/10.1089/met.2017.0146,10.1089/met.2017.0146,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,"Granini and Diabetes Mellitus, Type 2",NULL,Pomegranate,250 mL of pomegranate juice daily for 12 weeks,"{""2888"":{""name"":""Oxidative stress"",""benefit_exactly"":""SIRT1 was significantly higher (P < 0.0001 for treatment effect) in the PJ group."",""benefit_descriptive"":""Pomegranate juice increased SIRT1 levels, which may help mitigate oxidative stress.""},""2895"":{""name"":""Inflammation"",""benefit_exactly"":""NF-κB p65 in PBMC was significantly lower (P < 0.01 for treatment effect) in the PJ group."",""benefit_descriptive"":""Pomegranate juice significantly reduced NF-κB p65 levels, indicating anti-inflammatory effects.""}}","[{""type"":""sE-selectin"",""name"":""sE-selectin"",""benefit"":""Plasma sE-selectin concentration decreased significantly in the PJ group at the end of week 12 compared to baseline (P < 0.001 for treatment effect), and the reduction was significant in comparison with the placebo group (P < 0.05 for treatment effect)."",""short_description"":""Pomegranate juice significantly reduced plasma sE-selectin levels, indicating reduced vascular inflammation."",""quantity"":null},{""type"":""sICAM-1"",""name"":""sICAM-1"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""sVCAM-1"",""name"":""sVCAM-1"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-04 17:06:58.02+02,2026-06-05 17:49:40.102+02
2212561,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,21,"The effectiveness of interventions to reduce cardio-metabolic risk factors among regular street food consumers in Dar es Salaam, Tanzania: The pre-post findings from a cluster randomized trial (Registered by Pan African clinical trial registry with trial # PACTR202208642850935).",https://pubmed.ncbi.nlm.nih.gov/37967111/,37967111,https://doi.org/10.1371/journal.pone.0289289,10.1371/journal.pone.0289289,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10650998/,PMC10650998,"Randomized Controlled Trial, Journal Article",4,0,NULL,NULL,0,"Solskinnspuré and Diabetes Mellitus, Type 2",NULL,Pomegranate Aril,raw,"{""3105"":{""name"":""unhealthy eating practices"",""benefit_exactly"":null,""benefit_descriptive"":null},""3625"":{""name"":""excess calorie intake"",""benefit_exactly"":null,""benefit_descriptive"":null}}",NULL,2026-06-04 20:46:26.092+02,2026-06-05 17:49:40.102+02
2212562,59,Pomegranate,28,"Diabetes Mellitus, Type 2",27,ready,295,22,"Treatment with high-dose n-3 PUFAs has no effect on platelet function, coagulation, metabolic status or inflammation in patients with atherosclerosis and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/28410617/,28410617,https://doi.org/10.1186/s12933-017-0523-9,10.1186/s12933-017-0523-9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5391604/,PMC5391604,"Journal Article, Multicenter Study, Randomized Controlled Trial",4,0,NULL,NULL,0,"Marine Omega and Diabetes Mellitus, Type 2",NULL,Pomegranate,Botanical additive in the n-3 PUFA drink,{},NULL,2026-06-04 17:29:20.317+02,2026-06-05 17:49:40.102+02
