id,productId,root_name,diseaseId,disease,calculated_dw,article_number,title,pubmed,doi,pmc,pubtypes,rate,createdAt,updatedAt,product_stateId,PMID,PMCID,DOI,scientific_name,code,foundation_url,icd_title,articles_count,category,ai_pubtypes,disease_rates,diseases_rate_all_null,disease_rate_combination,name,processing_status,dynamic_root_causes,labs
,63,pomegranate,1,type 2 diabetes mellitus,105,6,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,https://doi.org/10.1016/j.ctim.2020.102478,No PMC available,"Journal Article, Meta-Analysis",5,,,,32951728,,10.1016/j.ctim.2020.102478,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Systematic Review,5,0,0,pomegranate and type 2 diabetes mellitus,supplementation,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""alt_gpt"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""homeostasis model assessment-estimated insulin resistance index (HOMA-IR)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body mass index (BMI)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body weight (BW)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,1,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,https://doi.org/10.1016/j.dsx.2024.102940,No PMC available,"Meta-Analysis, Journal Article",5,,,,38194826,,10.1016/j.dsx.2024.102940,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Systematic Review,5,,5,pomegranate and type 2 diabetes mellitus,consumption,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004) and HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)."",""benefit_descriptive"":""Pomegranate consumption improved insulin sensitivity and reduced insulin resistance.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)."",""short_description"":""Pomegranate consumption lowered fasting blood glucose levels."",""quantity"":""-2.22 mg/dL""},{""type"":""hba1c"",""name"":""hemoglobin A1c"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)."",""short_description"":""Pomegranate consumption reduced hemoglobin A1c levels."",""quantity"":""-0.22%""}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,2,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,https://doi.org/10.1016/j.clnesp.2018.11.013,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,,30661697,,10.1016/j.clnesp.2018.11.013,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Randomized Controlled Trial,4,,4,pomegranate and type 2 diabetes mellitus,juice,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null},""3"":{""name"":""hypertension"",""benefit_exactly"":""SBP (13.5 ± 1.5 mmHg vs. 12.3 ± 2.5, P < 0.001) and DBP (7.7 ± 1.6 vs. 7.2 ± 1.6 mmHg, P < 0.05) significantly decreased in the intervention group."",""benefit_descriptive"":""Pomegranate juice consumption significantly reduced systolic and diastolic blood pressure in patients with type 2 diabetes.""}}","[{""type"":""total_cholesterol"",""name"":""Total Cholesterol (TC)"",""benefit"":""TC decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in total cholesterol levels within the intervention group."",""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""Low-Density Lipoprotein Cholesterol (LDL-C)"",""benefit"":""LDL-C decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in LDL cholesterol levels within the intervention group."",""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,3,Effect of pomegranate seed oil supplementation on the GLUT-4 gene expression and glycemic control in obese people with type 2 diabetes: A randomized controlled clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30945297/,https://doi.org/10.1002/jcp.28561,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,,30945297,,10.1002/jcp.28561,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Randomized Controlled Trial,4,,4,pomegranate and type 2 diabetes mellitus,oil,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""Within-group changes in quantitative insulin sensitivity check index were significant in the PSO group."",""benefit_descriptive"":""Pomegranate seed oil improved insulin sensitivity in the intervention group.""},""4"":{""name"":""abnormality in glucose transporter type 4 (GLUT-4) function"",""benefit_exactly"":""GLUT-4 gene expression was increased significantly in the PSO group."",""benefit_descriptive"":""Pomegranate seed oil supplementation increased GLUT-4 gene expression in diabetic patients.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood sugar (FBS)"",""benefit"":""After adjusting the age, gender, and baseline values, FBS was significantly decreased."",""short_description"":""Pomegranate seed oil supplementation significantly reduced fasting blood sugar levels."",""quantity"":null},{""type"":""hba1c"",""name"":""HbA1C"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""insulin"",""name"":""insulin concentration"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""HOMA-IR"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""HOMA-β"",""benefit"":null,""short_description"":null,""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,4,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,https://doi.org/10.1159/000510986,No PMC available,"Journal Article, Randomized Controlled Trial",4,,,,33302270,,10.1159/000510986,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Randomized Controlled Trial,4,,4,pomegranate and type 2 diabetes mellitus,powder,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""The mean differences of FBG and HbA1c were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""benefit_descriptive"":""Pomegranate seed powder supplementation improved insulin sensitivity and glucose metabolism.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""Fasting Blood Glucose (FBG)"",""benefit"":""The mean differences of FBG were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""short_description"":""Pomegranate seed powder significantly reduced fasting blood glucose levels."",""quantity"":null},{""type"":""hba1c"",""name"":""Glycated Hemoglobin (HbA1c)"",""benefit"":""The mean differences of HbA1c were significantly decreased in the PSP group when compared with the placebo group (p value <0.05)."",""short_description"":""Pomegranate seed powder significantly reduced HbA1c levels."",""quantity"":null}]"
,0,punicic acid,1,type 2 diabetes mellitus,0,6,Punicic acid: A potential compound of pomegranate seed oil in Type 2 diabetes mellitus management.,https://pubmed.ncbi.nlm.nih.gov/30317607/,https://doi.org/10.1002/jcp.27556,No PMC available,"Journal Article, Review",2,,,,30317607,,10.1002/jcp.27556,Punicic acid,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,14,ready,Review,2,,2,punicic acid and type 2 diabetes mellitus,main ingredient of pomegranate seed oil,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""antioxidant properties"",""benefit_descriptive"":""Punicic acid exhibits antioxidant properties, which can mitigate oxidative stress, a contributing factor in Type 2 Diabetes Mellitus.""},""5"":{""name"":""inflammatory cytokines"",""benefit_exactly"":""reducing inflammatory cytokines"",""benefit_descriptive"":""Punicic acid helps reduce inflammatory cytokines, which are implicated in the pathogenesis of Type 2 Diabetes Mellitus.""},""6"":{""name"":""glucose homeostasis"",""benefit_exactly"":""modulating glucose homeostasis"",""benefit_descriptive"":""Punicic acid helps modulate glucose homeostasis, which is crucial in managing Type 2 Diabetes Mellitus.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""HbA1c"",""benefit"":null,""short_description"":null,""quantity"":null}]"
,0,punicalagin,1,type 2 diabetes mellitus,0,7,Effects of pomegranate aril juice and its punicalagin on some key regulators of insulin resistance and oxidative liver injury in streptozotocin-nicotinamide type 2 diabetic rats.,https://pubmed.ncbi.nlm.nih.gov/31006095/,https://doi.org/10.1007/s11033-019-04813-8,No PMC available,Journal Article,0,,,,31006095,,10.1007/s11033-019-04813-8,Punicalagin,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,14,ready,Controlled Clinical Trial,4,,4,punicalagin and type 2 diabetes mellitus,pure compound,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""Although the low dose of PCG induced some modulation in STZ-NA diabetic rats, the high dose of PCG did not show any valuable antidiabetic activity, but induced many side effects."",""benefit_descriptive"":""Low-dose PCG showed some modulation of insulin resistance, but high-dose PCG was ineffective and caused side effects.""}}","[{""type"":""glucose"",""name"":""serum glucose"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""insulin"",""name"":""serum insulin"",""benefit"":null,""short_description"":null,""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,5,Effects of pomegranate aril juice and its punicalagin on some key regulators of insulin resistance and oxidative liver injury in streptozotocin-nicotinamide type 2 diabetic rats.,https://pubmed.ncbi.nlm.nih.gov/31006095/,https://doi.org/10.1007/s11033-019-04813-8,No PMC available,Journal Article,0,,,,31006095,,10.1007/s11033-019-04813-8,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Controlled Clinical Trial,4,,4,pomegranate and type 2 diabetes mellitus,aril juice,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""PAJ (especially at the high dose) alleviated significantly (P < 0.05-0.001) most signs of type 2 diabetes including body-weight loss, insulin resistance (IR) and hyperglycemia through decreasing serum tumor necrosis factor-α concentration and the expression of hepatic c-Jun N-terminal kinase, and increasing the skeletal muscle weight and the expression of hepatic insulin receptor substrate-1 in STZ-NA diabetic rats."",""benefit_descriptive"":""PAJ reduced insulin resistance by decreasing TNF-α and c-Jun N-terminal kinase expression while increasing skeletal muscle weight and insulin receptor substrate-1 expression.""},""2"":{""name"":""oxidative stress"",""benefit_exactly"":""PAJ decreased significantly (P < 0.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic lipid peroxidation and nitric oxide production, and improving the hepatic antioxidant defense system."",""benefit_descriptive"":""PAJ reduced oxidative stress by lowering lipid peroxidation and nitric oxide production while enhancing antioxidant defenses in the liver.""}}","[{""type"":""glucose"",""name"":""serum glucose"",""benefit"":""PAJ (especially at the high dose) alleviated significantly (P < 0.05-0.001) most signs of type 2 diabetes including body-weight loss, insulin resistance (IR) and hyperglycemia"",""short_description"":""PAJ significantly reduced hyperglycemia in diabetic rats."",""quantity"":null},{""type"":""insulin"",""name"":""serum insulin"",""benefit"":""PAJ (especially at the high dose) alleviated significantly (P < 0.05-0.001) most signs of type 2 diabetes including body-weight loss, insulin resistance (IR) and hyperglycemia"",""short_description"":""PAJ improved insulin resistance and related metabolic parameters."",""quantity"":null},{""type"":""lipid_peroxidation"",""name"":""hepatic lipid peroxidation"",""benefit"":""PAJ decreased significantly (P < 0.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic lipid peroxidation"",""short_description"":""PAJ significantly reduced hepatic lipid peroxidation."",""quantity"":null},{""type"":""nitric_oxide"",""name"":""hepatic nitric oxide"",""benefit"":""PAJ decreased significantly (P < 0.001) the oxidative liver injury in STZ-NA diabetic rats through decreasing the hepatic nitric oxide production"",""short_description"":""PAJ significantly reduced hepatic nitric oxide production."",""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,6,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,https://doi.org/10.1016/j.ctim.2020.102478,No PMC available,"Journal Article, Meta-Analysis",5,,,,32951728,,10.1016/j.ctim.2020.102478,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Systematic Review,5,0,0,pomegranate and type 2 diabetes mellitus,supplementation,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""alt_gpt"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""homeostasis model assessment-estimated insulin resistance index (HOMA-IR)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body mass index (BMI)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body weight (BW)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null}]"
,63,pomegranate,1,type 2 diabetes mellitus,105,1,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,https://doi.org/10.1016/j.dsx.2024.102940,No PMC available,"Meta-Analysis, Journal Article",5,,,,38194826,,10.1016/j.dsx.2024.102940,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,6,ready,Systematic Review,5,,5,pomegranate and type 2 diabetes mellitus,consumption,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004) and HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)."",""benefit_descriptive"":""Pomegranate consumption improved insulin sensitivity and reduced insulin resistance.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)."",""short_description"":""Pomegranate consumption lowered fasting blood glucose levels."",""quantity"":""-2.22 mg/dL""},{""type"":""hba1c"",""name"":""hemoglobin A1c"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)."",""short_description"":""Pomegranate consumption reduced hemoglobin A1c levels."",""quantity"":""-0.22%""}]"
