id,productId,root_name,scientific_name,diseaseId,disease,code,foundation_url,icd_title,articles_count,category,calculated_dw,article_number,title,pubmed,PMID,doi,DOI,pmc,PMCID,pubtypes,ai_pubtypes,rate,disease_rates,diseases_rate_all_null,disease_rate_combination,name,processing_status,dynamic_root_causes,labs,createdAt,updatedAt,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,__EMPTY_17,__EMPTY_18,__EMPTY_19,__EMPTY_20,__EMPTY_21,__EMPTY_22,__EMPTY_23,__EMPTY_24,__EMPTY_25,__EMPTY_26,__EMPTY_27,__EMPTY_28,__EMPTY_29,__EMPTY_30,__EMPTY_31,__EMPTY_32,__EMPTY_33,__EMPTY_34,__EMPTY_35,__EMPTY_36,__EMPTY_37,__EMPTY_38,__EMPTY_39
3773196,63,pomegranate,Punica granatum,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,20,ready,310,16,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,pomegranate and type 2 diabetes mellitus,juice,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""benefit_descriptive"":""Pomegranate juice may reduce oxidative stress and cardiovascular risk in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""short_description"":""Pomegranate juice can help regulate blood glucose levels and improve metabolic health in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,0,berries,Various,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,21,ready,0,16,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,berries and type 2 diabetes mellitus,raw,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Phenolic compounds from berry fruits as nutritional interventions could be considered a valuable tool to prevent the development of age-related neurodegenerative diseases by inflammation and decreasing oxidative stress."",""benefit_descriptive"":""Berries' phenolic compounds may reduce oxidative stress and inflammation in type 2 diabetes.""},""18"":{""name"":""hyperglycemia"",""benefit_exactly"":""Berries are considered good sources of phenolic compounds, such as phenolic acids and flavonoids."",""benefit_descriptive"":""Berries' phenolic compounds may help manage blood glucose levels in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""blood glucose"",""benefit"":""Berries are considered good sources of phenolic compounds, such as phenolic acids and flavonoids."",""short_description"":""Berries' phenolic compounds may help regulate blood glucose levels in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,7,strawberries,Fragaria × ananassa,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,2,ready,8,2,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,strawberries and type 2 diabetes mellitus,juice,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Phenolic compounds are vital in defense responses, such as anti-aging, anti-inflammatory, antioxidant and anti-proliferative activities."",""benefit_descriptive"":""Strawberries' phenolic compounds may reduce oxidative stress in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""short_description"":""Pomegranate juice can help regulate blood glucose levels and improve metabolic health in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,8,raspberries,Rubus idaeus,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,2,ready,8,2,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,raspberries and type 2 diabetes mellitus,raw,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Phenolic compounds are vital in defense responses, such as anti-aging, anti-inflammatory, antioxidant and anti-proliferative activities."",""benefit_descriptive"":""Raspberries' phenolic compounds may reduce oxidative stress in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""short_description"":""Pomegranate juice can help regulate blood glucose levels and improve metabolic health in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,22,grapes,Vitis vinifera,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,4,ready,16,2,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,grapes and type 2 diabetes mellitus,extract,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Polyphenolic compounds can prevent the development of long-term diabetes complications, including cardiovascular disease, neuropathy, nephropathy and retinopathy."",""benefit_descriptive"":""Polyphenolic compounds from grapes may reduce oxidative stress-related complications in type 2 diabetes.""},""18"":{""name"":""hyperglycemia"",""benefit_exactly"":""Dietary plant polyphenols and polyphenol-rich products modulate carbohydrate and lipid metabolism, attenuate hyperglycemia, dyslipidemia and insulin resistance."",""benefit_descriptive"":""Grapes' polyphenols may help regulate blood glucose levels and reduce hyperglycemia in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""blood glucose"",""benefit"":""GSE significantly improved markers of inflammation and glycaemia and improved a sole marker of oxidative stress in obese type 2 diabetic subjects at high risk of cardiovascular events over a four-week period."",""short_description"":""Grapeseed extract improved blood glucose levels and oxidative stress markers in type 2 diabetes patients."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,24,apples,Malus domestica,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,4,ready,16,1,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,apples and type 2 diabetes mellitus,raw,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""Phenolic compounds are vital in defense responses, such as anti-aging, anti-inflammatory, antioxidant and anti-proliferative activities."",""benefit_descriptive"":""Apples' phenolic compounds may reduce oxidative stress in type 2 diabetes.""}}","[{""type"":""glucose"",""name"":""glucose"",""benefit"":""Some polyphenol-rich foods, for instance grape, grape seed extract, pomegranate juice and cranberry juice, have been reported to play a beneficial part in reducing cardiovascular risk elements in patients with metabolic syndrome and type 2 diabetes."",""short_description"":""Pomegranate juice can help regulate blood glucose levels and improve metabolic health in type 2 diabetes."",""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773196,0,berry,Punica granatum,5,cardiovascular disease,,http://id.who.int/icd/entity/2079332103,Circulatory system,32,ready,0,15,An Overview of Plant Phenolic Compounds and Their Importance in Human Nutrition and Management of Type 2 Diabetes.,https://pubmed.ncbi.nlm.nih.gov/27754463/,27754463,https://doi.org/10.3390/molecules21101374,10.3390/molecules21101374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274266/,PMC6274266,"Journal Article, Review",Review,2,2,NULL,2,berry and cardiovascular disease,juice,"{""19"":{""name"":""oxidative stress"",""benefit_exactly"":""Polyphenols, especially flavonoids, phenolic acids and tannins, have the important property of inhibiting α-glucosidase and α-amylase, which are key enzymes and responsible for the digestion of dietary carbohydrates to glucose."",""benefit_descriptive"":""Polyphenols inhibit key enzymes involved in carbohydrate digestion, reducing glucose absorption.""}}","[{""type"":""total_cholesterol"",""name"":""total cholesterol"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hdl_c_direct"",""name"":""HDL cholesterol"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:26:32.075+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773197,0,punicic acid,Punicic acid,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,21,ready,0,17,Punicic acid: A potential compound of pomegranate seed oil in Type 2 diabetes mellitus management.,https://pubmed.ncbi.nlm.nih.gov/30317607/,30317607,https://doi.org/10.1002/jcp.27556,10.1002/jcp.27556,No PMC available,NULL,"Journal Article, Review",Review,2,2,NULL,2,punicic acid and type 2 diabetes mellitus,main ingredient of pomegranate seed oil,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""antioxidant properties"",""benefit_descriptive"":""Punicic acid exhibits antioxidant properties, which can mitigate oxidative stress, a contributing factor to Type 2 Diabetes Mellitus.""},""5"":{""name"":""inflammatory cytokines"",""benefit_exactly"":""reducing inflammatory cytokines"",""benefit_descriptive"":""Punicic acid helps reduce inflammatory cytokines, which are implicated in the pathogenesis of Type 2 Diabetes Mellitus.""},""6"":{""name"":""glucose homeostasis"",""benefit_exactly"":""modulating glucose homeostasis"",""benefit_descriptive"":""Punicic acid helps modulate glucose homeostasis, which is crucial in managing Type 2 Diabetes Mellitus.""}}","[{""type"":""glucose"",""name"":""glucose homeostasis"",""benefit"":""modulating glucose homeostasis"",""short_description"":""Punicic acid helps regulate blood glucose levels, which is essential in managing Type 2 Diabetes Mellitus."",""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773181,63,pomegranate,Punica granatum,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,20,ready,310,19,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,32951728,https://doi.org/10.1016/j.ctim.2020.102478,10.1016/j.ctim.2020.102478,No PMC available,NULL,"Journal Article, Meta-Analysis",Systematic Review,5,5,0,0,pomegranate and type 2 diabetes mellitus,supplementation,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":null,""benefit_descriptive"":null},""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""alt_gpt"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""homeostasis model assessment-estimated insulin resistance index (HOMA-IR)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body mass index (BMI)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""body weight (BW)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""total_cholesterol"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hdl_c_direct"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""c_reactive_protein"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3773182,63,pomegranate,Punica granatum,1,type 2 diabetes mellitus,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,20,ready,310,1,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,38194826,https://doi.org/10.1016/j.dsx.2024.102940,10.1016/j.dsx.2024.102940,No PMC available,NULL,"Meta-Analysis, Journal Article",Systematic Review,5,5,NULL,5,pomegranate and type 2 diabetes mellitus,consumption,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004) and HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)"",""benefit_descriptive"":""Pomegranate consumption reduced insulin resistance markers, including fasting insulin and HOMA-IR.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)"",""short_description"":""Pomegranate consumption lowered fasting blood glucose levels."",""quantity"":""-2.22 mg/dL""},{""type"":""hba1c"",""name"":""hemoglobin A1c"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)"",""short_description"":""Pomegranate consumption reduced hemoglobin A1c levels."",""quantity"":""-0.22%""}]",2026-06-07 12:30:03.425+02,2026-06-07 16:20:05.542+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
