id,productId,root_name,diseaseId,disease,articles_count,category,calculated_dw,article_number,title,pubmed,PMID,doi,DOI,pmc,PMCID,pubtypes,disease_rates,diseases_rate_all_null,ai_extracted_types,ai_calculated_rate,disease_rate_combination,name,item_name,another_item,processing_status,dynamic_root_causes,labs,createdAt,updatedAt,scientific_name,code,foundation_url,icd_title,ai_pubtypes
2212553,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,18,The effect of pomegranate (Punica granatum) supplementation on metabolic status in patients with type 2 diabetes: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/32951728/,32951728,https://doi.org/10.1016/j.ctim.2020.102478,10.1016/j.ctim.2020.102478,No PMC available,NULL,"Journal Article, Meta-Analysis",5,0,NULL,NULL,0,pomegranate and type 2 diabetes mellitus,Pomegranate,NULL,supplementation,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":null,""benefit_descriptive"":null},""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""glucose"",""name"":""fasting blood glucose (FBG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hba1c"",""name"":""glycosylated hemoglobin percentage (HbA1c)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""insulin"",""name"":""insulin levels"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""c_reactive_protein"",""name"":""high sensitive c-reactive protein (Hs-CRP)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""alt_gpt"",""name"":""total antioxidant capacity (TAC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""total_cholesterol"",""name"":""total cholesterol (TC)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""hdl_c_direct"",""name"":""high lipoprotein cholesterol (HDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""low lipoprotein cholesterol (LDL-C)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-04 16:43:10.654+02,2026-06-04 21:03:30.941+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Systematic Review
2212554,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,1,The effects of pomegranate consumption on glycemic indices in adults: A systematic review and meta-analysis.,https://pubmed.ncbi.nlm.nih.gov/38194826/,38194826,https://doi.org/10.1016/j.dsx.2024.102940,10.1016/j.dsx.2024.102940,No PMC available,NULL,"Meta-Analysis, Journal Article",5,NULL,NULL,NULL,5,pomegranate and type 2 diabetes mellitus,Pomegranate,NULL,consumption,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":""pomegranate consumption significantly reduced fasting insulin (WMD: -1.06 μU/ml; 95%CI: -1.79 to -0.33; p = 0.004) and HOMA-IR (WMD: -0.30; 95%CI: -0.61 to -0.00; p = 0.046)."",""benefit_descriptive"":""Pomegranate consumption improved insulin sensitivity and reduced insulin resistance.""}}","[{""type"":""fasting_plasma_glucose"",""name"":""fasting blood glucose"",""benefit"":""pomegranate consumption significantly reduced FBG (WMD: -2.22 mg/dL; 95% CI: -3.95 to -0.50; p = 0.012)."",""short_description"":""Pomegranate consumption lowered fasting blood glucose levels."",""quantity"":""-2.22 mg/dL""},{""type"":""hba1c"",""name"":""hemoglobin A1c"",""benefit"":""pomegranate consumption significantly reduced HbA1c (WMD: -0.22%; 95% CI: -0.43 to -0.01; p = 0.037)."",""short_description"":""Pomegranate consumption reduced hemoglobin A1c levels."",""quantity"":""-0.22%""}]",2026-06-04 16:43:10.654+02,2026-06-04 21:03:30.941+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Systematic Review
2212555,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,4,Efficacy of Pomegranate Seed Powder on Glucose and Lipid Metabolism in Patients with Type 2 Diabetes: A Prospective Randomized Double-Blind Placebo-Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/33302270/,33302270,https://doi.org/10.1159/000510986,10.1159/000510986,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,pomegranate and type 2 diabetes mellitus,Pomegranate,NULL,powder,"{""1"":{""name"":""insulin resistance"",""benefit_exactly"":null,""benefit_descriptive"":null},""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""fasting_plasma_glucose"",""name"":""Fasting Blood Glucose (FBG)"",""benefit"":""The mean differences of FBG were significantly decreased in the PSP group when compared with the placebo group (p value <0.05). Post-intervention values of FBG were significantly lower in patients treated with PSP compared to the placebo group (p value = 0.02)."",""short_description"":""Significant reduction in fasting blood glucose levels after 8 weeks of PSP supplementation."",""quantity"":null},{""type"":""hba1c"",""name"":""Glycated Hemoglobin (HbA1c)"",""benefit"":""Post-intervention values of HbA1c were significantly lower in patients treated with PSP compared to the placebo group (p value = 0.01)."",""short_description"":""Significant reduction in HbA1c levels after 8 weeks of PSP supplementation."",""quantity"":null},{""type"":""total_cholesterol"",""name"":""Total Cholesterol"",""benefit"":null,""short_description"":null,""quantity"":null},{""type"":""triglycerides"",""name"":""Triglycerides (TG)"",""benefit"":null,""short_description"":null,""quantity"":null}]",2026-06-04 16:43:10.654+02,2026-06-05 17:49:40.102+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212556,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,5,"Effects of pomegranate juice consumption on oxidative stress in patients with type 2 diabetes: a single-blind, randomized clinical trial.",https://pubmed.ncbi.nlm.nih.gov/27633135/,27633135,https://doi.org/10.1080/09637486.2016.1229760,10.1080/09637486.2016.1229760,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,pomegranate and type 2 diabetes mellitus,NULL,Pomegranate,juice,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""After six weeks intervention, oxidized LDL and anti-oxidized LDL antibodies decreased and total serum antioxidant capacity and arylesterase activity of paraoxonase increased significantly in the PJ-treated group compared to the control group."",""benefit_descriptive"":""Pomegranate juice reduced oxidative stress markers and increased antioxidant capacity in type 2 diabetic patients.""}}","[{""type"":""alt_gpt"",""name"":""oxidized LDL"",""benefit"":""decreased"",""short_description"":""Reduction in oxidized LDL levels"",""quantity"":null},{""type"":""alt_gpt"",""name"":""anti-oxidized LDL antibodies"",""benefit"":""decreased"",""short_description"":""Reduction in anti-oxidized LDL antibodies"",""quantity"":null},{""type"":""alt_gpt"",""name"":""total serum antioxidant capacity"",""benefit"":""increased significantly"",""short_description"":""Increase in total serum antioxidant capacity"",""quantity"":null},{""type"":""alt_gpt"",""name"":""arylesterase activity of paraoxonase"",""benefit"":""increased significantly"",""short_description"":""Increase in arylesterase activity of paraoxonase"",""quantity"":null}]",2026-06-04 17:06:58.02+02,2026-06-05 17:49:40.102+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212557,0,green tea,1,type 2 diabetes mellitus,32,ready,0,4,The effects of polyphenol-containing antioxidants on oxidative stress and lipid peroxidation in Type 2 diabetes mellitus without complications.,https://pubmed.ncbi.nlm.nih.gov/19834314/,19834314,https://doi.org/10.1007/BF03346565,10.1007/BF03346565,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,green tea and type 2 diabetes mellitus,NULL,Pomegranate,extract,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL). Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001). As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""benefit_descriptive"":""The polyphenol-rich antioxidant supplement reduced oxidative stress markers and improved antioxidant defense in Type 2 Diabetes Mellitus patients.""}}","[{""type"":""ldl_cholesterol"",""name"":""LDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""LDL levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""hdl_c_direct"",""name"":""HDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""HDL levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""plasma malondialdehyde (MDA)"",""benefit"":""Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001)."",""short_description"":""Plasma MDA levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""total glutathione (GSH)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Total plasma GSH levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""antioxidant capacity (AOC)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Antioxidant capacity increased significantly in the study group compared to the placebo group."",""quantity"":null}]",2026-06-04 18:03:06.088+02,2026-06-05 17:49:40.102+02,Camellia sinensis,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212557,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,6,The effects of polyphenol-containing antioxidants on oxidative stress and lipid peroxidation in Type 2 diabetes mellitus without complications.,https://pubmed.ncbi.nlm.nih.gov/19834314/,19834314,https://doi.org/10.1007/BF03346565,10.1007/BF03346565,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,pomegranate and type 2 diabetes mellitus,NULL,Pomegranate,extract,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL). Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001). As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""benefit_descriptive"":""The polyphenol-rich antioxidant supplement reduced oxidative stress markers and improved antioxidant defense in Type 2 Diabetes Mellitus patients.""}}","[{""type"":""ldl_cholesterol"",""name"":""LDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""LDL levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""hdl_c_direct"",""name"":""HDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""HDL levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""plasma malondialdehyde (MDA)"",""benefit"":""Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001)."",""short_description"":""Plasma MDA levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""total glutathione (GSH)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Total plasma GSH levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""antioxidant capacity (AOC)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Antioxidant capacity increased significantly in the study group compared to the placebo group."",""quantity"":null}]",2026-06-04 18:03:06.088+02,2026-06-05 17:49:40.102+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212557,463,ascorbic acid,1,type 2 diabetes mellitus,1,ready,16,1,The effects of polyphenol-containing antioxidants on oxidative stress and lipid peroxidation in Type 2 diabetes mellitus without complications.,https://pubmed.ncbi.nlm.nih.gov/19834314/,19834314,https://doi.org/10.1007/BF03346565,10.1007/BF03346565,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,ascorbic acid and type 2 diabetes mellitus,NULL,Pomegranate,supplement,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL). Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001). As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""benefit_descriptive"":""The polyphenol-rich antioxidant supplement reduced oxidative stress markers and improved antioxidant defense in Type 2 Diabetes Mellitus patients.""}}","[{""type"":""ldl_cholesterol"",""name"":""LDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""LDL levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""hdl_c_direct"",""name"":""HDL"",""benefit"":""The study group showed a decrease in LDL and an increase in HDL and the comparison with the difference in placebo group was statistically significant (p<0.001 for LDL and p<0.001 for HDL)."",""short_description"":""HDL levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""plasma malondialdehyde (MDA)"",""benefit"":""Accordingly, as a by-product of lipid peroxidation, plasma MDA was decreased in the study group compared to the placebo group (p<0.001)."",""short_description"":""Plasma MDA levels decreased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""total glutathione (GSH)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Total plasma GSH levels increased significantly in the study group compared to the placebo group."",""quantity"":null},{""type"":""alt_gpt"",""name"":""antioxidant capacity (AOC)"",""benefit"":""As an indicator of increased antioxidant defense, total plasma GSH and AOC increased more in the study group compared to control group (p<0.001)."",""short_description"":""Antioxidant capacity increased significantly in the study group compared to the placebo group."",""quantity"":null}]",2026-06-04 18:03:06.088+02,2026-06-05 17:49:40.102+02,Ascorbic acid,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212558,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,7,Effects of pomegranate juice consumption on blood pressure and lipid profile in patients with type 2 diabetes: A single-blind randomized clinical trial.,https://pubmed.ncbi.nlm.nih.gov/30661697/,30661697,https://doi.org/10.1016/j.clnesp.2018.11.013,10.1016/j.clnesp.2018.11.013,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,pomegranate and type 2 diabetes mellitus,Pomegranate,NULL,juice,"{""2"":{""name"":""oxidative stress"",""benefit_exactly"":null,""benefit_descriptive"":null}}","[{""type"":""alt_gpt"",""name"":""Systolic Blood Pressure (SBP)"",""benefit"":""SBP (13.5 ± 1.5 mmHg vs. 12.3 ± 2.5, P < 0.001) significantly decreased in the intervention group."",""short_description"":""Pomegranate juice significantly reduced systolic blood pressure in the intervention group."",""quantity"":""13.5 ± 1.5 mmHg""},{""type"":""alt_gpt"",""name"":""Diastolic Blood Pressure (DBP)"",""benefit"":""DBP (7.7 ± 1.6 vs. 7.2 ± 1.6 mmHg, P < 0.05) significantly decreased in the intervention group."",""short_description"":""Pomegranate juice significantly reduced diastolic blood pressure in the intervention group."",""quantity"":""7.7 ± 1.6 mmHg""},{""type"":""total_cholesterol"",""name"":""Total Cholesterol (TC)"",""benefit"":""TC decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in total cholesterol levels within the intervention group."",""quantity"":null},{""type"":""ldl_cholesterol"",""name"":""Low-Density Lipoprotein Cholesterol (LDL-C)"",""benefit"":""LDL-C decreased significantly compared to pre-trial values within the intervention group."",""short_description"":""Pomegranate juice consumption led to a significant reduction in LDL cholesterol levels within the intervention group."",""quantity"":null}]",2026-06-04 16:43:10.654+02,2026-06-05 17:49:40.102+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
2212559,0,Unknown,1,type 2 diabetes mellitus,32,ready,0,20,The relation of low glycaemic index fruit consumption to glycaemic control and risk factors for coronary heart disease in type 2 diabetes.,https://pubmed.ncbi.nlm.nih.gov/20978741/,20978741,https://doi.org/10.1007/s00125-010-1927-1,10.1007/s00125-010-1927-1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3017317/,PMC3017317,"Journal Article, Randomized Controlled Trial",4,0,NULL,NULL,0,Unknown and type 2 diabetes mellitus,NULL,Pomegranate,raw,{},NULL,2026-06-04 16:45:41.023+02,2026-06-05 17:49:40.102+02,,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,
2212560,63,pomegranate,1,type 2 diabetes mellitus,19,ready,285,8,Pomegranate Juice Increases Sirtuin1 Protein in Peripheral Blood Mononuclear Cell from Patients with Type 2 Diabetes: A Randomized Placebo Controlled Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/29957104/,29957104,https://doi.org/10.1089/met.2017.0146,10.1089/met.2017.0146,No PMC available,NULL,"Journal Article, Randomized Controlled Trial",4,NULL,NULL,NULL,4,pomegranate and type 2 diabetes mellitus,NULL,Pomegranate,juice,"{""8"":{""name"":""Inflammation"",""benefit_exactly"":""NF-κB p65 in PBMC was significantly lower (P < 0.01 for treatment effect) in the PJ group."",""benefit_descriptive"":""Pomegranate juice reduced NF-κB p65 levels, indicating anti-inflammatory effects.""}}","[{""type"":""alt_gpt"",""name"":""sE-selectin"",""benefit"":""Plasma sE-selectin concentration decreased significantly in the PJ group at the end of week 12 compared to baseline (P < 0.001 for treatment effect), and the reduction was significant in comparison with the placebo group (P < 0.05 for treatment effect)."",""short_description"":""Pomegranate juice significantly reduced sE-selectin levels, a marker of vascular inflammation."",""quantity"":null},{""type"":""alt_gpt"",""name"":""SIRT1"",""benefit"":""SIRT1 was significantly higher (P < 0.0001 for treatment effect) in the PJ group."",""short_description"":""Pomegranate juice increased SIRT1 levels, which is associated with improved metabolic regulation."",""quantity"":null}]",2026-06-04 17:06:58.02+02,2026-06-05 17:49:40.102+02,Punica granatum,5A11,http://id.who.int/icd/entity/119724091,Type 2 diabetes mellitus,Randomized Controlled Trial
